dataset,architecture,seed,epoch,layer,criterion,criterion_group,scoring_time_seconds,scoring_memory_mb,num_forward_passes,num_backward_passes,calibration_size,reference_calibration_size,spearman_vs_full,topk_jaccard_vs_full,topk_ratio
FashionMNIST,small,42,10,a1,hebbian,loss_free,0.0844151220517233,20.517578125,1,0,128,2048,0.9743591027405093,0.7142857142857143,0.05
FashionMNIST,small,42,10,a1,hebbian,loss_free,0.0844151220517233,20.517578125,1,0,128,2048,0.9743591027405093,0.8518518518518519,0.1
FashionMNIST,small,42,10,a1,hebbian,loss_free,0.0844151220517233,20.517578125,1,0,128,2048,0.9743591027405093,0.8545454545454545,0.2
FashionMNIST,small,42,10,a2,hebbian,loss_free,0.0844151220517233,20.517578125,1,0,128,2048,0.9747928492950009,1.0,0.05
FashionMNIST,small,42,10,a2,hebbian,loss_free,0.0844151220517233,20.517578125,1,0,128,2048,0.9747928492950009,0.7142857142857143,0.1
FashionMNIST,small,42,10,a2,hebbian,loss_free,0.0844151220517233,20.517578125,1,0,128,2048,0.9747928492950009,0.7857142857142857,0.2
FashionMNIST,small,42,10,a1,activation_fisher,loss_aware,0.07999881496652961,20.85400390625,1,1,128,2048,0.5848567927851067,0.5,0.05
FashionMNIST,small,42,10,a1,activation_fisher,loss_aware,0.07999881496652961,20.85400390625,1,1,128,2048,0.5848567927851067,0.5151515151515151,0.1
FashionMNIST,small,42,10,a1,activation_fisher,loss_aware,0.07999881496652961,20.85400390625,1,1,128,2048,0.5848567927851067,0.4166666666666667,0.2
FashionMNIST,small,42,10,a2,activation_fisher,loss_aware,0.07999881496652961,20.85400390625,1,1,128,2048,0.2520371726789965,0.3333333333333333,0.05
FashionMNIST,small,42,10,a2,activation_fisher,loss_aware,0.07999881496652961,20.85400390625,1,1,128,2048,0.2520371726789965,0.3333333333333333,0.1
FashionMNIST,small,42,10,a2,activation_fisher,loss_aware,0.07999881496652961,20.85400390625,1,1,128,2048,0.2520371726789965,0.19047619047619047,0.2
FashionMNIST,small,42,10,a1,hebbian,loss_free,0.1381963490275666,20.705078125,2,0,256,2048,0.9794174721173483,0.6,0.05
FashionMNIST,small,42,10,a1,hebbian,loss_free,0.1381963490275666,20.705078125,2,0,256,2048,0.9794174721173483,0.8518518518518519,0.1
FashionMNIST,small,42,10,a1,hebbian,loss_free,0.1381963490275666,20.705078125,2,0,256,2048,0.9794174721173483,0.8545454545454545,0.2
FashionMNIST,small,42,10,a2,hebbian,loss_free,0.1381963490275666,20.705078125,2,0,256,2048,0.980686916315693,1.0,0.05
FashionMNIST,small,42,10,a2,hebbian,loss_free,0.1381963490275666,20.705078125,2,0,256,2048,0.980686916315693,0.8461538461538461,0.1
FashionMNIST,small,42,10,a2,hebbian,loss_free,0.1381963490275666,20.705078125,2,0,256,2048,0.980686916315693,0.7857142857142857,0.2
FashionMNIST,small,42,10,a1,activation_fisher,loss_aware,0.04791303991805762,20.8994140625,2,2,256,2048,0.6872043711408624,0.5,0.05
FashionMNIST,small,42,10,a1,activation_fisher,loss_aware,0.04791303991805762,20.8994140625,2,2,256,2048,0.6872043711408624,0.42857142857142855,0.1
FashionMNIST,small,42,10,a1,activation_fisher,loss_aware,0.04791303991805762,20.8994140625,2,2,256,2048,0.6872043711408624,0.36,0.2
FashionMNIST,small,42,10,a2,activation_fisher,loss_aware,0.04791303991805762,20.8994140625,2,2,256,2048,0.5530694927668925,0.3333333333333333,0.05
FashionMNIST,small,42,10,a2,activation_fisher,loss_aware,0.04791303991805762,20.8994140625,2,2,256,2048,0.5530694927668925,0.3333333333333333,0.1
FashionMNIST,small,42,10,a2,activation_fisher,loss_aware,0.04791303991805762,20.8994140625,2,2,256,2048,0.5530694927668925,0.3157894736842105,0.2
FashionMNIST,small,42,10,a1,hebbian,loss_free,0.1563225679565221,20.705078125,4,0,512,2048,0.9941074534553713,0.8461538461538461,0.05
FashionMNIST,small,42,10,a1,hebbian,loss_free,0.1563225679565221,20.705078125,4,0,512,2048,0.9941074534553713,0.8518518518518519,0.1
FashionMNIST,small,42,10,a1,hebbian,loss_free,0.1563225679565221,20.705078125,4,0,512,2048,0.9941074534553713,0.9615384615384616,0.2
