dataset,architecture,seed,epoch,layer,criterion,criterion_group,reference_criterion,spearman,topk_jaccard,topk_ratio
FashionMNIST,small,42,10,a1,output_weight_norm,baseline,activation_fisher,0.404658531700618,0.2,0.05
FashionMNIST,small,42,10,a1,output_weight_norm,baseline,activation_fisher,0.404658531700618,0.21951219512195122,0.1
FashionMNIST,small,42,10,a1,output_weight_norm,baseline,activation_fisher,0.404658531700618,0.2911392405063291,0.2
FashionMNIST,small,42,10,a2,output_weight_norm,baseline,activation_fisher,0.2346925929316975,0.2,0.05
FashionMNIST,small,42,10,a2,output_weight_norm,baseline,activation_fisher,0.2346925929316975,0.14285714285714285,0.1
FashionMNIST,small,42,10,a2,output_weight_norm,baseline,activation_fisher,0.2346925929316975,0.19047619047619047,0.2
FashionMNIST,small,42,10,a1,mean_activation,baseline,activation_fisher,0.6285398546578165,0.4117647058823529,0.05
FashionMNIST,small,42,10,a1,mean_activation,baseline,activation_fisher,0.6285398546578165,0.5151515151515151,0.1
FashionMNIST,small,42,10,a1,mean_activation,baseline,activation_fisher,0.6285398546578165,0.4782608695652174,0.2
FashionMNIST,small,42,10,a2,mean_activation,baseline,activation_fisher,0.4595655557590185,0.2,0.05
FashionMNIST,small,42,10,a2,mean_activation,baseline,activation_fisher,0.4595655557590185,0.3333333333333333,0.1
FashionMNIST,small,42,10,a2,mean_activation,baseline,activation_fisher,0.4595655557590185,0.47058823529411764,0.2
FashionMNIST,small,42,10,a1,firing_rate,baseline,activation_fisher,0.5826548089089971,0.4117647058823529,0.05
FashionMNIST,small,42,10,a1,firing_rate,baseline,activation_fisher,0.5826548089089971,0.3888888888888889,0.1
FashionMNIST,small,42,10,a1,firing_rate,baseline,activation_fisher,0.5826548089089971,0.36,0.2
FashionMNIST,small,42,10,a2,firing_rate,baseline,activation_fisher,0.29551147703078295,0.2,0.05
FashionMNIST,small,42,10,a2,firing_rate,baseline,activation_fisher,0.29551147703078295,0.3333333333333333,0.1
FashionMNIST,small,42,10,a2,firing_rate,baseline,activation_fisher,0.29551147703078295,0.3888888888888889,0.2
FashionMNIST,small,42,10,a1,activation_variance,baseline,activation_fisher,0.6204780842298009,0.4117647058823529,0.05
FashionMNIST,small,42,10,a1,activation_variance,baseline,activation_fisher,0.6204780842298009,0.5151515151515151,0.1
FashionMNIST,small,42,10,a1,activation_variance,baseline,activation_fisher,0.6204780842298009,0.5,0.2
FashionMNIST,small,42,10,a2,activation_variance,baseline,activation_fisher,0.49405443142281635,0.2,0.05
FashionMNIST,small,42,10,a2,activation_variance,baseline,activation_fisher,0.49405443142281635,0.3333333333333333,0.1
FashionMNIST,small,42,10,a2,activation_variance,baseline,activation_fisher,0.49405443142281635,0.3888888888888889,0.2
FashionMNIST,small,42,10,a1,class_selectivity,loss_free,activation_fisher,0.4864914740215152,0.2631578947368421,0.05
FashionMNIST,small,42,10,a1,class_selectivity,loss_free,activation_fisher,0.4864914740215152,0.42857142857142855,0.1
FashionMNIST,small,42,10,a1,class_selectivity,loss_free,activation_fisher,0.4864914740215152,0.3972602739726027,0.2
FashionMNIST,small,42,10,a2,class_selectivity,loss_free,activation_fisher,0.42780626258926935,0.2,0.05
FashionMNIST,small,42,10,a2,class_selectivity,loss_free,activation_fisher,0.42780626258926935,0.2631578947368421,0.1
FashionMNIST,small,42,10,a2,class_selectivity,loss_free,activation_fisher,0.42780626258926935,0.28205128205128205,0.2
FashionMNIST,small,42,10,a1,redundancy,loss_free,activation_fisher,-0.17337422547759063,0.0,0.05
FashionMNIST,small,42,10,a1,redundancy,loss_free,activation_fisher,-0.17337422547759063,0.02040816326530612,0.1
FashionMNIST,small,42,10,a1,redundancy,loss_free,activation_fisher,-0.17337422547759063,0.05154639175257732,0.2
FashionMNIST,small,42,10,a2,redundancy,loss_free,activation_fisher,-0.2171669412519197,0.0,0.05
FashionMNIST,small,42,10,a2,redundancy,loss_free,activation_fisher,-0.2171669412519197,0.043478260869565216,0.1
FashionMNIST,small,42,10,a2,redundancy,loss_free,activation_fisher,-0.2171669412519197,0.02040816326530612,0.2
FashionMNIST,small,42,10,a1,hebbian,loss_free,activation_fisher,0.671352140077821,0.4117647058823529,0.05
FashionMNIST,small,42,10,a1,hebbian,loss_free,activation_fisher,0.671352140077821,0.5151515151515151,0.1
FashionMNIST,small,42,10,a1,hebbian,loss_free,activation_fisher,0.671352140077821,0.4166666666666667,0.2
FashionMNIST,small,42,10,a2,hebbian,loss_free,activation_fisher,0.4550563083684307,0.2,0.05
FashionMNIST,small,42,10,a2,hebbian,loss_free,activation_fisher,0.4550563083684307,0.4117647058823529,0.1
FashionMNIST,small,42,10,a2,hebbian,loss_free,activation_fisher,0.4550563083684307,0.5151515151515151,0.2
FashionMNIST,small,42,10,a1,weight_fisher,loss_aware,activation_fisher,0.9080996795605402,0.6,0.05
FashionMNIST,small,42,10,a1,weight_fisher,loss_aware,activation_fisher,0.9080996795605402,0.6666666666666666,0.1
FashionMNIST,small,42,10,a1,weight_fisher,loss_aware,activation_fisher,0.9080996795605402,0.7288135593220338,0.2
FashionMNIST,small,42,10,a2,weight_fisher,loss_aware,activation_fisher,0.5906026826588537,0.3333333333333333,0.05
FashionMNIST,small,42,10,a2,weight_fisher,loss_aware,activation_fisher,0.5906026826588537,0.3333333333333333,0.1
FashionMNIST,small,42,10,a2,weight_fisher,loss_aware,activation_fisher,0.5906026826588537,0.42857142857142855,0.2
