dataset,architecture,seed,epoch,layer,prune_scope,criterion,criterion_group,random_draw,pruning_percentage,fine_tune_epochs,validation_accuracy,test_accuracy,validation_loss,test_loss,parameter_count,parameter_reduction,estimated_macs,mac_reduction,scoring_time_seconds,scoring_memory_mb,num_forward_passes,num_backward_passes,calibration_size,compact_inference_time_seconds,compact_test_accuracy,compact_test_loss,masked_inference_time_seconds,original_macs,original_parameter_count,test_per_class_accuracy_json,validation_per_class_accuracy_json,weight_fisher_mode,weight_fisher_parts
FashionMNIST,small,43,10,all,all,random,baseline,0,0.05,0,0.889,0.88,0.30951238942146303,0.3270979627490044,222660,0.05309892577377462,222284,0.05311136859323884,0.0,0.0,0,0,0,0.36168199696112424,0.88,0.3270979635000229,0.3870845530182123,234752,235146,"[0.818, 0.969, 0.835, 0.859, 0.789, 0.944, 0.693, 0.966, 0.972, 0.955]","[0.8406647116324536, 0.9685598377281948, 0.840258541089566, 0.8629856850715747, 0.8109201213346815, 0.9458631256384066, 0.725103734439834, 0.95635305528613, 0.9808080808080808, 0.9590583418628454]",batch,both
FashionMNIST,small,43,10,all,all,random,baseline,0,0.05,1,0.8942,0.8918,0.29121099951267243,0.30874862997531893,222660,0.05309892577377462,222284,0.05311136859323884,0.0,0.0,0,0,0,0.3394958090502769,0.8918,0.3087486312031746,0.33519398502539843,234752,235146,"[0.85, 0.97, 0.818, 0.912, 0.828, 0.964, 0.681, 0.966, 0.973, 0.956]","[0.8572825024437928, 0.9675456389452333, 0.8060941828254847, 0.908997955010225, 0.8483316481294236, 0.965270684371808, 0.7022821576763485, 0.953443258971872, 0.9838383838383838, 0.9529170931422722]",batch,both
FashionMNIST,small,43,10,all,all,random,baseline,0,0.05,3,0.8976,0.8922,0.2925059470295906,0.3112575932741165,222660,0.05309892577377462,222284,0.05311136859323884,0.0,0.0,0,0,0,0.3367891369853169,0.8922,0.31125758718252183,0.3496567519614473,234752,235146,"[0.836, 0.973, 0.803, 0.908, 0.827, 0.965, 0.719, 0.958, 0.971, 0.962]","[0.8426197458455523, 0.9716024340770791, 0.8070175438596491, 0.9059304703476483, 0.8432760364004045, 0.9703779366700716, 0.7489626556016598, 0.9476236663433559, 0.9818181818181818, 0.9631525076765609]",batch,both
FashionMNIST,small,43,10,all,all,random,baseline,0,0.05,5,0.8961,0.8914,0.29141243118047716,0.31082080092430114,222660,0.05309892577377462,222284,0.05311136859323884,0.0,0.0,0,0,0,0.31629098404664546,0.8914,0.31082080036997795,0.3321261629462242,234752,235146,"[0.84, 0.971, 0.81, 0.905, 0.827, 0.962, 0.702, 0.967, 0.971, 0.959]","[0.841642228739003, 0.9685598377281948, 0.8060941828254847, 0.9038854805725971, 0.8483316481294236, 0.9642492339121552, 0.7396265560165975, 0.953443258971872, 0.9828282828282828, 0.9580348004094166]",batch,both
FashionMNIST,small,43,10,all,all,random,baseline,0,0.1,0,0.8874,0.8762,0.3191435060501099,0.33889651985168456,209417,0.10941712808212767,209060,0.10944315703380592,0.0,0.0,0,0,0,0.32361944497097284,0.8762,0.3388965207576752,0.3174928709631786,234752,235146,"[0.823, 0.967, 0.844, 0.837, 0.778, 0.941, 0.683, 0.967, 0.966, 0.956]","[0.8455522971652004, 0.9695740365111561, 0.8485687903970452, 0.843558282208589, 0.8058645096056622, 0.9458631256384066, 0.7230290456431535, 0.9553831231813773, 0.9787878787878788, 0.9570112589559877]",batch,both
FashionMNIST,small,43,10,all,all,random,baseline,0,0.1,1,0.8949,0.8908,0.2898273685455322,0.3093612910628319,209417,0.10941712808212767,209060,0.10944315703380592,0.0,0.0,0,0,0,0.3248805709881708,0.8908,0.30936128877401353,0.323823275975883,234752,235146,"[0.858, 0.972, 0.817, 0.914, 0.829, 0.955, 0.668, 0.967, 0.971, 0.957]","[0.8680351906158358, 0.9685598377281948, 0.8088642659279779, 0.9038854805725971, 0.846309403437816, 0.9611848825331971, 0.7012448132780082, 0.9544131910766246, 0.9848484848484849, 0.95496417604913]",batch,both
FashionMNIST,small,43,10,all,all,random,baseline,0,0.1,3,0.8962,0.8908,0.2905399407863617,0.3090529450058937,209417,0.10941712808212767,209060,0.10944315703380592,0.0,0.0,0,0,0,0.33924533100798726,0.8908,0.3090529465556145,0.32106785697396845,234752,235146,"[0.848, 0.969, 0.793, 0.911, 0.847, 0.965, 0.68, 0.965, 0.971, 0.959]","[0.8641251221896383, 0.9675456389452333, 0.7931671283471837, 0.911042944785276, 0.865520728008089, 0.9662921348314607, 0.7095435684647303, 0.9515033947623667, 0.9828282828282828, 0.9559877175025588]",batch,both
FashionMNIST,small,43,10,all,all,random,baseline,0,0.1,5,0.8992,0.8939,0.2904464849472046,0.31222944249510765,209417,0.10941712808212767,209060,0.10944315703380592,0.0,0.0,0,0,0,0.3354771019658074,0.8939,0.3122294339299202,0.3203943819971755,234752,235146,"[0.844, 0.974, 0.817, 0.916, 0.827, 0.965, 0.704, 0.958, 0.971, 0.963]","[0.8484848484848485, 0.9705882352941176, 0.8162511542012927, 0.9202453987730062, 0.839231547017189, 0.9693564862104188, 0.7385892116182573, 0.9456838021338506, 0.9818181818181818, 0.9672466734902764]",batch,both
FashionMNIST,small,43,10,all,all,random,baseline,0,0.2,0,0.8791,0.871,0.35265358123779295,0.3683873975276947,183183,0.2209818580796612,182865,0.22102900081788446,0.0,0.0,0,0,0,0.3334736769320443,0.871,0.3683874009847641,0.32490729505661875,234752,235146,"[0.81, 0.962, 0.83, 0.878, 0.693, 0.929, 0.716, 0.95, 0.973, 0.969]","[0.8269794721407625, 0.960446247464503, 0.8430286241920592, 0.876278118609407, 0.7148634984833164, 0.9315628192032687, 0.7531120331950207, 0.9350145489815713, 0.9838383838383838, 0.9672466734902764]",batch,both
FashionMNIST,small,43,10,all,all,random,baseline,0,0.2,1,0.8917,0.8862,0.29725157096385957,0.3157328697681427,183183,0.2209818580796612,182865,0.22102900081788446,0.0,0.0,0,0,0,0.3285360960289836,0.8862,0.31573287111520765,0.34952391090337187,234752,235146,"[0.832, 0.968, 0.769, 0.899, 0.835, 0.962, 0.703, 0.962, 0.973, 0.959]","[0.8435972629521017, 0.9645030425963489, 0.7737765466297323, 0.901840490797546, 0.8645096056622852, 0.9560776302349336, 0.7302904564315352, 0.950533462657614, 0.9828282828282828, 0.9570112589559877]",batch,both
