dataset,architecture,seed,epoch,train_loss,train_accuracy,validation_accuracy,test_accuracy,validation_loss,test_loss,calibration_size,epoch_time_seconds
FashionMNIST,small,43,1,0.5520562054636003,0.7995912579245913,0.843,0.8332,0.42258092756271365,0.44245694727897644,2048,2.926306970999576
FashionMNIST,small,43,2,0.39204641288624315,0.8546671671671672,0.8659,0.8608,0.36011721744537356,0.3785613971710205,2048,2.599756882060319
FashionMNIST,small,43,3,0.35761758197853477,0.8674507841174508,0.8715,0.8668,0.3455177530050278,0.3617433465957642,2048,2.6214186070719734
FashionMNIST,small,43,4,0.3350396609362022,0.8753336670003337,0.8755,0.8704,0.334685930621624,0.3545574896335602,2048,2.546384549001232
FashionMNIST,small,43,5,0.31396996890917833,0.8828203203203203,0.8766,0.8689,0.3352316169977188,0.354890236222744,2048,2.4969749900046736
FashionMNIST,small,43,6,0.30099661562257424,0.8873665331998666,0.8855,0.8796,0.31550829758644106,0.3358298548460007,2048,2.576498219044879
FashionMNIST,small,43,7,0.290156724455359,0.8916624958291625,0.8837,0.8823,0.31538424439430235,0.33293851189613344,2048,2.5779285558965057
FashionMNIST,small,43,8,0.28111448681151663,0.8947697697697697,0.8869,0.8837,0.3143620310425758,0.32596351391077044,2048,2.5144854580285028
FashionMNIST,small,43,9,0.2714701024619667,0.898314981648315,0.8844,0.877,0.3198126613140106,0.3416578708410263,2048,2.5492832680465654
FashionMNIST,small,43,10,0.2632003547372045,0.9006715048381715,0.8908,0.8838,0.30853656928539275,0.329057040810585,2048,2.541633916902356
