dataset,architecture,seed,epoch,layer,criterion,criterion_group,scoring_time_seconds,scoring_memory_mb,num_forward_passes,num_backward_passes,calibration_size,reference_calibration_size,spearman_vs_full,topk_jaccard_vs_full,topk_ratio
FashionMNIST,small,44,10,a1,hebbian,loss_free,0.08399500697851181,20.517578125,1,0,128,2048,0.9680368791485465,0.7142857142857143,0.05
FashionMNIST,small,44,10,a1,hebbian,loss_free,0.08399500697851181,20.517578125,1,0,128,2048,0.9680368791485465,0.9230769230769231,0.1
FashionMNIST,small,44,10,a1,hebbian,loss_free,0.08399500697851181,20.517578125,1,0,128,2048,0.9680368791485465,0.7,0.2
FashionMNIST,small,44,10,a2,hebbian,loss_free,0.08399500697851181,20.517578125,1,0,128,2048,0.9555071045568736,1.0,0.05
FashionMNIST,small,44,10,a2,hebbian,loss_free,0.08399500697851181,20.517578125,1,0,128,2048,0.9555071045568736,0.8461538461538461,0.1
FashionMNIST,small,44,10,a2,hebbian,loss_free,0.08399500697851181,20.517578125,1,0,128,2048,0.9555071045568736,0.7241379310344828,0.2
FashionMNIST,small,44,10,a1,activation_fisher,loss_aware,0.09434120799414814,20.85400390625,1,1,128,2048,0.4680461776150149,0.14285714285714285,0.05
FashionMNIST,small,44,10,a1,activation_fisher,loss_aware,0.09434120799414814,20.85400390625,1,1,128,2048,0.4680461776150149,0.13636363636363635,0.1
FashionMNIST,small,44,10,a1,activation_fisher,loss_aware,0.09434120799414814,20.85400390625,1,1,128,2048,0.4680461776150149,0.2289156626506024,0.2
FashionMNIST,small,44,10,a2,activation_fisher,loss_aware,0.09434120799414814,20.85400390625,1,1,128,2048,0.460854835848398,0.5,0.05
FashionMNIST,small,44,10,a2,activation_fisher,loss_aware,0.09434120799414814,20.85400390625,1,1,128,2048,0.460854835848398,0.2631578947368421,0.1
FashionMNIST,small,44,10,a2,activation_fisher,loss_aware,0.09434120799414814,20.85400390625,1,1,128,2048,0.460854835848398,0.35135135135135137,0.2
FashionMNIST,small,44,10,a1,hebbian,loss_free,0.10238027398008853,20.705078125,2,0,256,2048,0.9821741245136186,0.4117647058823529,0.05
FashionMNIST,small,44,10,a1,hebbian,loss_free,0.10238027398008853,20.705078125,2,0,256,2048,0.9821741245136186,0.8518518518518519,0.1
FashionMNIST,small,44,10,a1,hebbian,loss_free,0.10238027398008853,20.705078125,2,0,256,2048,0.9821741245136186,0.7,0.2
FashionMNIST,small,44,10,a2,hebbian,loss_free,0.10238027398008853,20.705078125,2,0,256,2048,0.9712212512947289,1.0,0.05
FashionMNIST,small,44,10,a2,hebbian,loss_free,0.10238027398008853,20.705078125,2,0,256,2048,0.9712212512947289,0.8461538461538461,0.1
FashionMNIST,small,44,10,a2,hebbian,loss_free,0.10238027398008853,20.705078125,2,0,256,2048,0.9712212512947289,0.8518518518518519,0.2
FashionMNIST,small,44,10,a1,activation_fisher,loss_aware,0.03947243106085807,20.8994140625,2,2,256,2048,0.7250286106660563,0.0,0.05
FashionMNIST,small,44,10,a1,activation_fisher,loss_aware,0.03947243106085807,20.8994140625,2,2,256,2048,0.7250286106660563,0.19047619047619047,0.1
FashionMNIST,small,44,10,a1,activation_fisher,loss_aware,0.03947243106085807,20.8994140625,2,2,256,2048,0.7250286106660563,0.4782608695652174,0.2
FashionMNIST,small,44,10,a2,activation_fisher,loss_aware,0.03947243106085807,20.8994140625,2,2,256,2048,0.6825410450537062,0.5,0.05
FashionMNIST,small,44,10,a2,activation_fisher,loss_aware,0.03947243106085807,20.8994140625,2,2,256,2048,0.6825410450537062,0.3333333333333333,0.1
FashionMNIST,small,44,10,a2,activation_fisher,loss_aware,0.03947243106085807,20.8994140625,2,2,256,2048,0.6825410450537062,0.35135135135135137,0.2
FashionMNIST,small,44,10,a1,hebbian,loss_free,0.1332857710076496,20.705078125,4,0,512,2048,0.9923359178301671,0.7142857142857143,0.05
FashionMNIST,small,44,10,a1,hebbian,loss_free,0.1332857710076496,20.705078125,4,0,512,2048,0.9923359178301671,0.9230769230769231,0.1
FashionMNIST,small,44,10,a1,hebbian,loss_free,0.1332857710076496,20.705078125,4,0,512,2048,0.9923359178301671,0.8214285714285714,0.2
FashionMNIST,small,44,10,a2,hebbian,loss_free,0.1332857710076496,20.705078125,4,0,512,2048,0.9877193886018072,1.0,0.05
FashionMNIST,small,44,10,a2,hebbian,loss_free,0.1332857710076496,20.705078125,4,0,512,2048,0.9877193886018072,1.0,0.1
FashionMNIST,small,44,10,a2,hebbian,loss_free,0.1332857710076496,20.705078125,4,0,512,2048,0.9877193886018072,1.0,0.2
FashionMNIST,small,44,10,a1,activation_fisher,loss_aware,0.04940908600110561,20.8994140625,4,4,512,2048,0.833631122682536,0.2631578947368421,0.05
FashionMNIST,small,44,10,a1,activation_fisher,loss_aware,0.04940908600110561,20.8994140625,4,4,512,2048,0.833631122682536,0.3888888888888889,0.1
FashionMNIST,small,44,10,a1,activation_fisher,loss_aware,0.04940908600110561,20.8994140625,4,4,512,2048,0.833631122682536,0.59375,0.2
FashionMNIST,small,44,10,a2,activation_fisher,loss_aware,0.04940908600110561,20.8994140625,4,4,512,2048,0.7791206715995125,0.7142857142857143,0.05
FashionMNIST,small,44,10,a2,activation_fisher,loss_aware,0.04940908600110561,20.8994140625,4,4,512,2048,0.7791206715995125,0.5,0.1
FashionMNIST,small,44,10,a2,activation_fisher,loss_aware,0.04940908600110561,20.8994140625,4,4,512,2048,0.7791206715995125,0.35135135135135137,0.2
FashionMNIST,small,44,10,a1,hebbian,loss_free,0.18793363799341023,20.705078125,8,0,1024,2048,0.9964129377431906,0.8461538461538461,0.05
FashionMNIST,small,44,10,a1,hebbian,loss_free,0.18793363799341023,20.705078125,8,0,1024,2048,0.9964129377431906,0.9230769230769231,0.1
FashionMNIST,small,44,10,a1,hebbian,loss_free,0.18793363799341023,20.705078125,8,0,1024,2048,0.9964129377431906,0.8545454545454545,0.2
FashionMNIST,small,44,10,a2,hebbian,loss_free,0.18793363799341023,20.705078125,8,0,1024,2048,0.9925950087841279,1.0,0.05
FashionMNIST,small,44,10,a2,hebbian,loss_free,0.18793363799341023,20.705078125,8,0,1024,2048,0.9925950087841279,0.8461538461538461,0.1
FashionMNIST,small,44,10,a2,hebbian,loss_free,0.18793363799341023,20.705078125,8,0,1024,2048,0.9925950087841279,0.9230769230769231,0.2
FashionMNIST,small,44,10,a1,activation_fisher,loss_aware,0.055847929092124104,20.8994140625,8,8,1024,2048,0.8833164053559167,0.2,0.05
