dataset,architecture,seed,epoch,layer,criterion,criterion_group,reference_criterion,spearman,topk_jaccard,topk_ratio
FashionMNIST,small,44,10,a1,output_weight_norm,baseline,activation_fisher,0.43775678072785534,0.043478260869565216,0.05
FashionMNIST,small,44,10,a1,output_weight_norm,baseline,activation_fisher,0.43775678072785534,0.19047619047619047,0.1
FashionMNIST,small,44,10,a1,output_weight_norm,baseline,activation_fisher,0.43775678072785534,0.3246753246753247,0.2
FashionMNIST,small,44,10,a2,output_weight_norm,baseline,activation_fisher,0.0564121785813911,0.5,0.05
FashionMNIST,small,44,10,a2,output_weight_norm,baseline,activation_fisher,0.0564121785813911,0.2631578947368421,0.1
FashionMNIST,small,44,10,a2,output_weight_norm,baseline,activation_fisher,0.0564121785813911,0.25,0.2
FashionMNIST,small,44,10,a1,mean_activation,baseline,activation_fisher,0.5947370679789425,0.2631578947368421,0.05
FashionMNIST,small,44,10,a1,mean_activation,baseline,activation_fisher,0.5947370679789425,0.35135135135135137,0.1
FashionMNIST,small,44,10,a1,mean_activation,baseline,activation_fisher,0.5947370679789425,0.3972602739726027,0.2
FashionMNIST,small,44,10,a2,mean_activation,baseline,activation_fisher,0.2582648056905126,1.0,0.05
FashionMNIST,small,44,10,a2,mean_activation,baseline,activation_fisher,0.2582648056905126,0.4117647058823529,0.1
FashionMNIST,small,44,10,a2,mean_activation,baseline,activation_fisher,0.2582648056905126,0.16279069767441862,0.2
FashionMNIST,small,44,10,a1,firing_rate,baseline,activation_fisher,0.48216646116271267,0.14285714285714285,0.05
FashionMNIST,small,44,10,a1,firing_rate,baseline,activation_fisher,0.48216646116271267,0.28205128205128205,0.1
FashionMNIST,small,44,10,a1,firing_rate,baseline,activation_fisher,0.48216646116271267,0.3076923076923077,0.2
FashionMNIST,small,44,10,a2,firing_rate,baseline,activation_fisher,0.32337839404646895,1.0,0.05
FashionMNIST,small,44,10,a2,firing_rate,baseline,activation_fisher,0.32337839404646895,0.5,0.1
FashionMNIST,small,44,10,a2,firing_rate,baseline,activation_fisher,0.32337839404646895,0.25,0.2
FashionMNIST,small,44,10,a1,activation_variance,baseline,activation_fisher,0.6402087148088808,0.4117647058823529,0.05
FashionMNIST,small,44,10,a1,activation_variance,baseline,activation_fisher,0.6402087148088808,0.3157894736842105,0.1
FashionMNIST,small,44,10,a1,activation_variance,baseline,activation_fisher,0.6402087148088808,0.3783783783783784,0.2
FashionMNIST,small,44,10,a2,activation_variance,baseline,activation_fisher,0.2626826211608783,1.0,0.05
FashionMNIST,small,44,10,a2,activation_variance,baseline,activation_fisher,0.2626826211608783,0.4117647058823529,0.1
FashionMNIST,small,44,10,a2,activation_variance,baseline,activation_fisher,0.2626826211608783,0.19047619047619047,0.2
FashionMNIST,small,44,10,a1,class_selectivity,loss_free,activation_fisher,0.5257131208514534,0.4117647058823529,0.05
FashionMNIST,small,44,10,a1,class_selectivity,loss_free,activation_fisher,0.5257131208514534,0.28205128205128205,0.1
FashionMNIST,small,44,10,a1,class_selectivity,loss_free,activation_fisher,0.5257131208514534,0.3972602739726027,0.2
FashionMNIST,small,44,10,a2,class_selectivity,loss_free,activation_fisher,0.15168786874738907,1.0,0.05
FashionMNIST,small,44,10,a2,class_selectivity,loss_free,activation_fisher,0.15168786874738907,0.4117647058823529,0.1
FashionMNIST,small,44,10,a2,class_selectivity,loss_free,activation_fisher,0.15168786874738907,0.19047619047619047,0.2
FashionMNIST,small,44,10,a1,redundancy,loss_free,activation_fisher,-0.1710241359788216,0.0,0.05
FashionMNIST,small,44,10,a1,redundancy,loss_free,activation_fisher,-0.1710241359788216,0.06382978723404255,0.1
FashionMNIST,small,44,10,a1,redundancy,loss_free,activation_fisher,-0.1710241359788216,0.05154639175257732,0.2
FashionMNIST,small,44,10,a2,redundancy,loss_free,activation_fisher,-0.008246490525116989,0.0,0.05
FashionMNIST,small,44,10,a2,redundancy,loss_free,activation_fisher,-0.008246490525116989,0.0,0.1
FashionMNIST,small,44,10,a2,redundancy,loss_free,activation_fisher,-0.008246490525116989,0.13636363636363635,0.2
FashionMNIST,small,44,10,a1,hebbian,loss_free,activation_fisher,0.6151114385442893,0.2631578947368421,0.05
FashionMNIST,small,44,10,a1,hebbian,loss_free,activation_fisher,0.6151114385442893,0.35135135135135137,0.1
FashionMNIST,small,44,10,a1,hebbian,loss_free,activation_fisher,0.6151114385442893,0.43661971830985913,0.2
FashionMNIST,small,44,10,a2,hebbian,loss_free,activation_fisher,0.25789856192094857,1.0,0.05
FashionMNIST,small,44,10,a2,hebbian,loss_free,activation_fisher,0.25789856192094857,0.4117647058823529,0.1
FashionMNIST,small,44,10,a2,hebbian,loss_free,activation_fisher,0.25789856192094857,0.25,0.2
FashionMNIST,small,44,10,a1,weight_fisher,loss_aware,activation_fisher,0.9212484264133669,0.3333333333333333,0.05
FashionMNIST,small,44,10,a1,weight_fisher,loss_aware,activation_fisher,0.9212484264133669,0.5151515151515151,0.1
FashionMNIST,small,44,10,a1,weight_fisher,loss_aware,activation_fisher,0.9212484264133669,0.7288135593220338,0.2
FashionMNIST,small,44,10,a2,weight_fisher,loss_aware,activation_fisher,0.576490583529331,0.7142857142857143,0.05
FashionMNIST,small,44,10,a2,weight_fisher,loss_aware,activation_fisher,0.576490583529331,0.5,0.1
FashionMNIST,small,44,10,a2,weight_fisher,loss_aware,activation_fisher,0.576490583529331,0.47058823529411764,0.2
