dataset,architecture,seed,epoch,layer,criterion,criterion_group,previous_epoch,spearman,topk_jaccard,topk_ratio
FashionMNIST,small,44,2,a1,activation_variance,baseline,1,0.5688887617303731,0.2631578947368421,0.05
FashionMNIST,small,44,2,a1,activation_variance,baseline,1,0.5688887617303731,0.25,0.1
FashionMNIST,small,44,2,a1,activation_variance,baseline,1,0.5688887617303731,0.3972602739726027,0.2
FashionMNIST,small,44,2,a2,activation_variance,baseline,1,0.8333037673931238,0.5,0.05
FashionMNIST,small,44,2,a2,activation_variance,baseline,1,0.8333037673931238,0.7142857142857143,0.1
FashionMNIST,small,44,2,a2,activation_variance,baseline,1,0.8333037673931238,0.5151515151515151,0.2
FashionMNIST,small,44,2,a1,class_selectivity,loss_free,1,0.6582341496910048,0.2631578947368421,0.05
FashionMNIST,small,44,2,a1,class_selectivity,loss_free,1,0.6582341496910048,0.42857142857142855,0.1
FashionMNIST,small,44,2,a1,class_selectivity,loss_free,1,0.6582341496910048,0.3972602739726027,0.2
FashionMNIST,small,44,2,a2,class_selectivity,loss_free,1,0.862936873228351,0.5,0.05
FashionMNIST,small,44,2,a2,class_selectivity,loss_free,1,0.862936873228351,0.7142857142857143,0.1
FashionMNIST,small,44,2,a2,class_selectivity,loss_free,1,0.862936873228351,0.5625,0.2
FashionMNIST,small,44,2,a1,firing_rate,baseline,1,0.6718177138015378,0.6,0.05
FashionMNIST,small,44,2,a1,firing_rate,baseline,1,0.6718177138015378,0.5625,0.1
FashionMNIST,small,44,2,a1,firing_rate,baseline,1,0.6718177138015378,0.5223880597014925,0.2
FashionMNIST,small,44,2,a2,firing_rate,baseline,1,0.7218933917680387,0.7142857142857143,0.05
FashionMNIST,small,44,2,a2,firing_rate,baseline,1,0.7218933917680387,0.8461538461538461,0.1
FashionMNIST,small,44,2,a2,firing_rate,baseline,1,0.7218933917680387,0.6129032258064516,0.2
FashionMNIST,small,44,2,a1,hebbian,loss_free,1,0.6037937743190661,0.4117647058823529,0.05
FashionMNIST,small,44,2,a1,hebbian,loss_free,1,0.6037937743190661,0.3888888888888889,0.1
FashionMNIST,small,44,2,a1,hebbian,loss_free,1,0.6037937743190661,0.3783783783783784,0.2
FashionMNIST,small,44,2,a2,hebbian,loss_free,1,0.7252613948432486,0.5,0.05
FashionMNIST,small,44,2,a2,hebbian,loss_free,1,0.7252613948432486,0.6,0.1
FashionMNIST,small,44,2,a2,hebbian,loss_free,1,0.7252613948432486,0.5625,0.2
FashionMNIST,small,44,2,a1,mean_activation,baseline,1,0.5799296177615015,0.3333333333333333,0.05
FashionMNIST,small,44,2,a1,mean_activation,baseline,1,0.5799296177615015,0.42857142857142855,0.1
FashionMNIST,small,44,2,a1,mean_activation,baseline,1,0.5799296177615015,0.4166666666666667,0.2
FashionMNIST,small,44,2,a2,mean_activation,baseline,1,0.7581908832511082,0.5,0.05
FashionMNIST,small,44,2,a2,mean_activation,baseline,1,0.7581908832511082,0.7142857142857143,0.1
FashionMNIST,small,44,2,a2,mean_activation,baseline,1,0.7581908832511082,0.5625,0.2
FashionMNIST,small,44,2,a1,output_weight_norm,baseline,1,0.912143797207599,0.4117647058823529,0.05
FashionMNIST,small,44,2,a1,output_weight_norm,baseline,1,0.912143797207599,0.5625,0.1
FashionMNIST,small,44,2,a1,output_weight_norm,baseline,1,0.912143797207599,0.5692307692307692,0.2
FashionMNIST,small,44,2,a2,output_weight_norm,baseline,1,0.8926879234572422,0.7142857142857143,0.05
FashionMNIST,small,44,2,a2,output_weight_norm,baseline,1,0.8926879234572422,0.8461538461538461,0.1
FashionMNIST,small,44,2,a2,output_weight_norm,baseline,1,0.8926879234572422,0.8518518518518519,0.2
FashionMNIST,small,44,2,a1,redundancy,loss_free,1,0.722647962125999,0.3333333333333333,0.05
FashionMNIST,small,44,2,a1,redundancy,loss_free,1,0.722647962125999,0.3157894736842105,0.1
FashionMNIST,small,44,2,a1,redundancy,loss_free,1,0.722647962125999,0.3246753246753247,0.2
FashionMNIST,small,44,2,a2,redundancy,loss_free,1,0.8194354839233101,0.3333333333333333,0.05
FashionMNIST,small,44,2,a2,redundancy,loss_free,1,0.8194354839233101,0.6,0.1
FashionMNIST,small,44,2,a2,redundancy,loss_free,1,0.8194354839233101,0.6129032258064516,0.2
FashionMNIST,small,44,3,a1,activation_variance,baseline,2,0.5242275120164798,0.3333333333333333,0.05
