dataset,architecture,seed,epoch,layer,criterion,criterion_group,scoring_time_seconds,scoring_memory_mb,num_forward_passes,num_backward_passes,calibration_size,reference_calibration_size,spearman_vs_full,topk_jaccard_vs_full,topk_ratio
MNIST,deep,42,10,a1,hebbian,loss_free,0.11101751099340618,28.8232421875,1,0,128,2048,0.9773002581706293,0.19047619047619047,0.05
MNIST,deep,42,10,a1,hebbian,loss_free,0.11101751099340618,28.8232421875,1,0,128,2048,0.9773002581706293,0.5223880597014925,0.1
MNIST,deep,42,10,a1,hebbian,loss_free,0.11101751099340618,28.8232421875,1,0,128,2048,0.9773002581706293,0.8888888888888888,0.2
MNIST,deep,42,10,a2,hebbian,loss_free,0.11101751099340618,28.8232421875,1,0,128,2048,0.9676250581909229,0.7857142857142857,0.05
MNIST,deep,42,10,a2,hebbian,loss_free,0.11101751099340618,28.8232421875,1,0,128,2048,0.9676250581909229,0.7586206896551724,0.1
MNIST,deep,42,10,a2,hebbian,loss_free,0.11101751099340618,28.8232421875,1,0,128,2048,0.9676250581909229,0.7894736842105263,0.2
MNIST,deep,42,10,a3,hebbian,loss_free,0.11101751099340618,28.8232421875,1,0,128,2048,0.9733447757307799,0.7142857142857143,0.05
MNIST,deep,42,10,a3,hebbian,loss_free,0.11101751099340618,28.8232421875,1,0,128,2048,0.9733447757307799,0.8518518518518519,0.1
MNIST,deep,42,10,a3,hebbian,loss_free,0.11101751099340618,28.8232421875,1,0,128,2048,0.9733447757307799,0.7894736842105263,0.2
MNIST,deep,42,10,a4,hebbian,loss_free,0.11101751099340618,28.8232421875,1,0,128,2048,0.9804261420705336,0.2,0.05
MNIST,deep,42,10,a4,hebbian,loss_free,0.11101751099340618,28.8232421875,1,0,128,2048,0.9804261420705336,1.0,0.1
MNIST,deep,42,10,a4,hebbian,loss_free,0.11101751099340618,28.8232421875,1,0,128,2048,0.9804261420705336,0.9245283018867925,0.2
MNIST,deep,42,10,a5,hebbian,loss_free,0.11101751099340618,28.8232421875,1,0,128,2048,0.9743630112870306,0.5,0.05
MNIST,deep,42,10,a5,hebbian,loss_free,0.11101751099340618,28.8232421875,1,0,128,2048,0.9743630112870306,1.0,0.1
MNIST,deep,42,10,a5,hebbian,loss_free,0.11101751099340618,28.8232421875,1,0,128,2048,0.9743630112870306,0.7857142857142857,0.2
MNIST,deep,42,10,a6,hebbian,loss_free,0.11101751099340618,28.8232421875,1,0,128,2048,0.9691391941391941,0.5,0.05
MNIST,deep,42,10,a6,hebbian,loss_free,0.11101751099340618,28.8232421875,1,0,128,2048,0.9691391941391941,0.7142857142857143,0.1
MNIST,deep,42,10,a6,hebbian,loss_free,0.11101751099340618,28.8232421875,1,0,128,2048,0.9691391941391941,0.8461538461538461,0.2
MNIST,deep,42,10,a1,activation_fisher,loss_aware,0.041484054061584175,33.30517578125,1,1,128,2048,0.7799310593029758,0.21951219512195122,0.05
MNIST,deep,42,10,a1,activation_fisher,loss_aware,0.041484054061584175,33.30517578125,1,1,128,2048,0.7799310593029758,0.4782608695652174,0.1
MNIST,deep,42,10,a1,activation_fisher,loss_aware,0.041484054061584175,33.30517578125,1,1,128,2048,0.7799310593029758,0.7435897435897436,0.2
MNIST,deep,42,10,a2,activation_fisher,loss_aware,0.041484054061584175,33.30517578125,1,1,128,2048,0.6512870786229056,0.42857142857142855,0.05
MNIST,deep,42,10,a2,activation_fisher,loss_aware,0.041484054061584175,33.30517578125,1,1,128,2048,0.6512870786229056,0.36,0.1
MNIST,deep,42,10,a2,activation_fisher,loss_aware,0.041484054061584175,33.30517578125,1,1,128,2048,0.6512870786229056,0.43661971830985913,0.2
MNIST,deep,42,10,a3,activation_fisher,loss_aware,0.041484054061584175,33.30517578125,1,1,128,2048,0.5737599788270321,0.7142857142857143,0.05
MNIST,deep,42,10,a3,activation_fisher,loss_aware,0.041484054061584175,33.30517578125,1,1,128,2048,0.5737599788270321,0.7857142857142857,0.1
MNIST,deep,42,10,a3,activation_fisher,loss_aware,0.041484054061584175,33.30517578125,1,1,128,2048,0.5737599788270321,0.5223880597014925,0.2
MNIST,deep,42,10,a4,activation_fisher,loss_aware,0.041484054061584175,33.30517578125,1,1,128,2048,0.6159041971767462,0.14285714285714285,0.05
MNIST,deep,42,10,a4,activation_fisher,loss_aware,0.041484054061584175,33.30517578125,1,1,128,2048,0.6159041971767462,0.9230769230769231,0.1
MNIST,deep,42,10,a4,activation_fisher,loss_aware,0.041484054061584175,33.30517578125,1,1,128,2048,0.6159041971767462,0.59375,0.2
MNIST,deep,42,10,a5,activation_fisher,loss_aware,0.041484054061584175,33.30517578125,1,1,128,2048,0.46024921351466624,0.5,0.05
MNIST,deep,42,10,a5,activation_fisher,loss_aware,0.041484054061584175,33.30517578125,1,1,128,2048,0.46024921351466624,0.8461538461538461,0.1
MNIST,deep,42,10,a5,activation_fisher,loss_aware,0.041484054061584175,33.30517578125,1,1,128,2048,0.46024921351466624,0.42857142857142855,0.2
MNIST,deep,42,10,a6,activation_fisher,loss_aware,0.041484054061584175,33.30517578125,1,1,128,2048,0.37284798534798536,0.2,0.05
MNIST,deep,42,10,a6,activation_fisher,loss_aware,0.041484054061584175,33.30517578125,1,1,128,2048,0.37284798534798536,0.2,0.1
MNIST,deep,42,10,a6,activation_fisher,loss_aware,0.041484054061584175,33.30517578125,1,1,128,2048,0.37284798534798536,0.2631578947368421,0.2
MNIST,deep,42,10,a1,hebbian,loss_free,0.18319405696820468,29.6669921875,2,0,256,2048,0.990794717461328,0.25,0.05
MNIST,deep,42,10,a1,hebbian,loss_free,0.18319405696820468,29.6669921875,2,0,256,2048,0.990794717461328,0.7288135593220338,0.1
MNIST,deep,42,10,a1,hebbian,loss_free,0.18319405696820468,29.6669921875,2,0,256,2048,0.990794717461328,0.9245283018867925,0.2
MNIST,deep,42,10,a2,hebbian,loss_free,0.18319405696820468,29.6669921875,2,0,256,2048,0.9820128893862121,0.7857142857142857,0.05
MNIST,deep,42,10,a2,hebbian,loss_free,0.18319405696820468,29.6669921875,2,0,256,2048,0.9820128893862121,0.7894736842105263,0.1
MNIST,deep,42,10,a2,hebbian,loss_free,0.18319405696820468,29.6669921875,2,0,256,2048,0.9820128893862121,0.7435897435897436,0.2
MNIST,deep,42,10,a3,hebbian,loss_free,0.18319405696820468,29.6669921875,2,0,256,2048,0.9818440645700026,0.8461538461538461,0.05
MNIST,deep,42,10,a3,hebbian,loss_free,0.18319405696820468,29.6669921875,2,0,256,2048,0.9818440645700026,0.9230769230769231,0.1
MNIST,deep,42,10,a3,hebbian,loss_free,0.18319405696820468,29.6669921875,2,0,256,2048,0.9818440645700026,0.8545454545454545,0.2
MNIST,deep,42,10,a4,hebbian,loss_free,0.18319405696820468,29.6669921875,2,0,256,2048,0.9899349122835066,0.4117647058823529,0.05
MNIST,deep,42,10,a4,hebbian,loss_free,0.18319405696820468,29.6669921875,2,0,256,2048,0.9899349122835066,1.0,0.1
MNIST,deep,42,10,a4,hebbian,loss_free,0.18319405696820468,29.6669921875,2,0,256,2048,0.9899349122835066,0.9615384615384616,0.2
MNIST,deep,42,10,a5,hebbian,loss_free,0.18319405696820468,29.6669921875,2,0,256,2048,0.9865975456505,0.3333333333333333,0.05
MNIST,deep,42,10,a5,hebbian,loss_free,0.18319405696820468,29.6669921875,2,0,256,2048,0.9865975456505,1.0,0.1
MNIST,deep,42,10,a5,hebbian,loss_free,0.18319405696820468,29.6669921875,2,0,256,2048,0.9865975456505,0.7857142857142857,0.2
MNIST,deep,42,10,a6,hebbian,loss_free,0.18319405696820468,29.6669921875,2,0,256,2048,0.9794413919413919,0.5,0.05
MNIST,deep,42,10,a6,hebbian,loss_free,0.18319405696820468,29.6669921875,2,0,256,2048,0.9794413919413919,0.7142857142857143,0.1
MNIST,deep,42,10,a6,hebbian,loss_free,0.18319405696820468,29.6669921875,2,0,256,2048,0.9794413919413919,0.8461538461538461,0.2
MNIST,deep,42,10,a1,activation_fisher,loss_aware,0.04986110597383231,33.30517578125,2,2,256,2048,0.7976553463377989,0.28205128205128205,0.05
MNIST,deep,42,10,a1,activation_fisher,loss_aware,0.04986110597383231,33.30517578125,2,2,256,2048,0.7976553463377989,0.6190476190476191,0.1
MNIST,deep,42,10,a1,activation_fisher,loss_aware,0.04986110597383231,33.30517578125,2,2,256,2048,0.7976553463377989,0.7586206896551724,0.2
MNIST,deep,42,10,a2,activation_fisher,loss_aware,0.04986110597383231,33.30517578125,2,2,256,2048,0.6607000727174197,0.3888888888888889,0.05
MNIST,deep,42,10,a2,activation_fisher,loss_aware,0.04986110597383231,33.30517578125,2,2,256,2048,0.6607000727174197,0.3972602739726027,0.1
MNIST,deep,42,10,a2,activation_fisher,loss_aware,0.04986110597383231,33.30517578125,2,2,256,2048,0.6607000727174197,0.42657342657342656,0.2
MNIST,deep,42,10,a3,activation_fisher,loss_aware,0.04986110597383231,33.30517578125,2,2,256,2048,0.5889195893749786,0.8461538461538461,0.05
MNIST,deep,42,10,a3,activation_fisher,loss_aware,0.04986110597383231,33.30517578125,2,2,256,2048,0.5889195893749786,0.7241379310344828,0.1
MNIST,deep,42,10,a3,activation_fisher,loss_aware,0.04986110597383231,33.30517578125,2,2,256,2048,0.5889195893749786,0.5454545454545454,0.2
MNIST,deep,42,10,a4,activation_fisher,loss_aware,0.04986110597383231,33.30517578125,2,2,256,2048,0.621644531170577,0.3333333333333333,0.05
MNIST,deep,42,10,a4,activation_fisher,loss_aware,0.04986110597383231,33.30517578125,2,2,256,2048,0.621644531170577,1.0,0.1
MNIST,deep,42,10,a4,activation_fisher,loss_aware,0.04986110597383231,33.30517578125,2,2,256,2048,0.621644531170577,0.5692307692307692,0.2
MNIST,deep,42,10,a5,activation_fisher,loss_aware,0.04986110597383231,33.30517578125,2,2,256,2048,0.44366932979140605,0.3333333333333333,0.05
MNIST,deep,42,10,a5,activation_fisher,loss_aware,0.04986110597383231,33.30517578125,2,2,256,2048,0.44366932979140605,0.8461538461538461,0.1
MNIST,deep,42,10,a5,activation_fisher,loss_aware,0.04986110597383231,33.30517578125,2,2,256,2048,0.44366932979140605,0.42857142857142855,0.2
MNIST,deep,42,10,a6,activation_fisher,loss_aware,0.04986110597383231,33.30517578125,2,2,256,2048,0.3625915750915751,0.2,0.05
MNIST,deep,42,10,a6,activation_fisher,loss_aware,0.04986110597383231,33.30517578125,2,2,256,2048,0.3625915750915751,0.2,0.1
MNIST,deep,42,10,a6,activation_fisher,loss_aware,0.04986110597383231,33.30517578125,2,2,256,2048,0.3625915750915751,0.2631578947368421,0.2
MNIST,deep,42,10,a1,hebbian,loss_free,0.20609477895777673,29.6669921875,4,0,512,2048,0.9960873014541063,0.3888888888888889,0.05
MNIST,deep,42,10,a1,hebbian,loss_free,0.20609477895777673,29.6669921875,4,0,512,2048,0.9960873014541063,0.7586206896551724,0.1
MNIST,deep,42,10,a1,hebbian,loss_free,0.20609477895777673,29.6669921875,4,0,512,2048,0.9960873014541063,0.9615384615384616,0.2
MNIST,deep,42,10,a2,hebbian,loss_free,0.20609477895777673,29.6669921875,4,0,512,2048,0.9946385035589306,0.9230769230769231,0.05
MNIST,deep,42,10,a2,hebbian,loss_free,0.20609477895777673,29.6669921875,4,0,512,2048,0.9946385035589306,0.8888888888888888,0.1
MNIST,deep,42,10,a2,hebbian,loss_free,0.20609477895777673,29.6669921875,4,0,512,2048,0.9946385035589306,0.9065420560747663,0.2
MNIST,deep,42,10,a3,hebbian,loss_free,0.20609477895777673,29.6669921875,4,0,512,2048,0.9967280356697047,1.0,0.05
MNIST,deep,42,10,a3,hebbian,loss_free,0.20609477895777673,29.6669921875,4,0,512,2048,0.9967280356697047,1.0,0.1
MNIST,deep,42,10,a3,hebbian,loss_free,0.20609477895777673,29.6669921875,4,0,512,2048,0.9967280356697047,0.9245283018867925,0.2
MNIST,deep,42,10,a4,hebbian,loss_free,0.20609477895777673,29.6669921875,4,0,512,2048,0.9980071674932852,0.8461538461538461,0.05
MNIST,deep,42,10,a4,hebbian,loss_free,0.20609477895777673,29.6669921875,4,0,512,2048,0.9980071674932852,1.0,0.1
MNIST,deep,42,10,a4,hebbian,loss_free,0.20609477895777673,29.6669921875,4,0,512,2048,0.9980071674932852,1.0,0.2
MNIST,deep,42,10,a5,hebbian,loss_free,0.20609477895777673,29.6669921875,4,0,512,2048,0.9963073118088733,0.7142857142857143,0.05
MNIST,deep,42,10,a5,hebbian,loss_free,0.20609477895777673,29.6669921875,4,0,512,2048,0.9963073118088733,1.0,0.1
MNIST,deep,42,10,a5,hebbian,loss_free,0.20609477895777673,29.6669921875,4,0,512,2048,0.9963073118088733,0.9230769230769231,0.2
MNIST,deep,42,10,a6,hebbian,loss_free,0.20609477895777673,29.6669921875,4,0,512,2048,0.9960622710622711,1.0,0.05
MNIST,deep,42,10,a6,hebbian,loss_free,0.20609477895777673,29.6669921875,4,0,512,2048,0.9960622710622711,0.7142857142857143,0.1
MNIST,deep,42,10,a6,hebbian,loss_free,0.20609477895777673,29.6669921875,4,0,512,2048,0.9960622710622711,1.0,0.2
MNIST,deep,42,10,a1,activation_fisher,loss_aware,0.0441778099630028,33.30517578125,4,4,512,2048,0.8557048808878072,0.28205128205128205,0.05
MNIST,deep,42,10,a1,activation_fisher,loss_aware,0.0441778099630028,33.30517578125,4,4,512,2048,0.8557048808878072,0.59375,0.1
MNIST,deep,42,10,a1,activation_fisher,loss_aware,0.0441778099630028,33.30517578125,4,4,512,2048,0.8557048808878072,0.8053097345132744,0.2
MNIST,deep,42,10,a2,activation_fisher,loss_aware,0.0441778099630028,33.30517578125,4,4,512,2048,0.7936708556887344,0.5151515151515151,0.05
MNIST,deep,42,10,a2,activation_fisher,loss_aware,0.0441778099630028,33.30517578125,4,4,512,2048,0.7936708556887344,0.5223880597014925,0.1
MNIST,deep,42,10,a2,activation_fisher,loss_aware,0.0441778099630028,33.30517578125,4,4,512,2048,0.7936708556887344,0.5454545454545454,0.2
MNIST,deep,42,10,a3,activation_fisher,loss_aware,0.0441778099630028,33.30517578125,4,4,512,2048,0.8252768186263043,1.0,0.05
MNIST,deep,42,10,a3,activation_fisher,loss_aware,0.0441778099630028,33.30517578125,4,4,512,2048,0.8252768186263043,0.7857142857142857,0.1
MNIST,deep,42,10,a3,activation_fisher,loss_aware,0.0441778099630028,33.30517578125,4,4,512,2048,0.8252768186263043,0.6451612903225806,0.2
MNIST,deep,42,10,a4,activation_fisher,loss_aware,0.0441778099630028,33.30517578125,4,4,512,2048,0.863964642718387,0.2,0.05
MNIST,deep,42,10,a4,activation_fisher,loss_aware,0.0441778099630028,33.30517578125,4,4,512,2048,0.863964642718387,0.9230769230769231,0.1
MNIST,deep,42,10,a4,activation_fisher,loss_aware,0.0441778099630028,33.30517578125,4,4,512,2048,0.863964642718387,0.7,0.2
MNIST,deep,42,10,a5,activation_fisher,loss_aware,0.0441778099630028,33.30517578125,4,4,512,2048,0.7798585328291431,0.5,0.05
MNIST,deep,42,10,a5,activation_fisher,loss_aware,0.0441778099630028,33.30517578125,4,4,512,2048,0.7798585328291431,1.0,0.1
MNIST,deep,42,10,a5,activation_fisher,loss_aware,0.0441778099630028,33.30517578125,4,4,512,2048,0.7798585328291431,0.6666666666666666,0.2
MNIST,deep,42,10,a6,activation_fisher,loss_aware,0.0441778099630028,33.30517578125,4,4,512,2048,0.772985347985348,0.5,0.05
MNIST,deep,42,10,a6,activation_fisher,loss_aware,0.0441778099630028,33.30517578125,4,4,512,2048,0.772985347985348,0.7142857142857143,0.1
MNIST,deep,42,10,a6,activation_fisher,loss_aware,0.0441778099630028,33.30517578125,4,4,512,2048,0.772985347985348,0.4117647058823529,0.2
MNIST,deep,42,10,a1,hebbian,loss_free,0.16167043498717248,29.6669921875,8,0,1024,2048,0.9978806823443394,0.3888888888888889,0.05
MNIST,deep,42,10,a1,hebbian,loss_free,0.16167043498717248,29.6669921875,8,0,1024,2048,0.9978806823443394,0.8214285714285714,0.1
MNIST,deep,42,10,a1,hebbian,loss_free,0.16167043498717248,29.6669921875,8,0,1024,2048,0.9978806823443394,0.9615384615384616,0.2
MNIST,deep,42,10,a2,hebbian,loss_free,0.16167043498717248,29.6669921875,8,0,1024,2048,0.9971943942781737,0.9230769230769231,0.05
MNIST,deep,42,10,a2,hebbian,loss_free,0.16167043498717248,29.6669921875,8,0,1024,2048,0.9971943942781737,0.8888888888888888,0.1
MNIST,deep,42,10,a2,hebbian,loss_free,0.16167043498717248,29.6669921875,8,0,1024,2048,0.9971943942781737,0.9065420560747663,0.2
MNIST,deep,42,10,a3,hebbian,loss_free,0.16167043498717248,29.6669921875,8,0,1024,2048,0.9978310896699922,1.0,0.05
MNIST,deep,42,10,a3,hebbian,loss_free,0.16167043498717248,29.6669921875,8,0,1024,2048,0.9978310896699922,1.0,0.1
MNIST,deep,42,10,a3,hebbian,loss_free,0.16167043498717248,29.6669921875,8,0,1024,2048,0.9978310896699922,0.9245283018867925,0.2
MNIST,deep,42,10,a4,hebbian,loss_free,0.16167043498717248,29.6669921875,8,0,1024,2048,0.997843975953311,0.6,0.05
MNIST,deep,42,10,a4,hebbian,loss_free,0.16167043498717248,29.6669921875,8,0,1024,2048,0.997843975953311,1.0,0.1
MNIST,deep,42,10,a4,hebbian,loss_free,0.16167043498717248,29.6669921875,8,0,1024,2048,0.997843975953311,0.9615384615384616,0.2
MNIST,deep,42,10,a5,hebbian,loss_free,0.16167043498717248,29.6669921875,8,0,1024,2048,0.9971832517983964,0.2,0.05
MNIST,deep,42,10,a5,hebbian,loss_free,0.16167043498717248,29.6669921875,8,0,1024,2048,0.9971832517983964,1.0,0.1
MNIST,deep,42,10,a5,hebbian,loss_free,0.16167043498717248,29.6669921875,8,0,1024,2048,0.9971832517983964,0.8518518518518519,0.2
MNIST,deep,42,10,a6,hebbian,loss_free,0.16167043498717248,29.6669921875,8,0,1024,2048,0.9965201465201465,1.0,0.05
MNIST,deep,42,10,a6,hebbian,loss_free,0.16167043498717248,29.6669921875,8,0,1024,2048,0.9965201465201465,0.7142857142857143,0.1
MNIST,deep,42,10,a6,hebbian,loss_free,0.16167043498717248,29.6669921875,8,0,1024,2048,0.9965201465201465,1.0,0.2
