dataset,architecture,seed,epoch,layer,criterion,criterion_group,reference_criterion,spearman,topk_jaccard,topk_ratio
MNIST,deep,42,10,a1,output_weight_norm,baseline,activation_fisher,0.6503803160915759,0.25,0.05
MNIST,deep,42,10,a1,output_weight_norm,baseline,activation_fisher,0.6503803160915759,0.7288135593220338,0.1
MNIST,deep,42,10,a1,output_weight_norm,baseline,activation_fisher,0.6503803160915759,0.7,0.2
MNIST,deep,42,10,a2,output_weight_norm,baseline,activation_fisher,0.3918555958190465,0.3157894736842105,0.05
MNIST,deep,42,10,a2,output_weight_norm,baseline,activation_fisher,0.3918555958190465,0.36,0.1
MNIST,deep,42,10,a2,output_weight_norm,baseline,activation_fisher,0.3918555958190465,0.3076923076923077,0.2
MNIST,deep,42,10,a3,output_weight_norm,baseline,activation_fisher,0.3449013368878795,0.7142857142857143,0.05
MNIST,deep,42,10,a3,output_weight_norm,baseline,activation_fisher,0.3449013368878795,0.42857142857142855,0.1
MNIST,deep,42,10,a3,output_weight_norm,baseline,activation_fisher,0.3449013368878795,0.3246753246753247,0.2
MNIST,deep,42,10,a4,output_weight_norm,baseline,activation_fisher,0.4004472749153232,0.4117647058823529,0.05
MNIST,deep,42,10,a4,output_weight_norm,baseline,activation_fisher,0.4004472749153232,0.42857142857142855,0.1
MNIST,deep,42,10,a4,output_weight_norm,baseline,activation_fisher,0.4004472749153232,0.3972602739726027,0.2
MNIST,deep,42,10,a5,output_weight_norm,baseline,activation_fisher,0.327567145096334,0.5,0.05
MNIST,deep,42,10,a5,output_weight_norm,baseline,activation_fisher,0.327567145096334,0.6,0.1
MNIST,deep,42,10,a5,output_weight_norm,baseline,activation_fisher,0.327567145096334,0.35135135135135137,0.2
MNIST,deep,42,10,a6,output_weight_norm,baseline,activation_fisher,0.01684981684981685,0.0,0.05
MNIST,deep,42,10,a6,output_weight_norm,baseline,activation_fisher,0.01684981684981685,0.2,0.1
MNIST,deep,42,10,a6,output_weight_norm,baseline,activation_fisher,0.01684981684981685,0.2,0.2
MNIST,deep,42,10,a1,mean_activation,baseline,activation_fisher,0.845724618744032,0.28205128205128205,0.05
MNIST,deep,42,10,a1,mean_activation,baseline,activation_fisher,0.845724618744032,0.6721311475409836,0.1
MNIST,deep,42,10,a1,mean_activation,baseline,activation_fisher,0.845724618744032,0.8378378378378378,0.2
MNIST,deep,42,10,a2,mean_activation,baseline,activation_fisher,0.6945655604923865,0.47058823529411764,0.05
MNIST,deep,42,10,a2,mean_activation,baseline,activation_fisher,0.6945655604923865,0.4782608695652174,0.1
MNIST,deep,42,10,a2,mean_activation,baseline,activation_fisher,0.6945655604923865,0.45714285714285713,0.2
MNIST,deep,42,10,a3,mean_activation,baseline,activation_fisher,0.587848379433408,1.0,0.05
MNIST,deep,42,10,a3,mean_activation,baseline,activation_fisher,0.587848379433408,0.9230769230769231,0.1
MNIST,deep,42,10,a3,mean_activation,baseline,activation_fisher,0.587848379433408,0.5692307692307692,0.2
MNIST,deep,42,10,a4,mean_activation,baseline,activation_fisher,0.6829968912703278,0.4117647058823529,0.05
MNIST,deep,42,10,a4,mean_activation,baseline,activation_fisher,0.6829968912703278,0.9230769230769231,0.1
MNIST,deep,42,10,a4,mean_activation,baseline,activation_fisher,0.6829968912703278,0.6451612903225806,0.2
MNIST,deep,42,10,a5,mean_activation,baseline,activation_fisher,0.589332997460919,0.3333333333333333,0.05
MNIST,deep,42,10,a5,mean_activation,baseline,activation_fisher,0.589332997460919,0.8461538461538461,0.1
MNIST,deep,42,10,a5,mean_activation,baseline,activation_fisher,0.589332997460919,0.5151515151515151,0.2
