dataset,architecture,seed,epoch,layer,prune_scope,criterion,criterion_group,random_draw,pruning_percentage,fine_tune_epochs,validation_accuracy,test_accuracy,validation_loss,test_loss,parameter_count,parameter_reduction,estimated_macs,mac_reduction,scoring_time_seconds,scoring_memory_mb,num_forward_passes,num_backward_passes,calibration_size,compact_inference_time_seconds,compact_test_accuracy,compact_test_loss,masked_inference_time_seconds,original_macs,original_parameter_count,test_per_class_accuracy_json,validation_per_class_accuracy_json,weight_fisher_mode,weight_fisher_parts
MNIST,deep,43,10,all,all,random,baseline,0,0.05,0,0.9762,0.9768,0.09604938751459122,0.09330686593353749,836816,0.07380425855950978,835161,0.07385446238466997,0.0,0.0,0,0,0,0.3241146099753678,0.9768,0.09330686467587948,0.3298840520437807,901760,903498,"[0.9928571428571429, 0.9859030837004406, 0.9815891472868217, 0.9752475247524752, 0.9796334012219959, 0.9573991031390134, 0.9739039665970772, 0.9659533073929961, 0.9845995893223819, 0.9682854311199207]","[0.9960278053624627, 0.9799818016378526, 0.9811133200795229, 0.9678362573099415, 0.9825819672131147, 0.9442586399108138, 0.9836233367451381, 0.9715686274509804, 0.9816326530612245, 0.9703557312252964]",batch,both
MNIST,deep,43,10,all,all,random,baseline,0,0.05,1,0.9835,0.9826,0.07933604859709739,0.07548650365418508,836816,0.07380425855950978,835161,0.07385446238466997,0.0,0.0,0,0,0,0.3241654640296474,0.9826,0.07548650397306993,0.3224042820511386,901760,903498,"[0.9908163265306122, 0.9920704845814978, 0.9835271317829457, 0.9841584158415841, 0.9755600814663951, 0.9786995515695067, 0.9812108559498957, 0.9795719844357976, 0.9784394250513347, 0.9801783944499505]","[0.9930486593843099, 0.9845313921747043, 0.9840954274353877, 0.9844054580896686, 0.9805327868852459, 0.9821627647714605, 0.9907881269191402, 0.9813725490196078, 0.976530612244898, 0.9772727272727273]",batch,both
MNIST,deep,43,10,all,all,random,baseline,0,0.05,3,0.9833,0.9844,0.08306505373120308,0.07224680321613196,836816,0.07380425855950978,835161,0.07385446238466997,0.0,0.0,0,0,0,0.32377800694666803,0.9844,0.07224680415490511,0.322821783949621,901760,903498,"[0.9908163265306122, 0.9947136563876652, 0.9815891472868217, 0.9871287128712871, 0.9837067209775967, 0.9775784753363229, 0.9853862212943633, 0.9785992217898832, 0.9835728952772074, 0.979187314172448]","[0.9900695134061569, 0.986351228389445, 0.9811133200795229, 0.9834307992202729, 0.9866803278688525, 0.9821627647714605, 0.9887410440122825, 0.9803921568627451, 0.9755102040816327, 0.9782608695652174]",batch,both
MNIST,deep,43,10,all,all,random,baseline,0,0.05,5,0.9828,0.9841,0.08370964164305478,0.08017629905802014,836816,0.07380425855950978,835161,0.07385446238466997,0.0,0.0,0,0,0,0.3383807819336653,0.9841,0.08017629839938882,0.3321546439547092,901760,903498,"[0.9918367346938776, 0.9938325991189427, 0.9835271317829457, 0.9811881188118812, 0.984725050916497, 0.9786995515695067, 0.9791231732776617, 0.9834630350194552, 0.9825462012320328, 0.9801783944499505]","[0.9930486593843099, 0.9872611464968153, 0.9781312127236581, 0.9834307992202729, 0.9877049180327869, 0.9788182831661093, 0.9856704196519959, 0.9823529411764705, 0.9755102040816327, 0.9752964426877471]",batch,both
MNIST,deep,43,10,all,all,random,baseline,0,0.1,0,0.9754,0.9751,0.11456761169433594,0.11423160311281681,769469,0.1483445453116664,767901,0.14844193577004972,0.0,0.0,0,0,0,0.3390085119754076,0.9751,0.11423160444796085,0.3339591409312561,901760,903498,"[0.9908163265306122, 0.9779735682819384, 0.9786821705426356, 0.9712871287128713, 0.9745417515274949, 0.9618834080717489, 0.975991649269311, 0.9591439688715954, 0.9835728952772074, 0.9762140733399405]","[0.997020854021847, 0.9736123748862603, 0.9821073558648111, 0.9668615984405458, 0.9774590163934426, 0.9498327759197325, 0.9795291709314228, 0.9666666666666667, 0.9836734693877551, 0.9752964426877471]",batch,both
MNIST,deep,43,10,all,all,random,baseline,0,0.1,1,0.9828,0.9814,0.07750097017586231,0.07297232280221942,769469,0.1483445453116664,767901,0.14844193577004972,0.0,0.0,0,0,0,0.34307411196641624,0.9814,0.0729723219677544,0.35308023798279464,901760,903498,"[0.9908163265306122, 0.9920704845814978, 0.9825581395348837, 0.9792079207920792, 0.9816700610997964, 0.976457399103139, 0.9832985386221295, 0.9785992217898832, 0.9753593429158111, 0.9722497522299306]","[0.9910625620655412, 0.9854413102820746, 0.9840954274353877, 0.97953216374269, 0.9846311475409836, 0.9832775919732442, 0.9907881269191402, 0.9803921568627451, 0.9714285714285714, 0.9772727272727273]",batch,both
MNIST,deep,43,10,all,all,random,baseline,0,0.1,3,0.984,0.9832,0.0780582395132631,0.07562158882575605,769469,0.1483445453116664,767901,0.14844193577004972,0.0,0.0,0,0,0,0.32010703010018915,0.9832,0.07562158961104724,0.35334179596975446,901760,903498,"[0.9908163265306122, 0.9920704845814978, 0.9825581395348837, 0.9801980198019802, 0.9806517311608961, 0.9786995515695067, 0.9853862212943633, 0.980544747081712, 0.9784394250513347, 0.981169474727453]","[0.9940417080436942, 0.9872611464968153, 0.9840954274353877, 0.9834307992202729, 0.9825819672131147, 0.9843924191750278, 0.9907881269191402, 0.9823529411764705, 0.9744897959183674, 0.9762845849802372]",batch,both
MNIST,deep,43,10,all,all,random,baseline,0,0.1,5,0.9829,0.9843,0.08183308231011033,0.0767543957690521,769469,0.1483445453116664,767901,0.14844193577004972,0.0,0.0,0,0,0,0.3221821060869843,0.9843,0.07675439629506309,0.32773669296875596,901760,903498,"[0.9908163265306122, 0.9955947136563876, 0.9864341085271318, 0.9821782178217822, 0.9857433808553971, 0.976457399103139, 0.9874739039665971, 0.9815175097276264, 0.9815195071868583, 0.9732408325074331]","[0.9930486593843099, 0.986351228389445, 0.9821073558648111, 0.9834307992202729, 0.985655737704918, 0.979933110367893, 0.9907881269191402, 0.9813725490196078, 0.9734693877551021, 0.9723320158102767]",batch,both
MNIST,deep,43,10,all,all,random,baseline,0,0.2,0,0.9709,0.9689,0.30309922566413877,0.29868271672725677,644001,0.28721369610115355,642606,0.2873868878637331,0.0,0.0,0,0,0,0.3317873809719458,0.9689,0.29868271181583406,0.3306024039629847,901760,903498,"[0.9918367346938776, 0.9718061674008811, 0.9699612403100775, 0.9732673267326732, 0.9684317718940937, 0.9383408071748879, 0.9728601252609603, 0.9464980544747081, 0.9845995893223819, 0.9692765113974232]","[0.9960278053624627, 0.9699727024567789, 0.9711729622266402, 0.969785575048733, 0.9743852459016393, 0.9297658862876255, 0.9764585465711362, 0.953921568627451, 0.9877551020408163, 0.9762845849802372]",batch,both
MNIST,deep,43,10,all,all,random,baseline,0,0.2,1,0.983,0.9807,0.07773775403499603,0.07885106059359387,644001,0.28721369610115355,642606,0.2873868878637331,0.0,0.0,0,0,0,0.32312027097214013,0.9807,0.07885106150405481,0.3517036880366504,901760,903498,"[0.9908163265306122, 0.9911894273127754, 0.9844961240310077, 0.9792079207920792, 0.9796334012219959, 0.9753363228699552, 0.9832985386221295, 0.9737354085603113, 0.971252566735113, 0.9762140733399405]","[0.9920556107249255, 0.9836214740673339, 0.9840954274353877, 0.9834307992202729, 0.9877049180327869, 0.9832775919732442, 0.9897645854657113, 0.9803921568627451, 0.9704081632653061, 0.9752964426877471]",batch,both
