dataset,architecture,seed,epoch,layer,criterion,criterion_group,previous_epoch,spearman,topk_jaccard,topk_ratio
MNIST,deep,43,2,a1,activation_variance,baseline,1,0.5185521335902886,0.6129032258064516,0.05
MNIST,deep,43,2,a1,activation_variance,baseline,1,0.5185521335902886,0.7,0.1
MNIST,deep,43,2,a1,activation_variance,baseline,1,0.5185521335902886,0.4676258992805755,0.2
MNIST,deep,43,2,a2,activation_variance,baseline,1,0.689595931863486,0.21951219512195122,0.05
MNIST,deep,43,2,a2,activation_variance,baseline,1,0.689595931863486,0.7586206896551724,0.1
MNIST,deep,43,2,a2,activation_variance,baseline,1,0.689595931863486,0.6062992125984252,0.2
MNIST,deep,43,2,a3,activation_variance,baseline,1,0.7827449925665952,0.14285714285714285,0.05
MNIST,deep,43,2,a3,activation_variance,baseline,1,0.7827449925665952,0.6129032258064516,0.1
MNIST,deep,43,2,a3,activation_variance,baseline,1,0.7827449925665952,0.7288135593220338,0.2
MNIST,deep,43,2,a4,activation_variance,baseline,1,0.7692809367279855,0.3333333333333333,0.05
MNIST,deep,43,2,a4,activation_variance,baseline,1,0.7692809367279855,0.7241379310344828,0.1
MNIST,deep,43,2,a4,activation_variance,baseline,1,0.7692809367279855,0.5223880597014925,0.2
MNIST,deep,43,2,a5,activation_variance,baseline,1,0.7426693474939403,0.2,0.05
MNIST,deep,43,2,a5,activation_variance,baseline,1,0.7426693474939403,0.6,0.1
MNIST,deep,43,2,a5,activation_variance,baseline,1,0.7426693474939403,0.6666666666666666,0.2
MNIST,deep,43,2,a6,activation_variance,baseline,1,0.8345695970695971,0.5,0.05
MNIST,deep,43,2,a6,activation_variance,baseline,1,0.8345695970695971,0.3333333333333333,0.1
MNIST,deep,43,2,a6,activation_variance,baseline,1,0.8345695970695971,0.6,0.2
MNIST,deep,43,2,a1,class_selectivity,loss_free,1,0.638355465045843,0.6129032258064516,0.05
MNIST,deep,43,2,a1,class_selectivity,loss_free,1,0.638355465045843,0.6721311475409836,0.1
MNIST,deep,43,2,a1,class_selectivity,loss_free,1,0.638355465045843,0.44680851063829785,0.2
MNIST,deep,43,2,a2,class_selectivity,loss_free,1,0.7164787436370167,0.5151515151515151,0.05
MNIST,deep,43,2,a2,class_selectivity,loss_free,1,0.7164787436370167,0.7586206896551724,0.1
MNIST,deep,43,2,a2,class_selectivity,loss_free,1,0.7164787436370167,0.5692307692307692,0.2
MNIST,deep,43,2,a3,class_selectivity,loss_free,1,0.7973157682412088,0.2,0.05
MNIST,deep,43,2,a3,class_selectivity,loss_free,1,0.7973157682412088,0.5625,0.1
MNIST,deep,43,2,a3,class_selectivity,loss_free,1,0.7973157682412088,0.6721311475409836,0.2
MNIST,deep,43,2,a4,class_selectivity,loss_free,1,0.7515237811002724,0.6,0.05
MNIST,deep,43,2,a4,class_selectivity,loss_free,1,0.7515237811002724,0.6666666666666666,0.1
MNIST,deep,43,2,a4,class_selectivity,loss_free,1,0.7515237811002724,0.5223880597014925,0.2
MNIST,deep,43,2,a5,class_selectivity,loss_free,1,0.7198983452348385,0.3333333333333333,0.05
MNIST,deep,43,2,a5,class_selectivity,loss_free,1,0.7198983452348385,0.7142857142857143,0.1
MNIST,deep,43,2,a5,class_selectivity,loss_free,1,0.7198983452348385,0.6129032258064516,0.2
MNIST,deep,43,2,a6,class_selectivity,loss_free,1,0.7076465201465202,0.0,0.05
MNIST,deep,43,2,a6,class_selectivity,loss_free,1,0.7076465201465202,0.2,0.1
MNIST,deep,43,2,a6,class_selectivity,loss_free,1,0.7076465201465202,0.3333333333333333,0.2
MNIST,deep,43,2,a1,firing_rate,baseline,1,0.5301496025874731,0.6129032258064516,0.05
MNIST,deep,43,2,a1,firing_rate,baseline,1,0.5301496025874731,0.6721311475409836,0.1
MNIST,deep,43,2,a1,firing_rate,baseline,1,0.5301496025874731,0.44680851063829785,0.2
MNIST,deep,43,2,a2,firing_rate,baseline,1,0.7636416928726197,0.3157894736842105,0.05
MNIST,deep,43,2,a2,firing_rate,baseline,1,0.7636416928726197,0.7288135593220338,0.1
MNIST,deep,43,2,a2,firing_rate,baseline,1,0.7636416928726197,0.7142857142857143,0.2
MNIST,deep,43,2,a3,firing_rate,baseline,1,0.7870477534860868,0.4117647058823529,0.05
MNIST,deep,43,2,a3,firing_rate,baseline,1,0.7870477534860868,0.6129032258064516,0.1
MNIST,deep,43,2,a3,firing_rate,baseline,1,0.7870477534860868,0.8214285714285714,0.2
MNIST,deep,43,2,a4,firing_rate,baseline,1,0.8062140261490283,0.7142857142857143,0.05
MNIST,deep,43,2,a4,firing_rate,baseline,1,0.8062140261490283,0.6666666666666666,0.1
MNIST,deep,43,2,a4,firing_rate,baseline,1,0.8062140261490283,0.6190476190476191,0.2
MNIST,deep,43,2,a5,firing_rate,baseline,1,0.8359685586120085,0.7142857142857143,0.05
MNIST,deep,43,2,a5,firing_rate,baseline,1,0.8359685586120085,0.7142857142857143,0.1
MNIST,deep,43,2,a5,firing_rate,baseline,1,0.8359685586120085,0.7857142857142857,0.2
MNIST,deep,43,2,a6,firing_rate,baseline,1,0.7350382345440333,1.0,0.05
MNIST,deep,43,2,a6,firing_rate,baseline,1,0.7350382345440333,0.3333333333333333,0.1
MNIST,deep,43,2,a6,firing_rate,baseline,1,0.7350382345440333,0.5,0.2
MNIST,deep,43,2,a1,hebbian,loss_free,1,0.48505351918765327,0.6666666666666666,0.05
MNIST,deep,43,2,a1,hebbian,loss_free,1,0.48505351918765327,0.6721311475409836,0.1
MNIST,deep,43,2,a1,hebbian,loss_free,1,0.48505351918765327,0.43661971830985913,0.2
MNIST,deep,43,2,a2,hebbian,loss_free,1,0.7217846488469931,0.47058823529411764,0.05
MNIST,deep,43,2,a2,hebbian,loss_free,1,0.7217846488469931,0.7288135593220338,0.1
MNIST,deep,43,2,a2,hebbian,loss_free,1,0.7217846488469931,0.6859504132231405,0.2
MNIST,deep,43,2,a3,hebbian,loss_free,1,0.7391988939041093,0.3333333333333333,0.05
MNIST,deep,43,2,a3,hebbian,loss_free,1,0.7391988939041093,0.5625,0.1
MNIST,deep,43,2,a3,hebbian,loss_free,1,0.7391988939041093,0.7894736842105263,0.2
MNIST,deep,43,2,a4,hebbian,loss_free,1,0.7870967629480699,0.7142857142857143,0.05
MNIST,deep,43,2,a4,hebbian,loss_free,1,0.7870967629480699,0.6666666666666666,0.1
MNIST,deep,43,2,a4,hebbian,loss_free,1,0.7870967629480699,0.6190476190476191,0.2
MNIST,deep,43,2,a5,hebbian,loss_free,1,0.8397591474873223,0.5,0.05
MNIST,deep,43,2,a5,hebbian,loss_free,1,0.8397591474873223,0.7142857142857143,0.1
MNIST,deep,43,2,a5,hebbian,loss_free,1,0.8397591474873223,0.7857142857142857,0.2
MNIST,deep,43,2,a6,hebbian,loss_free,1,0.7455128205128205,0.5,0.05
MNIST,deep,43,2,a6,hebbian,loss_free,1,0.7455128205128205,0.5,0.1
MNIST,deep,43,2,a6,hebbian,loss_free,1,0.7455128205128205,0.4117647058823529,0.2
MNIST,deep,43,2,a1,mean_activation,baseline,1,0.4849663714763462,0.6666666666666666,0.05
MNIST,deep,43,2,a1,mean_activation,baseline,1,0.4849663714763462,0.6721311475409836,0.1
MNIST,deep,43,2,a1,mean_activation,baseline,1,0.4849663714763462,0.4166666666666667,0.2
MNIST,deep,43,2,a2,mean_activation,baseline,1,0.70943727031637,0.47058823529411764,0.05
MNIST,deep,43,2,a2,mean_activation,baseline,1,0.70943727031637,0.7586206896551724,0.1
MNIST,deep,43,2,a2,mean_activation,baseline,1,0.70943727031637,0.6451612903225806,0.2
MNIST,deep,43,2,a3,mean_activation,baseline,1,0.7321005129733267,0.2,0.05
MNIST,deep,43,2,a3,mean_activation,baseline,1,0.7321005129733267,0.5625,0.1
MNIST,deep,43,2,a3,mean_activation,baseline,1,0.7321005129733267,0.7586206896551724,0.2
MNIST,deep,43,2,a4,mean_activation,baseline,1,0.7773674615448286,0.6,0.05
MNIST,deep,43,2,a4,mean_activation,baseline,1,0.7773674615448286,0.6666666666666666,0.1
MNIST,deep,43,2,a4,mean_activation,baseline,1,0.7773674615448286,0.59375,0.2
MNIST,deep,43,2,a5,mean_activation,baseline,1,0.8184007668607531,0.7142857142857143,0.05
MNIST,deep,43,2,a5,mean_activation,baseline,1,0.8184007668607531,0.7142857142857143,0.1
MNIST,deep,43,2,a5,mean_activation,baseline,1,0.8184007668607531,0.7241379310344828,0.2
MNIST,deep,43,2,a6,mean_activation,baseline,1,0.7975274725274726,0.5,0.05
