dataset,architecture,seed,epoch,train_loss,train_accuracy,validation_accuracy,test_accuracy,validation_loss,test_loss,calibration_size,epoch_time_seconds
MNIST,deep,43,1,0.48083666322984653,0.853978978978979,0.9383,0.9399,0.226760417509079,0.22033004412353038,2048,2.8783678440377116
MNIST,deep,43,2,0.18512034642923106,0.9502210543877211,0.9652,0.9652,0.1350947492003441,0.13085397631451487,2048,2.625268690055236
MNIST,deep,43,3,0.13875556874163833,0.9631506506506506,0.9682,0.967,0.12057842936515809,0.11260161580499262,2048,2.692897679982707
MNIST,deep,43,4,0.11037411410541764,0.9701576576576577,0.9704,0.9729,0.11045400247573853,0.10476867893701419,2048,2.581021938007325
MNIST,deep,43,5,0.0979004159699013,0.9744119119119119,0.9722,0.972,0.10756759623289108,0.10968962552063168,2048,2.6205389589304104
MNIST,deep,43,6,0.09002761688974646,0.9760385385385385,0.9751,0.9766,0.09776709287166596,0.09148258482329548,2048,2.506510641076602
MNIST,deep,43,7,0.07961899925844945,0.978832999666333,0.9745,0.9766,0.10409631518721581,0.09897600821296655,2048,2.6544554400024936
MNIST,deep,43,8,0.0713362570623328,0.9807724391057724,0.9754,0.9743,0.10987464161515235,0.1095481084894389,2048,2.598085089935921
MNIST,deep,43,9,0.06615095320008546,0.9823782115448783,0.9782,0.9771,0.10170369893908501,0.08766850535316625,2048,2.5588926390046254
MNIST,deep,43,10,0.06663788176176794,0.9825241908575242,0.9778,0.9774,0.0944957910388708,0.09145544804909732,2048,2.7139919220935553
