dataset,architecture,seed,epoch,layer,prune_scope,criterion,criterion_group,random_draw,pruning_percentage,fine_tune_epochs,validation_accuracy,test_accuracy,validation_loss,test_loss,parameter_count,parameter_reduction,estimated_macs,mac_reduction,scoring_time_seconds,scoring_memory_mb,num_forward_passes,num_backward_passes,calibration_size,compact_inference_time_seconds,compact_test_accuracy,compact_test_loss,masked_inference_time_seconds,original_macs,original_parameter_count,test_per_class_accuracy_json,validation_per_class_accuracy_json,weight_fisher_mode,weight_fisher_parts
MNIST,deep,44,10,all,all,random,baseline,0,0.05,0,0.9716,0.9738,0.10521278877258301,0.10368501598984003,836816,0.07380425855950978,835161,0.07385446238466997,0.0,0.0,0,0,0,0.3256125949556008,0.9738,0.10368501457124948,0.3336829320760444,901760,903498,"[0.9918367346938776, 0.986784140969163, 0.9612403100775194, 0.9891089108910891, 0.9714867617107943, 0.9327354260089686, 0.9895615866388309, 0.9922178988326849, 0.9486652977412731, 0.9682854311199207]","[0.9877049180327869, 0.9872262773722628, 0.972972972972973, 0.9782608695652174, 0.9723593287265548, 0.9367088607594937, 0.9917098445595854, 0.9902723735408561, 0.9322210636079249, 0.962536023054755]",batch,both
MNIST,deep,44,10,all,all,random,baseline,0,0.05,1,0.9815,0.9834,0.07826156356632709,0.0820301281017546,836816,0.07380425855950978,835161,0.07385446238466997,0.0,0.0,0,0,0,0.3192462020087987,0.9834,0.08203012809132379,0.31942621199414134,901760,903498,"[0.9908163265306122, 0.9903083700440528, 0.9786821705426356, 0.9871287128712871, 0.9816700610997964, 0.984304932735426, 0.9812108559498957, 0.9844357976653697, 0.9784394250513347, 0.9762140733399405]","[0.9897540983606558, 0.9908759124087592, 0.9844074844074844, 0.9713438735177866, 0.9871668311944719, 0.9789029535864979, 0.9865284974093265, 0.9883268482490273, 0.9666319082377477, 0.9702209414024976]",batch,both
MNIST,deep,44,10,all,all,random,baseline,0,0.05,3,0.9838,0.985,0.07850796860978007,0.08146479409738368,836816,0.07380425855950978,835161,0.07385446238466997,0.0,0.0,0,0,0,0.31407552293967456,0.985,0.08146479402492678,0.3095955819590017,901760,903498,"[0.9918367346938776, 0.9920704845814978, 0.9883720930232558, 0.9881188118811881, 0.9806517311608961, 0.984304932735426, 0.9822546972860126, 0.9824902723735408, 0.9784394250513347, 0.9801783944499505]","[0.9907786885245902, 0.9917883211678832, 0.9885654885654885, 0.9782608695652174, 0.9861796643632774, 0.9810126582278481, 0.9854922279792746, 0.9863813229571985, 0.9708029197080292, 0.9779058597502401]",batch,both
MNIST,deep,44,10,all,all,random,baseline,0,0.05,5,0.9836,0.9855,0.07866722691189498,0.07921284492615095,836816,0.07380425855950978,835161,0.07385446238466997,0.0,0.0,0,0,0,0.3297747620381415,0.9855,0.0792128443017923,0.33312068204395473,901760,903498,"[0.9928571428571429, 0.9903083700440528, 0.9854651162790697, 0.9871287128712871, 0.9837067209775967, 0.9854260089686099, 0.9832985386221295, 0.9854085603112841, 0.9815195071868583, 0.979187314172448]","[0.9907786885245902, 0.9927007299270073, 0.9875259875259875, 0.9782608695652174, 0.9881539980256664, 0.9778481012658228, 0.9886010362694301, 0.9892996108949417, 0.9676746611053181, 0.9740634005763689]",batch,both
MNIST,deep,44,10,all,all,random,baseline,0,0.1,0,0.971,0.9709,0.133778124833107,0.1315865617632866,769469,0.1483445453116664,767901,0.14844193577004972,0.0,0.0,0,0,0,0.31867596495430917,0.9709,0.1315865625888109,0.3217123160138726,901760,903498,"[0.9918367346938776, 0.9832599118942731, 0.9437984496124031, 0.9891089108910891, 0.9663951120162932, 0.9372197309417041, 0.9895615866388309, 0.9883268482490273, 0.9496919917864476, 0.9653121902874133]","[0.9877049180327869, 0.9844890510948905, 0.9646569646569647, 0.9802371541501976, 0.9684106614017769, 0.9356540084388185, 0.9927461139896373, 0.9892996108949417, 0.940563086548488, 0.962536023054755]",batch,both
MNIST,deep,44,10,all,all,random,baseline,0,0.1,1,0.9809,0.9826,0.07752362702786922,0.07582330961808476,769469,0.1483445453116664,767901,0.14844193577004972,0.0,0.0,0,0,0,0.3078190740197897,0.9826,0.07582331102326426,0.31997803098056465,901760,903498,"[0.9918367346938776, 0.9911894273127754, 0.9825581395348837, 0.9871287128712871, 0.9826883910386965, 0.9753363228699552, 0.9812108559498957, 0.9795719844357976, 0.9794661190965093, 0.9732408325074331]","[0.9897540983606558, 0.9917883211678832, 0.9896049896049897, 0.9713438735177866, 0.983218163869694, 0.9736286919831224, 0.9886010362694301, 0.9834630350194552, 0.9676746611053181, 0.9692603266090298]",batch,both
MNIST,deep,44,10,all,all,random,baseline,0,0.1,3,0.983,0.985,0.07520300114974379,0.0749357803791485,769469,0.1483445453116664,767901,0.14844193577004972,0.0,0.0,0,0,0,0.3214056669967249,0.985,0.07493578048029012,0.3294572279555723,901760,903498,"[0.9908163265306122, 0.9920704845814978, 0.9796511627906976, 0.9871287128712871, 0.9837067209775967, 0.9854260089686099, 0.9832985386221295, 0.9834630350194552, 0.9876796714579056, 0.9762140733399405]","[0.9918032786885246, 0.9936131386861314, 0.9844074844074844, 0.9782608695652174, 0.9871668311944719, 0.9746835443037974, 0.9886010362694301, 0.9834630350194552, 0.9739311783107404, 0.9731027857829011]",batch,both
MNIST,deep,44,10,all,all,random,baseline,0,0.1,5,0.9837,0.985,0.07940888253897428,0.08036254268612811,769469,0.1483445453116664,767901,0.14844193577004972,0.0,0.0,0,0,0,0.31472121097613126,0.985,0.08036254120346258,0.31129104702267796,901760,903498,"[0.9887755102040816, 0.9894273127753304, 0.9893410852713178, 0.9881188118811881, 0.9806517311608961, 0.976457399103139, 0.9874739039665971, 0.9863813229571985, 0.9835728952772074, 0.9781962338949455]","[0.9887295081967213, 0.9927007299270073, 0.9906444906444907, 0.9772727272727273, 0.9871668311944719, 0.9767932489451476, 0.9927461139896373, 0.9863813229571985, 0.9697601668404588, 0.9740634005763689]",batch,both
MNIST,deep,44,10,all,all,random,baseline,0,0.2,0,0.9667,0.9689,0.320520801448822,0.31329993793964384,644001,0.28721369610115355,642606,0.2873868878637331,0.0,0.0,0,0,0,0.3244099710136652,0.9689,0.3132999350786209,0.341909569920972,901760,903498,"[0.9928571428571429, 0.9823788546255506, 0.9156976744186046, 0.9920792079207921, 0.9562118126272913, 0.9417040358744395, 0.9780793319415448, 0.9824902723735408, 0.9681724845995893, 0.9762140733399405]","[0.9866803278688525, 0.9799270072992701, 0.9386694386694386, 0.9822134387351779, 0.9565646594274433, 0.9324894514767933, 0.9782383419689119, 0.9824902723735408, 0.9572471324296142, 0.968299711815562]",batch,both
MNIST,deep,44,10,all,all,random,baseline,0,0.2,1,0.9796,0.9833,0.07807211813628674,0.07591299071084068,644001,0.28721369610115355,642606,0.2873868878637331,0.0,0.0,0,0,0,0.3169612609781325,0.9833,0.07591299113347486,0.3319815930444747,901760,903498,"[0.9928571428571429, 0.9911894273127754, 0.9815891472868217, 0.9841584158415841, 0.9816700610997964, 0.9798206278026906, 0.9843423799582464, 0.9815175097276264, 0.9815195071868583, 0.9732408325074331]","[0.9918032786885246, 0.9881386861313869, 0.9896049896049897, 0.9654150197628458, 0.9792694965449161, 0.9736286919831224, 0.9917098445595854, 0.9854085603112841, 0.9614181438998958, 0.9692603266090298]",batch,both
