dataset,architecture,seed,epoch,layer,criterion,criterion_group,reference_criterion,spearman,topk_jaccard,topk_ratio
MNIST,deep,44,10,a1,output_weight_norm,baseline,activation_fisher,0.7061497103406728,0.28205128205128205,0.05
MNIST,deep,44,10,a1,output_weight_norm,baseline,activation_fisher,0.7061497103406728,0.7,0.1
MNIST,deep,44,10,a1,output_weight_norm,baseline,activation_fisher,0.7061497103406728,0.7586206896551724,0.2
MNIST,deep,44,10,a2,output_weight_norm,baseline,activation_fisher,0.5879586100480273,0.21951219512195122,0.05
MNIST,deep,44,10,a2,output_weight_norm,baseline,activation_fisher,0.5879586100480273,0.2911392405063291,0.1
MNIST,deep,44,10,a2,output_weight_norm,baseline,activation_fisher,0.5879586100480273,0.3783783783783784,0.2
MNIST,deep,44,10,a3,output_weight_norm,baseline,activation_fisher,0.6611993787563091,0.4117647058823529,0.05
MNIST,deep,44,10,a3,output_weight_norm,baseline,activation_fisher,0.6611993787563091,0.7857142857142857,0.1
MNIST,deep,44,10,a3,output_weight_norm,baseline,activation_fisher,0.6611993787563091,0.4782608695652174,0.2
MNIST,deep,44,10,a4,output_weight_norm,baseline,activation_fisher,0.5197521151638194,0.2631578947368421,0.05
MNIST,deep,44,10,a4,output_weight_norm,baseline,activation_fisher,0.5197521151638194,0.3888888888888889,0.1
MNIST,deep,44,10,a4,output_weight_norm,baseline,activation_fisher,0.5197521151638194,0.3972602739726027,0.2
MNIST,deep,44,10,a5,output_weight_norm,baseline,activation_fisher,0.40096840141883755,0.5,0.05
MNIST,deep,44,10,a5,output_weight_norm,baseline,activation_fisher,0.40096840141883755,0.5,0.1
MNIST,deep,44,10,a5,output_weight_norm,baseline,activation_fisher,0.40096840141883755,0.3157894736842105,0.2
MNIST,deep,44,10,a6,output_weight_norm,baseline,activation_fisher,0.19638278388278388,0.0,0.05
MNIST,deep,44,10,a6,output_weight_norm,baseline,activation_fisher,0.19638278388278388,0.09090909090909091,0.1
MNIST,deep,44,10,a6,output_weight_norm,baseline,activation_fisher,0.19638278388278388,0.14285714285714285,0.2
MNIST,deep,44,10,a1,mean_activation,baseline,activation_fisher,0.8387600932144362,0.28205128205128205,0.05
MNIST,deep,44,10,a1,mean_activation,baseline,activation_fisher,0.8387600932144362,0.7288135593220338,0.1
MNIST,deep,44,10,a1,mean_activation,baseline,activation_fisher,0.8387600932144362,0.8053097345132744,0.2
MNIST,deep,44,10,a2,mean_activation,baseline,activation_fisher,0.6970874897488929,0.5151515151515151,0.05
MNIST,deep,44,10,a2,mean_activation,baseline,activation_fisher,0.6970874897488929,0.43661971830985913,0.1
MNIST,deep,44,10,a2,mean_activation,baseline,activation_fisher,0.6970874897488929,0.48905109489051096,0.2
MNIST,deep,44,10,a3,mean_activation,baseline,activation_fisher,0.7785920227218718,0.5,0.05
MNIST,deep,44,10,a3,mean_activation,baseline,activation_fisher,0.7785920227218718,0.9230769230769231,0.1
MNIST,deep,44,10,a3,mean_activation,baseline,activation_fisher,0.7785920227218718,0.7,0.2
MNIST,deep,44,10,a4,mean_activation,baseline,activation_fisher,0.6918454401318764,0.8461538461538461,0.05
MNIST,deep,44,10,a4,mean_activation,baseline,activation_fisher,0.6918454401318764,0.8518518518518519,0.1
MNIST,deep,44,10,a4,mean_activation,baseline,activation_fisher,0.6918454401318764,0.6190476190476191,0.2
MNIST,deep,44,10,a5,mean_activation,baseline,activation_fisher,0.6189693861195704,0.3333333333333333,0.05
MNIST,deep,44,10,a5,mean_activation,baseline,activation_fisher,0.6189693861195704,1.0,0.1
MNIST,deep,44,10,a5,mean_activation,baseline,activation_fisher,0.6189693861195704,0.5151515151515151,0.2
MNIST,deep,44,10,a6,mean_activation,baseline,activation_fisher,0.5849358974358975,0.5,0.05
MNIST,deep,44,10,a6,mean_activation,baseline,activation_fisher,0.5849358974358975,0.7142857142857143,0.1
MNIST,deep,44,10,a6,mean_activation,baseline,activation_fisher,0.5849358974358975,0.3333333333333333,0.2
MNIST,deep,44,10,a1,firing_rate,baseline,activation_fisher,0.8130051570156174,0.3157894736842105,0.05
MNIST,deep,44,10,a1,firing_rate,baseline,activation_fisher,0.8130051570156174,0.7,0.1
MNIST,deep,44,10,a1,firing_rate,baseline,activation_fisher,0.8130051570156174,0.8053097345132744,0.2
MNIST,deep,44,10,a2,firing_rate,baseline,activation_fisher,0.4564517659112584,0.47058823529411764,0.05
MNIST,deep,44,10,a2,firing_rate,baseline,activation_fisher,0.4564517659112584,0.3972602739726027,0.1
MNIST,deep,44,10,a2,firing_rate,baseline,activation_fisher,0.4564517659112584,0.3333333333333333,0.2
MNIST,deep,44,10,a3,firing_rate,baseline,activation_fisher,0.5190164285918328,0.5,0.05
MNIST,deep,44,10,a3,firing_rate,baseline,activation_fisher,0.5190164285918328,0.9230769230769231,0.1
MNIST,deep,44,10,a3,firing_rate,baseline,activation_fisher,0.5190164285918328,0.6721311475409836,0.2
MNIST,deep,44,10,a4,firing_rate,baseline,activation_fisher,0.4924949558729382,0.6,0.05
MNIST,deep,44,10,a4,firing_rate,baseline,activation_fisher,0.4924949558729382,0.9230769230769231,0.1
MNIST,deep,44,10,a4,firing_rate,baseline,activation_fisher,0.4924949558729382,0.43661971830985913,0.2
MNIST,deep,44,10,a5,firing_rate,baseline,activation_fisher,0.4397904860326012,0.3333333333333333,0.05
MNIST,deep,44,10,a5,firing_rate,baseline,activation_fisher,0.4397904860326012,1.0,0.1
MNIST,deep,44,10,a5,firing_rate,baseline,activation_fisher,0.4397904860326012,0.5151515151515151,0.2
MNIST,deep,44,10,a6,firing_rate,baseline,activation_fisher,0.43196959648675154,0.5,0.05
MNIST,deep,44,10,a6,firing_rate,baseline,activation_fisher,0.43196959648675154,0.5,0.1
