dataset,architecture,seed,epoch,layer,prune_scope,criterion,criterion_group,random_draw,pruning_percentage,fine_tune_epochs,validation_accuracy,test_accuracy,validation_loss,test_loss,parameter_count,parameter_reduction,estimated_macs,mac_reduction,scoring_time_seconds,scoring_memory_mb,num_forward_passes,num_backward_passes,calibration_size,compact_inference_time_seconds,compact_test_accuracy,compact_test_loss,masked_inference_time_seconds,original_macs,original_parameter_count,test_per_class_accuracy_json,validation_per_class_accuracy_json,weight_fisher_mode,weight_fisher_parts
MNIST,medium,42,10,all,all,random,baseline,0,0.05,0,0.9753,0.9794,0.09080402357280254,0.07834653294084128,539380,0.06202938874880448,538456,0.06205406911928646,0.0,0.0,0,0,0,0.3085371629567817,0.9794,0.07834653312263545,0.3069680199259892,574080,575050,"[0.9877551020408163, 0.9947136563876652, 0.9777131782945736, 0.9851485148514851, 0.9684317718940937, 0.9775784753363229, 0.9916492693110647, 0.9785992217898832, 0.9599589322381931, 0.9702675916749257]","[0.9859013091641491, 0.9876868953386104, 0.9718026183282981, 0.9624134520276953, 0.9769539078156313, 0.973124300111982, 0.9917780061664954, 0.9830028328611898, 0.9627329192546584, 0.95496417604913]",batch,both
MNIST,medium,42,10,all,all,random,baseline,0,0.05,1,0.9826,0.9825,0.07972309872675687,0.06916423790653425,539380,0.06202938874880448,538456,0.06205406911928646,0.0,0.0,0,0,0,0.31206173507962376,0.9825,0.06916423858751732,0.3129121890524402,574080,575050,"[0.9897959183673469, 0.9947136563876652, 0.9835271317829457, 0.9841584158415841, 0.9837067209775967, 0.9798206278026906, 0.9832985386221295, 0.9854085603112841, 0.9722792607802875, 0.9663032705649157]","[0.9869083585095669, 0.9894459102902374, 0.9778449144008057, 0.9802176063303659, 0.9879759519038076, 0.9809630459126539, 0.986639260020555, 0.9924457034938622, 0.9782608695652174, 0.9631525076765609]",batch,both
MNIST,medium,42,10,all,all,random,baseline,0,0.05,3,0.982,0.9844,0.08174521238524467,0.07125676279745258,539380,0.06202938874880448,538456,0.06205406911928646,0.0,0.0,0,0,0,0.31876599800307304,0.9844,0.07125676166645444,0.31366286310367286,574080,575050,"[0.9908163265306122, 0.9938325991189427, 0.9835271317829457, 0.9841584158415841, 0.9867617107942973, 0.9775784753363229, 0.9864300626304802, 0.9844357976653697, 0.9794661190965093, 0.9752229930624381]","[0.9879154078549849, 0.9859278803869833, 0.9748237663645518, 0.9782393669634025, 0.9879759519038076, 0.9798432250839866, 0.987667009249743, 0.9867799811142587, 0.9782608695652174, 0.9713408393039918]",batch,both
MNIST,medium,42,10,all,all,random,baseline,0,0.05,5,0.9819,0.9839,0.08388230395615101,0.07359473967287049,539380,0.06202938874880448,538456,0.06205406911928646,0.0,0.0,0,0,0,0.3202538089826703,0.9839,0.07359473775807128,0.32421422901097685,574080,575050,"[0.9908163265306122, 0.9938325991189427, 0.9796511627906976, 0.9861386138613861, 0.9796334012219959, 0.9820627802690582, 0.988517745302714, 0.9824902723735408, 0.9784394250513347, 0.9762140733399405]","[0.9879154078549849, 0.9850483729111698, 0.9718026183282981, 0.9772502472799208, 0.9829659318637275, 0.9798432250839866, 0.9886947584789312, 0.987724268177526, 0.979296066252588, 0.977482088024565]",batch,both
MNIST,medium,42,10,all,all,random,baseline,0,0.1,0,0.9747,0.9768,0.09439321734905243,0.08083017017841339,502895,0.12547604556125558,502019,0.1255243171683389,0.0,0.0,0,0,0,0.3234304229263216,0.9768,0.08083016958236694,0.33880802895873785,574080,575050,"[0.9877551020408163, 0.9955947136563876, 0.9718992248062015, 0.9772277227722772, 0.960285132382892, 0.9820627802690582, 0.9895615866388309, 0.9795719844357976, 0.9640657084188912, 0.958374628344896]","[0.9859013091641491, 0.9885664028144239, 0.9677744209466264, 0.9564787339268052, 0.9659318637274549, 0.9798432250839866, 0.9928057553956835, 0.9830028328611898, 0.9720496894409938, 0.9529170931422722]",batch,both
MNIST,medium,42,10,all,all,random,baseline,0,0.1,1,0.9806,0.9836,0.07956936739757657,0.06534055455980488,502895,0.12547604556125558,502019,0.1255243171683389,0.0,0.0,0,0,0,0.3104022480547428,0.9836,0.06534055309651085,0.3115934890229255,574080,575050,"[0.9897959183673469, 0.9947136563876652, 0.9835271317829457, 0.9841584158415841, 0.9826883910386965, 0.9798206278026906, 0.9853862212943633, 0.9844357976653697, 0.9774127310061602, 0.9722497522299306]","[0.9848942598187311, 0.990325417766051, 0.9748237663645518, 0.973293768545994, 0.9809619238476954, 0.975363941769317, 0.9886947584789312, 0.9867799811142587, 0.9782608695652174, 0.970317297850563]",batch,both
MNIST,medium,42,10,all,all,random,baseline,0,0.1,3,0.9809,0.9838,0.08310232584998012,0.06986404406625607,502895,0.12547604556125558,502019,0.1255243171683389,0.0,0.0,0,0,0,0.31230190000496805,0.9838,0.06986404569048263,0.32041921303607523,574080,575050,"[0.9887755102040816, 0.9947136563876652, 0.9844961240310077, 0.9851485148514851, 0.9816700610997964, 0.9820627802690582, 0.9895615866388309, 0.9844357976653697, 0.9753593429158111, 0.9702675916749257]","[0.9859013091641491, 0.9859278803869833, 0.9778449144008057, 0.9723046488625123, 0.9839679358717435, 0.9764837625979843, 0.9907502569373073, 0.9896128423040604, 0.9772256728778468, 0.9672466734902764]",batch,both
MNIST,medium,42,10,all,all,random,baseline,0,0.1,5,0.9816,0.984,0.08956932044178248,0.0753135823132885,502895,0.12547604556125558,502019,0.1255243171683389,0.0,0.0,0,0,0,0.3230689049232751,0.984,0.07531358315818434,0.34903325291816145,574080,575050,"[0.9887755102040816, 0.9920704845814978, 0.9806201550387597, 0.9861386138613861, 0.9826883910386965, 0.9854260089686099, 0.9843423799582464, 0.9815175097276264, 0.9784394250513347, 0.979187314172448]","[0.9899295065458208, 0.9832893579595426, 0.973816717019134, 0.9762611275964391, 0.9859719438877755, 0.9776035834266518, 0.9886947584789312, 0.9830028328611898, 0.9761904761904762, 0.9805527123848515]",batch,both
MNIST,medium,42,10,all,all,random,baseline,0,0.2,0,0.9725,0.9758,0.11537785549163819,0.10638345652520656,433261,0.24656812451091215,432481,0.24665377647714604,0.0,0.0,0,0,0,0.3228361710207537,0.9758,0.10638345606029034,0.3222087239846587,574080,575050,"[0.9877551020408163, 0.9947136563876652, 0.9767441860465116, 0.9742574257425742, 0.9643584521384929, 0.9798206278026906, 0.9874739039665971, 0.9727626459143969, 0.946611909650924, 0.9712586719524281]","[0.9859013091641491, 0.9850483729111698, 0.9647532729103726, 0.9554896142433235, 0.968937875751503, 0.9742441209406495, 0.9917780061664954, 0.9745042492917847, 0.9544513457556936, 0.9682702149437052]",batch,both
MNIST,medium,42,10,all,all,random,baseline,0,0.2,1,0.9797,0.9829,0.07780682143867015,0.06553528670348169,433261,0.24656812451091215,432481,0.24665377647714604,0.0,0.0,0,0,0,0.3083062150981277,0.9829,0.06553528561565035,0.3244572060648352,574080,575050,"[0.9897959183673469, 0.9947136563876652, 0.9825581395348837, 0.9871287128712871, 0.9816700610997964, 0.9786995515695067, 0.9832985386221295, 0.9824902723735408, 0.9753593429158111, 0.9712586719524281]","[0.9808660624370594, 0.9841688654353562, 0.9718026183282981, 0.9782393669634025, 0.9869739478957916, 0.9764837625979843, 0.987667009249743, 0.9886685552407932, 0.9751552795031055, 0.9651995905834186]",batch,both
