dataset,architecture,seed,epoch,layer,prune_scope,criterion,criterion_group,random_draw,pruning_percentage,fine_tune_epochs,validation_accuracy,test_accuracy,validation_loss,test_loss,parameter_count,parameter_reduction,estimated_macs,mac_reduction,scoring_time_seconds,scoring_memory_mb,num_forward_passes,num_backward_passes,calibration_size,compact_inference_time_seconds,compact_test_accuracy,compact_test_loss,masked_inference_time_seconds,original_macs,original_parameter_count,test_per_class_accuracy_json,validation_per_class_accuracy_json,weight_fisher_mode,weight_fisher_parts
MNIST,medium,43,10,all,all,random,baseline,0,0.05,0,0.9768,0.9789,0.07926481557488442,0.0738958071402274,539380,0.06202938874880448,538456,0.06205406911928646,0.0,0.0,0,0,0,0.3213314089225605,0.9789,0.0738958062521182,0.3203055040212348,574080,575050,"[0.9928571428571429, 0.9894273127753304, 0.9844961240310077, 0.9801980198019802, 0.9735234215885947, 0.9753363228699552, 0.9812108559498957, 0.9640077821011673, 0.9722792607802875, 0.9742319127849356]","[0.9940417080436942, 0.9790718835304822, 0.9811133200795229, 0.9756335282651072, 0.9723360655737705, 0.9765886287625418, 0.9795291709314228, 0.9627450980392157, 0.9673469387755103, 0.9792490118577075]",batch,both
MNIST,medium,43,10,all,all,random,baseline,0,0.05,1,0.9825,0.9834,0.06850314798504115,0.06763138251422789,539380,0.06202938874880448,538456,0.06205406911928646,0.0,0.0,0,0,0,0.33289873297326267,0.9834,0.06763138173266198,0.3177732890471816,574080,575050,"[0.9918367346938776, 0.9929515418502203, 0.9844961240310077, 0.9851485148514851, 0.9765784114052953, 0.9786995515695067, 0.9874739039665971, 0.9795719844357976, 0.9804928131416838, 0.9752229930624381]","[0.9910625620655412, 0.9854413102820746, 0.9821073558648111, 0.9805068226120858, 0.9805327868852459, 0.9821627647714605, 0.9887410440122825, 0.9833333333333333, 0.9734693877551021, 0.9772727272727273]",batch,both
MNIST,medium,43,10,all,all,random,baseline,0,0.05,3,0.984,0.9845,0.07187508707232773,0.06847092586681319,539380,0.06202938874880448,538456,0.06205406911928646,0.0,0.0,0,0,0,0.32238144194707274,0.9845,0.06847092501968217,0.3299620049074292,574080,575050,"[0.9897959183673469, 0.9955947136563876, 0.9854651162790697, 0.9831683168316832, 0.9806517311608961, 0.9831838565022422, 0.9895615866388309, 0.9815175097276264, 0.9794661190965093, 0.9752229930624381]","[0.9890764647467726, 0.9854413102820746, 0.9850894632206759, 0.9844054580896686, 0.9846311475409836, 0.9855072463768116, 0.9907881269191402, 0.9852941176470589, 0.9734693877551021, 0.9762845849802372]",batch,both
MNIST,medium,43,10,all,all,random,baseline,0,0.05,5,0.9839,0.9838,0.07878227023109793,0.0738003892571709,539380,0.06202938874880448,538456,0.06205406911928646,0.0,0.0,0,0,0,0.31381422898266464,0.9838,0.07380038970420573,0.33667564496863633,574080,575050,"[0.9887755102040816, 0.9929515418502203, 0.9874031007751938, 0.9851485148514851, 0.9816700610997964, 0.9831838565022422, 0.9864300626304802, 0.9795719844357976, 0.9784394250513347, 0.9732408325074331]","[0.9851042701092354, 0.9854413102820746, 0.9850894632206759, 0.9844054580896686, 0.985655737704918, 0.987736900780379, 0.9856704196519959, 0.9862745098039216, 0.9744897959183674, 0.9792490118577075]",batch,both
MNIST,medium,43,10,all,all,random,baseline,0,0.1,0,0.9772,0.9787,0.08454270402193069,0.0765887205414474,502895,0.12547604556125558,502019,0.1255243171683389,0.0,0.0,0,0,0,0.3219441609689966,0.9787,0.0765887197189033,0.3262601000024006,574080,575050,"[0.9928571428571429, 0.9903083700440528, 0.9844961240310077, 0.9782178217821782, 0.9714867617107943, 0.9831838565022422, 0.9749478079331941, 0.9552529182879378, 0.9825462012320328, 0.9732408325074331]","[0.9930486593843099, 0.9818016378525932, 0.9821073558648111, 0.9717348927875243, 0.9733606557377049, 0.979933110367893, 0.977482088024565, 0.9607843137254902, 0.9744897959183674, 0.9772727272727273]",batch,both
MNIST,medium,43,10,all,all,random,baseline,0,0.1,1,0.9829,0.9833,0.07344630282372236,0.0650028936994553,502895,0.12547604556125558,502019,0.1255243171683389,0.0,0.0,0,0,0,0.31454102299176157,0.9833,0.06500289346420322,0.3176754849264398,574080,575050,"[0.9918367346938776, 0.9929515418502203, 0.9854651162790697, 0.9861386138613861, 0.9765784114052953, 0.984304932735426, 0.9864300626304802, 0.9776264591439688, 0.9794661190965093, 0.9712586719524281]","[0.9900695134061569, 0.986351228389445, 0.9821073558648111, 0.97953216374269, 0.9846311475409836, 0.9843924191750278, 0.9887410440122825, 0.984313725490196, 0.9734693877551021, 0.9752964426877471]",batch,both
MNIST,medium,43,10,all,all,random,baseline,0,0.1,3,0.9827,0.9838,0.07602384447082877,0.06504357863336191,502895,0.12547604556125558,502019,0.1255243171683389,0.0,0.0,0,0,0,0.3173095569945872,0.9838,0.06504357988654956,0.3326338620390743,574080,575050,"[0.9908163265306122, 0.9929515418502203, 0.9854651162790697, 0.9851485148514851, 0.9775967413441955, 0.9876681614349776, 0.9864300626304802, 0.9776264591439688, 0.9784394250513347, 0.9752229930624381]","[0.9860973187686196, 0.986351228389445, 0.9840954274353877, 0.9775828460038987, 0.9795081967213115, 0.9899665551839465, 0.9907881269191402, 0.9833333333333333, 0.9724489795918367, 0.9772727272727273]",batch,both
MNIST,medium,43,10,all,all,random,baseline,0,0.1,5,0.9831,0.984,0.07784550862051547,0.0718117870347497,502895,0.12547604556125558,502019,0.1255243171683389,0.0,0.0,0,0,0,0.34844311396591365,0.984,0.07181178504097434,0.3312834969256073,574080,575050,"[0.9908163265306122, 0.9947136563876652, 0.9854651162790697, 0.9841584158415841, 0.9786150712830958, 0.984304932735426, 0.9853862212943633, 0.9785992217898832, 0.9784394250513347, 0.9781962338949455]","[0.9900695134061569, 0.986351228389445, 0.9831013916500994, 0.9814814814814815, 0.9836065573770492, 0.9855072463768116, 0.9877175025588536, 0.984313725490196, 0.9744897959183674, 0.974308300395257]",batch,both
MNIST,medium,43,10,all,all,random,baseline,0,0.2,0,0.9737,0.977,0.14629994847774505,0.13872397826313973,433261,0.24656812451091215,432481,0.24665377647714604,0.0,0.0,0,0,0,0.3454721380257979,0.977,0.1387239787042141,0.32370407204143703,574080,575050,"[0.9918367346938776, 0.9903083700440528, 0.9893410852713178, 0.9762376237623762, 0.9786150712830958, 0.9663677130044843, 0.9707724425887265, 0.958171206225681, 0.9835728952772074, 0.9623389494549058]","[0.9900695134061569, 0.9790718835304822, 0.9840954274353877, 0.9736842105263158, 0.9754098360655737, 0.9620958751393534, 0.9682702149437052, 0.9627450980392157, 0.9714285714285714, 0.9683794466403162]",batch,both
MNIST,medium,43,10,all,all,random,baseline,0,0.2,1,0.9823,0.9828,0.0716164563447237,0.06454846374113113,433261,0.24656812451091215,432481,0.24665377647714604,0.0,0.0,0,0,0,0.3194636469706893,0.9828,0.06454846485499292,0.34084275097120553,574080,575050,"[0.9908163265306122, 0.9938325991189427, 0.9825581395348837, 0.9831683168316832, 0.9837067209775967, 0.984304932735426, 0.988517745302714, 0.9766536964980544, 0.9774127310061602, 0.9663032705649157]","[0.9880834160873883, 0.9872611464968153, 0.9831013916500994, 0.9736842105263158, 0.9897540983606558, 0.987736900780379, 0.9907881269191402, 0.9784313725490196, 0.9704081632653061, 0.974308300395257]",batch,both
MNIST,medium,43,10,all,all,random,baseline,0,0.2,3,0.9829,0.9822,0.07247352517843246,0.0691590575723123,433261,0.24656812451091215,432481,0.24665377647714604,0.0,0.0,0,0,0,0.31441926094703376,0.9822,0.06915905667041952,0.3186364179709926,574080,575050,"[0.9897959183673469, 0.9938325991189427, 0.9796511627906976, 0.9831683168316832, 0.9816700610997964, 0.9809417040358744, 0.9895615866388309, 0.980544747081712, 0.9774127310061602, 0.9643211100099108]","[0.9890764647467726, 0.9845313921747043, 0.9831013916500994, 0.9824561403508771, 0.9866803278688525, 0.9843924191750278, 0.9918116683725691, 0.984313725490196, 0.9734693877551021, 0.9693675889328063]",batch,both
MNIST,medium,43,10,all,all,random,baseline,0,0.2,5,0.9833,0.9836,0.07369949950799345,0.06827542839028465,433261,0.24656812451091215,432481,0.24665377647714604,0.0,0.0,0,0,0,0.31918762205168605,0.9836,0.06827542917818355,0.3233152299653739,574080,575050,"[0.9908163265306122, 0.9938325991189427, 0.9835271317829457, 0.9831683168316832, 0.9857433808553971, 0.9831838565022422, 0.9895615866388309, 0.980544747081712, 0.9794661190965093, 0.9653121902874133]","[0.9880834160873883, 0.9872611464968153, 0.9860834990059643, 0.9834307992202729, 0.9866803278688525, 0.9843924191750278, 0.9907881269191402, 0.984313725490196, 0.9714285714285714, 0.9703557312252964]",batch,both
MNIST,medium,43,10,all,all,random,baseline,0,0.3,0,0.97,0.9717,0.3830951632499695,0.3766404935836792,367460,0.3609946961133814,366776,0.3611064659977703,0.0,0.0,0,0,0,0.31899802503176033,0.9717,0.3766404805660248,0.32187107496429235,574080,575050,"[0.9908163265306122, 0.9832599118942731, 0.9796511627906976, 0.9792079207920792, 0.9765784114052953, 0.9304932735426009, 0.9665970772442589, 0.9552529182879378, 0.9845995893223819, 0.9653121902874133]","[0.9870903674280039, 0.9763421292083713, 0.9791252485089463, 0.9766081871345029, 0.9795081967213115, 0.9364548494983278, 0.9611054247697032, 0.9607843137254902, 0.9673469387755103, 0.9713438735177866]",batch,both
MNIST,medium,43,10,all,all,random,baseline,0,0.3,1,0.9803,0.9814,0.07518021780252457,0.0683654072163161,367460,0.3609946961133814,366776,0.3611064659977703,0.0,0.0,0,0,0,0.3261092359898612,0.9814,0.06836540748900734,0.33521519892383367,574080,575050,"[0.9908163265306122, 0.9920704845814978, 0.9854651162790697, 0.9841584158415841, 0.9755600814663951, 0.9865470852017937, 0.9801670146137788, 0.9766536964980544, 0.973305954825462, 0.9682854311199207]","[0.9920556107249255, 0.9854413102820746, 0.9821073558648111, 0.9727095516569201, 0.985655737704918, 0.987736900780379, 0.9856704196519959, 0.9803921568627451, 0.9622448979591837, 0.9693675889328063]",batch,both
MNIST,medium,43,10,all,all,random,baseline,0,0.3,3,0.981,0.983,0.07471941009759903,0.06583103054171661,367460,0.3609946961133814,366776,0.3611064659977703,0.0,0.0,0,0,0,0.35749224200844765,0.983,0.06583102950012544,0.3284301310777664,574080,575050,"[0.9897959183673469, 0.9947136563876652, 0.9844961240310077, 0.9782178217821782, 0.9837067209775967, 0.9865470852017937, 0.9864300626304802, 0.9785992217898832, 0.9743326488706365, 0.9722497522299306]","[0.9890764647467726, 0.986351228389445, 0.9850894632206759, 0.9727095516569201, 0.9846311475409836, 0.987736900780379, 0.9887410440122825, 0.9823529411764705, 0.9612244897959183, 0.9723320158102767]",batch,both
MNIST,medium,43,10,all,all,random,baseline,0,0.3,5,0.9827,0.983,0.07501549610197544,0.06839287458961917,367460,0.3609946961133814,366776,0.3611064659977703,0.0,0.0,0,0,0,0.32216936198528856,0.983,0.0683928694569142,0.3407772140344605,574080,575050,"[0.9908163265306122, 0.9929515418502203, 0.9874031007751938, 0.9811881188118812, 0.9786150712830958, 0.984304932735426, 0.9864300626304802, 0.980544747081712, 0.9743326488706365, 0.9722497522299306]","[0.9920556107249255, 0.9854413102820746, 0.9860834990059643, 0.9805068226120858, 0.9836065573770492, 0.9866220735785953, 0.9877175025588536, 0.9833333333333333, 0.9704081632653061, 0.9713438735177866]",batch,both
