dataset,architecture,seed,epoch,layer,criterion,criterion_group,previous_epoch,spearman,topk_jaccard,topk_ratio
MNIST,medium,43,2,a1,activation_variance,baseline,1,0.5451466177702319,0.42857142857142855,0.05
MNIST,medium,43,2,a1,activation_variance,baseline,1,0.5451466177702319,0.6721311475409836,0.1
MNIST,medium,43,2,a1,activation_variance,baseline,1,0.5451466177702319,0.43661971830985913,0.2
MNIST,medium,43,2,a2,activation_variance,baseline,1,0.6969149518192158,0.4117647058823529,0.05
MNIST,medium,43,2,a2,activation_variance,baseline,1,0.6969149518192158,0.7857142857142857,0.1
MNIST,medium,43,2,a2,activation_variance,baseline,1,0.6969149518192158,0.6190476190476191,0.2
MNIST,medium,43,2,a3,activation_variance,baseline,1,0.7564471226068886,0.5,0.05
MNIST,medium,43,2,a3,activation_variance,baseline,1,0.7564471226068886,0.4117647058823529,0.1
MNIST,medium,43,2,a3,activation_variance,baseline,1,0.7564471226068886,0.47058823529411764,0.2
MNIST,medium,43,2,a4,activation_variance,baseline,1,0.8040293040293041,1.0,0.05
MNIST,medium,43,2,a4,activation_variance,baseline,1,0.8040293040293041,0.5,0.1
MNIST,medium,43,2,a4,activation_variance,baseline,1,0.8040293040293041,0.4117647058823529,0.2
MNIST,medium,43,2,a1,class_selectivity,loss_free,1,0.6711972970867155,0.6666666666666666,0.05
MNIST,medium,43,2,a1,class_selectivity,loss_free,1,0.6711972970867155,0.7586206896551724,0.1
MNIST,medium,43,2,a1,class_selectivity,loss_free,1,0.6711972970867155,0.42657342657342656,0.2
MNIST,medium,43,2,a2,class_selectivity,loss_free,1,0.7692504060485726,0.7142857142857143,0.05
MNIST,medium,43,2,a2,class_selectivity,loss_free,1,0.7692504060485726,0.8518518518518519,0.1
MNIST,medium,43,2,a2,class_selectivity,loss_free,1,0.7692504060485726,0.5454545454545454,0.2
MNIST,medium,43,2,a3,class_selectivity,loss_free,1,0.7559435417463762,0.5,0.05
MNIST,medium,43,2,a3,class_selectivity,loss_free,1,0.7559435417463762,0.3333333333333333,0.1
MNIST,medium,43,2,a3,class_selectivity,loss_free,1,0.7559435417463762,0.42857142857142855,0.2
MNIST,medium,43,2,a4,class_selectivity,loss_free,1,0.7062271062271063,0.0,0.05
MNIST,medium,43,2,a4,class_selectivity,loss_free,1,0.7062271062271063,0.09090909090909091,0.1
MNIST,medium,43,2,a4,class_selectivity,loss_free,1,0.7062271062271063,0.3333333333333333,0.2
MNIST,medium,43,2,a1,firing_rate,baseline,1,0.5813187363878145,0.6129032258064516,0.05
MNIST,medium,43,2,a1,firing_rate,baseline,1,0.5813187363878145,0.7288135593220338,0.1
MNIST,medium,43,2,a1,firing_rate,baseline,1,0.5813187363878145,0.42657342657342656,0.2
MNIST,medium,43,2,a2,firing_rate,baseline,1,0.7853136087226319,0.4117647058823529,0.05
MNIST,medium,43,2,a2,firing_rate,baseline,1,0.7853136087226319,0.7857142857142857,0.1
MNIST,medium,43,2,a2,firing_rate,baseline,1,0.7853136087226319,0.6721311475409836,0.2
MNIST,medium,43,2,a3,firing_rate,baseline,1,0.8206109491420218,0.5,0.05
MNIST,medium,43,2,a3,firing_rate,baseline,1,0.8206109491420218,0.5,0.1
MNIST,medium,43,2,a3,firing_rate,baseline,1,0.8206109491420218,0.6129032258064516,0.2
MNIST,medium,43,2,a4,firing_rate,baseline,1,0.7635651817560521,0.2,0.05
MNIST,medium,43,2,a4,firing_rate,baseline,1,0.7635651817560521,0.3333333333333333,0.1
MNIST,medium,43,2,a4,firing_rate,baseline,1,0.7635651817560521,0.3333333333333333,0.2
MNIST,medium,43,2,a1,hebbian,loss_free,1,0.5070404297223174,0.5625,0.05
MNIST,medium,43,2,a1,hebbian,loss_free,1,0.5070404297223174,0.7,0.1
MNIST,medium,43,2,a1,hebbian,loss_free,1,0.5070404297223174,0.3972602739726027,0.2
MNIST,medium,43,2,a2,hebbian,loss_free,1,0.735845742325752,0.6,0.05
MNIST,medium,43,2,a2,hebbian,loss_free,1,0.735845742325752,0.7857142857142857,0.1
MNIST,medium,43,2,a2,hebbian,loss_free,1,0.735845742325752,0.7586206896551724,0.2
MNIST,medium,43,2,a3,hebbian,loss_free,1,0.7740381176661495,0.5,0.05
MNIST,medium,43,2,a3,hebbian,loss_free,1,0.7740381176661495,0.5,0.1
MNIST,medium,43,2,a3,hebbian,loss_free,1,0.7740381176661495,0.6666666666666666,0.2
MNIST,medium,43,2,a4,hebbian,loss_free,1,0.8306318681318682,0.5,0.05
MNIST,medium,43,2,a4,hebbian,loss_free,1,0.8306318681318682,0.3333333333333333,0.1
MNIST,medium,43,2,a4,hebbian,loss_free,1,0.8306318681318682,0.4117647058823529,0.2
MNIST,medium,43,2,a1,mean_activation,baseline,1,0.499701854352906,0.47058823529411764,0.05
MNIST,medium,43,2,a1,mean_activation,baseline,1,0.499701854352906,0.7,0.1
MNIST,medium,43,2,a1,mean_activation,baseline,1,0.499701854352906,0.4068965517241379,0.2
MNIST,medium,43,2,a2,mean_activation,baseline,1,0.7104347884106026,0.5,0.05
MNIST,medium,43,2,a2,mean_activation,baseline,1,0.7104347884106026,0.7857142857142857,0.1
MNIST,medium,43,2,a2,mean_activation,baseline,1,0.7104347884106026,0.6451612903225806,0.2
MNIST,medium,43,2,a3,mean_activation,baseline,1,0.7637433225745391,0.5,0.05
MNIST,medium,43,2,a3,mean_activation,baseline,1,0.7637433225745391,0.6,0.1
MNIST,medium,43,2,a3,mean_activation,baseline,1,0.7637433225745391,0.6129032258064516,0.2
MNIST,medium,43,2,a4,mean_activation,baseline,1,0.8360347985347986,0.5,0.05
MNIST,medium,43,2,a4,mean_activation,baseline,1,0.8360347985347986,1.0,0.1
MNIST,medium,43,2,a4,mean_activation,baseline,1,0.8360347985347986,0.4117647058823529,0.2
MNIST,medium,43,2,a1,output_weight_norm,baseline,1,0.933497145403463,0.9230769230769231,0.05
MNIST,medium,43,2,a1,output_weight_norm,baseline,1,0.933497145403463,0.7,0.1
MNIST,medium,43,2,a1,output_weight_norm,baseline,1,0.933497145403463,0.632,0.2
MNIST,medium,43,2,a2,output_weight_norm,baseline,1,0.8512223907072557,0.5,0.05
MNIST,medium,43,2,a2,output_weight_norm,baseline,1,0.8512223907072557,0.6129032258064516,0.1
MNIST,medium,43,2,a2,output_weight_norm,baseline,1,0.8512223907072557,0.6451612903225806,0.2
MNIST,medium,43,2,a3,output_weight_norm,baseline,1,0.9357146127082951,0.7142857142857143,0.05
MNIST,medium,43,2,a3,output_weight_norm,baseline,1,0.9357146127082951,0.6,0.1
MNIST,medium,43,2,a3,output_weight_norm,baseline,1,0.9357146127082951,0.7857142857142857,0.2
MNIST,medium,43,2,a4,output_weight_norm,baseline,1,0.9350732600732601,1.0,0.05
MNIST,medium,43,2,a4,output_weight_norm,baseline,1,0.9350732600732601,1.0,0.1
MNIST,medium,43,2,a4,output_weight_norm,baseline,1,0.9350732600732601,0.6,0.2
MNIST,medium,43,2,a1,redundancy,loss_free,1,0.7291701302702602,0.42857142857142855,0.05
MNIST,medium,43,2,a1,redundancy,loss_free,1,0.7291701302702602,0.43661971830985913,0.1
MNIST,medium,43,2,a1,redundancy,loss_free,1,0.7291701302702602,0.5,0.2
MNIST,medium,43,2,a2,redundancy,loss_free,1,0.7828723702610744,0.3333333333333333,0.05
MNIST,medium,43,2,a2,redundancy,loss_free,1,0.7828723702610744,0.19047619047619047,0.1
MNIST,medium,43,2,a2,redundancy,loss_free,1,0.7828723702610744,0.5454545454545454,0.2
MNIST,medium,43,2,a3,redundancy,loss_free,1,0.6682414548061304,0.7142857142857143,0.05
MNIST,medium,43,2,a3,redundancy,loss_free,1,0.6682414548061304,0.5,0.1
MNIST,medium,43,2,a3,redundancy,loss_free,1,0.6682414548061304,0.42857142857142855,0.2
MNIST,medium,43,2,a4,redundancy,loss_free,1,0.7502261618818864,0.0,0.05
MNIST,medium,43,2,a4,redundancy,loss_free,1,0.7502261618818864,0.0,0.1
MNIST,medium,43,2,a4,redundancy,loss_free,1,0.7502261618818864,0.4117647058823529,0.2
MNIST,medium,43,3,a1,activation_variance,baseline,2,0.5619700647377625,0.5625,0.05
MNIST,medium,43,3,a1,activation_variance,baseline,2,0.5619700647377625,0.6721311475409836,0.1
MNIST,medium,43,3,a1,activation_variance,baseline,2,0.5619700647377625,0.4676258992805755,0.2
MNIST,medium,43,3,a2,activation_variance,baseline,2,0.6843014068148651,0.5,0.05
MNIST,medium,43,3,a2,activation_variance,baseline,2,0.6843014068148651,0.7241379310344828,0.1
MNIST,medium,43,3,a2,activation_variance,baseline,2,0.6843014068148651,0.5454545454545454,0.2
MNIST,medium,43,3,a3,activation_variance,baseline,2,0.7432020452778213,0.7142857142857143,0.05
MNIST,medium,43,3,a3,activation_variance,baseline,2,0.7432020452778213,0.5,0.1
