dataset,architecture,seed,epoch,layer,criterion,criterion_group,neuron_index,score
MNIST,medium,43,10,a1,output_weight_norm,baseline,0,1.172454595565796
MNIST,medium,43,10,a1,output_weight_norm,baseline,1,1.2543208599090576
MNIST,medium,43,10,a1,output_weight_norm,baseline,2,1.0888618230819702
MNIST,medium,43,10,a1,output_weight_norm,baseline,3,0.41359007358551025
MNIST,medium,43,10,a1,output_weight_norm,baseline,4,1.0264148712158203
MNIST,medium,43,10,a1,output_weight_norm,baseline,5,1.0711411237716675
MNIST,medium,43,10,a1,output_weight_norm,baseline,6,0.9713281393051147
MNIST,medium,43,10,a1,output_weight_norm,baseline,7,0.602212131023407
MNIST,medium,43,10,a1,output_weight_norm,baseline,8,0.9396674633026123
MNIST,medium,43,10,a1,output_weight_norm,baseline,9,1.2360934019088745
MNIST,medium,43,10,a1,output_weight_norm,baseline,10,1.057121992111206
MNIST,medium,43,10,a1,output_weight_norm,baseline,11,1.0658756494522095
MNIST,medium,43,10,a1,output_weight_norm,baseline,12,0.9808732867240906
MNIST,medium,43,10,a1,output_weight_norm,baseline,13,1.3164652585983276
MNIST,medium,43,10,a1,output_weight_norm,baseline,14,1.1860460042953491
MNIST,medium,43,10,a1,output_weight_norm,baseline,15,0.9062886834144592
MNIST,medium,43,10,a1,output_weight_norm,baseline,16,0.9296020269393921
MNIST,medium,43,10,a1,output_weight_norm,baseline,17,1.2415478229522705
MNIST,medium,43,10,a1,output_weight_norm,baseline,18,0.7291073203086853
MNIST,medium,43,10,a1,output_weight_norm,baseline,19,0.8405324816703796
MNIST,medium,43,10,a1,output_weight_norm,baseline,20,1.1797302961349487
MNIST,medium,43,10,a1,output_weight_norm,baseline,21,1.134585976600647
MNIST,medium,43,10,a1,output_weight_norm,baseline,22,1.4937798976898193
MNIST,medium,43,10,a1,output_weight_norm,baseline,23,0.7716314792633057
MNIST,medium,43,10,a1,output_weight_norm,baseline,24,1.1779894828796387
MNIST,medium,43,10,a1,output_weight_norm,baseline,25,1.4406300783157349
MNIST,medium,43,10,a1,output_weight_norm,baseline,26,1.243776559829712
MNIST,medium,43,10,a1,output_weight_norm,baseline,27,1.0761950016021729
MNIST,medium,43,10,a1,output_weight_norm,baseline,28,0.38760972023010254
MNIST,medium,43,10,a1,output_weight_norm,baseline,29,0.996490478515625
MNIST,medium,43,10,a1,output_weight_norm,baseline,30,1.3599231243133545
MNIST,medium,43,10,a1,output_weight_norm,baseline,31,0.4169924855232239
MNIST,medium,43,10,a1,output_weight_norm,baseline,32,0.8093140125274658
MNIST,medium,43,10,a1,output_weight_norm,baseline,33,0.7709903120994568
MNIST,medium,43,10,a1,output_weight_norm,baseline,34,0.44015371799468994
MNIST,medium,43,10,a1,output_weight_norm,baseline,35,0.9592308402061462
MNIST,medium,43,10,a1,output_weight_norm,baseline,36,1.18056321144104
MNIST,medium,43,10,a1,output_weight_norm,baseline,37,0.45966845750808716
MNIST,medium,43,10,a1,output_weight_norm,baseline,38,0.907649576663971
MNIST,medium,43,10,a1,output_weight_norm,baseline,39,0.6882736086845398
MNIST,medium,43,10,a1,output_weight_norm,baseline,40,1.1741679906845093
MNIST,medium,43,10,a1,output_weight_norm,baseline,41,1.081677794456482
MNIST,medium,43,10,a1,output_weight_norm,baseline,42,0.41538363695144653
MNIST,medium,43,10,a1,output_weight_norm,baseline,43,0.6437274217605591
MNIST,medium,43,10,a1,output_weight_norm,baseline,44,0.8573374152183533
MNIST,medium,43,10,a1,output_weight_norm,baseline,45,1.5819008350372314
MNIST,medium,43,10,a1,output_weight_norm,baseline,46,0.9586997032165527
MNIST,medium,43,10,a1,output_weight_norm,baseline,47,1.0613256692886353
MNIST,medium,43,10,a1,output_weight_norm,baseline,48,1.194512128829956
MNIST,medium,43,10,a1,output_weight_norm,baseline,49,0.6159592866897583
MNIST,medium,43,10,a1,output_weight_norm,baseline,50,0.4248628318309784
MNIST,medium,43,10,a1,output_weight_norm,baseline,51,0.9784467816352844
MNIST,medium,43,10,a1,output_weight_norm,baseline,52,0.8044959306716919
