dataset,architecture,seed,epoch,layer,criterion,criterion_group,reference_criterion,spearman,topk_jaccard,topk_ratio
MNIST,medium,44,10,a1,output_weight_norm,baseline,activation_fisher,0.5401198505128176,0.6129032258064516,0.05
MNIST,medium,44,10,a1,output_weight_norm,baseline,activation_fisher,0.5401198505128176,0.7894736842105263,0.1
MNIST,medium,44,10,a1,output_weight_norm,baseline,activation_fisher,0.5401198505128176,0.48905109489051096,0.2
MNIST,medium,44,10,a2,output_weight_norm,baseline,activation_fisher,0.530767786479066,0.2631578947368421,0.05
MNIST,medium,44,10,a2,output_weight_norm,baseline,activation_fisher,0.530767786479066,0.21951219512195122,0.1
MNIST,medium,44,10,a2,output_weight_norm,baseline,activation_fisher,0.530767786479066,0.34210526315789475,0.2
MNIST,medium,44,10,a3,output_weight_norm,baseline,activation_fisher,0.45062112613058414,0.7142857142857143,0.05
MNIST,medium,44,10,a3,output_weight_norm,baseline,activation_fisher,0.45062112613058414,0.5,0.1
MNIST,medium,44,10,a3,output_weight_norm,baseline,activation_fisher,0.45062112613058414,0.3888888888888889,0.2
MNIST,medium,44,10,a4,output_weight_norm,baseline,activation_fisher,-0.0831043956043956,0.2,0.05
MNIST,medium,44,10,a4,output_weight_norm,baseline,activation_fisher,-0.0831043956043956,0.09090909090909091,0.1
MNIST,medium,44,10,a4,output_weight_norm,baseline,activation_fisher,-0.0831043956043956,0.043478260869565216,0.2
MNIST,medium,44,10,a1,mean_activation,baseline,activation_fisher,0.78821059786862,0.9230769230769231,0.05
MNIST,medium,44,10,a1,mean_activation,baseline,activation_fisher,0.78821059786862,0.8888888888888888,0.1
MNIST,medium,44,10,a1,mean_activation,baseline,activation_fisher,0.78821059786862,0.6859504132231405,0.2
MNIST,medium,44,10,a2,mean_activation,baseline,activation_fisher,0.5946862650430056,0.8461538461538461,0.05
MNIST,medium,44,10,a2,mean_activation,baseline,activation_fisher,0.5946862650430056,0.42857142857142855,0.1
MNIST,medium,44,10,a2,mean_activation,baseline,activation_fisher,0.5946862650430056,0.4166666666666667,0.2
MNIST,medium,44,10,a3,mean_activation,baseline,activation_fisher,0.4987938844361016,1.0,0.05
MNIST,medium,44,10,a3,mean_activation,baseline,activation_fisher,0.4987938844361016,0.7142857142857143,0.1
MNIST,medium,44,10,a3,mean_activation,baseline,activation_fisher,0.4987938844361016,0.35135135135135137,0.2
MNIST,medium,44,10,a4,mean_activation,baseline,activation_fisher,0.3932234432234432,0.5,0.05
MNIST,medium,44,10,a4,mean_activation,baseline,activation_fisher,0.3932234432234432,0.3333333333333333,0.1
MNIST,medium,44,10,a4,mean_activation,baseline,activation_fisher,0.3932234432234432,0.2631578947368421,0.2
MNIST,medium,44,10,a1,firing_rate,baseline,activation_fisher,0.7201496014909656,0.7241379310344828,0.05
MNIST,medium,44,10,a1,firing_rate,baseline,activation_fisher,0.7201496014909656,0.8545454545454545,0.1
MNIST,medium,44,10,a1,firing_rate,baseline,activation_fisher,0.7201496014909656,0.632,0.2
MNIST,medium,44,10,a2,firing_rate,baseline,activation_fisher,0.28294351437783943,0.7142857142857143,0.05
