dataset,architecture,seed,epoch,layer,criterion,criterion_group,neuron_index,score
MNIST,medium,44,10,a1,output_weight_norm,baseline,0,0.8594424724578857
MNIST,medium,44,10,a1,output_weight_norm,baseline,1,1.2493047714233398
MNIST,medium,44,10,a1,output_weight_norm,baseline,2,1.0965297222137451
MNIST,medium,44,10,a1,output_weight_norm,baseline,3,0.7803247570991516
MNIST,medium,44,10,a1,output_weight_norm,baseline,4,1.325675368309021
MNIST,medium,44,10,a1,output_weight_norm,baseline,5,0.9447469115257263
MNIST,medium,44,10,a1,output_weight_norm,baseline,6,0.4531576335430145
MNIST,medium,44,10,a1,output_weight_norm,baseline,7,1.142029047012329
MNIST,medium,44,10,a1,output_weight_norm,baseline,8,0.9202197790145874
MNIST,medium,44,10,a1,output_weight_norm,baseline,9,1.163256049156189
MNIST,medium,44,10,a1,output_weight_norm,baseline,10,0.8857676982879639
MNIST,medium,44,10,a1,output_weight_norm,baseline,11,0.8338848352432251
MNIST,medium,44,10,a1,output_weight_norm,baseline,12,1.366152286529541
MNIST,medium,44,10,a1,output_weight_norm,baseline,13,0.9012766480445862
MNIST,medium,44,10,a1,output_weight_norm,baseline,14,1.2453359365463257
MNIST,medium,44,10,a1,output_weight_norm,baseline,15,1.0397987365722656
MNIST,medium,44,10,a1,output_weight_norm,baseline,16,1.029058575630188
MNIST,medium,44,10,a1,output_weight_norm,baseline,17,0.9242211580276489
MNIST,medium,44,10,a1,output_weight_norm,baseline,18,1.0860470533370972
MNIST,medium,44,10,a1,output_weight_norm,baseline,19,0.3882136344909668
MNIST,medium,44,10,a1,output_weight_norm,baseline,20,0.9635087251663208
MNIST,medium,44,10,a1,output_weight_norm,baseline,21,0.910452663898468
MNIST,medium,44,10,a1,output_weight_norm,baseline,22,0.8423099517822266
MNIST,medium,44,10,a1,output_weight_norm,baseline,23,0.8349717855453491
MNIST,medium,44,10,a1,output_weight_norm,baseline,24,0.9028128981590271
MNIST,medium,44,10,a1,output_weight_norm,baseline,25,0.9267441034317017
MNIST,medium,44,10,a1,output_weight_norm,baseline,26,0.6908718347549438
MNIST,medium,44,10,a1,output_weight_norm,baseline,27,1.2951370477676392
MNIST,medium,44,10,a1,output_weight_norm,baseline,28,1.2311370372772217
MNIST,medium,44,10,a1,output_weight_norm,baseline,29,0.8477765917778015
MNIST,medium,44,10,a1,output_weight_norm,baseline,30,0.4215888977050781
MNIST,medium,44,10,a1,output_weight_norm,baseline,31,0.8359317183494568
MNIST,medium,44,10,a1,output_weight_norm,baseline,32,1.3897887468338013
MNIST,medium,44,10,a1,output_weight_norm,baseline,33,1.2418476343154907
MNIST,medium,44,10,a1,output_weight_norm,baseline,34,0.719825029373169
MNIST,medium,44,10,a1,output_weight_norm,baseline,35,0.8130472898483276
MNIST,medium,44,10,a1,output_weight_norm,baseline,36,0.9664055705070496
MNIST,medium,44,10,a1,output_weight_norm,baseline,37,0.9239891767501831
MNIST,medium,44,10,a1,output_weight_norm,baseline,38,1.201531171798706
MNIST,medium,44,10,a1,output_weight_norm,baseline,39,1.0534385442733765
MNIST,medium,44,10,a1,output_weight_norm,baseline,40,1.1934345960617065
MNIST,medium,44,10,a1,output_weight_norm,baseline,41,0.9221043586730957
