dataset,architecture,seed,epoch,train_loss,train_accuracy,validation_accuracy,test_accuracy,validation_loss,test_loss,calibration_size,epoch_time_seconds
MNIST,medium,44,1,0.41566819436835734,0.874290957624291,0.9528,0.9561,0.15583931136131288,0.14477607904374598,2048,2.721618775045499
MNIST,medium,44,2,0.16123742598034677,0.9548298298298298,0.9599,0.9626,0.14011120774745942,0.1280585118688643,2048,2.566681133932434
MNIST,medium,44,3,0.11880758318715705,0.967112946279613,0.9739,0.9736,0.0863395199239254,0.08865422809887677,2048,2.5060366468969733
MNIST,medium,44,4,0.09803512748635368,0.9726393059726393,0.975,0.9735,0.08217667828798295,0.08380758015345782,2048,2.6181784269865602
MNIST,medium,44,5,0.08274965553550988,0.9765598932265599,0.9739,0.9732,0.08547791148424148,0.09317733745463193,2048,2.5172760939458385
MNIST,medium,44,6,0.07437920757197403,0.9786661661661662,0.9739,0.9796,0.0875355614721775,0.07958346953317523,2048,2.4029644610127434
MNIST,medium,44,7,0.06434017308068785,0.98169002335669,0.98,0.9798,0.06972561388015747,0.07142969003366306,2048,2.6226581770461053
MNIST,medium,44,8,0.055594745675374715,0.9840465465465466,0.9786,0.9781,0.07823742688298226,0.0899213241515914,2048,2.604626222047955
MNIST,medium,44,9,0.05344412703916038,0.9849641307974641,0.9775,0.9783,0.07572173162698746,0.084359559138841,2048,2.6414453519973904
MNIST,medium,44,10,0.04731011658134408,0.986403069736403,0.9788,0.9792,0.07198521501421928,0.08099350508213975,2048,2.6347960860002786
