dataset,architecture,seed,epoch,layer,prune_scope,criterion,criterion_group,random_draw,pruning_percentage,fine_tune_epochs,validation_accuracy,test_accuracy,validation_loss,test_loss,parameter_count,parameter_reduction,estimated_macs,mac_reduction,scoring_time_seconds,scoring_memory_mb,num_forward_passes,num_backward_passes,calibration_size,compact_inference_time_seconds,compact_test_accuracy,compact_test_loss,masked_inference_time_seconds,original_macs,original_parameter_count,test_per_class_accuracy_json,validation_per_class_accuracy_json,weight_fisher_mode,weight_fisher_parts
MNIST,small,42,10,all,all,random,baseline,0,0.05,0,0.9766,0.98,0.08485474137291313,0.06788503944010008,222660,0.05309892577377462,222284,0.05311136859323884,0.0,0.0,0,0,0,0.34978002309799194,0.98,0.06788503889844287,0.3562149000354111,234752,235146,"[0.9877551020408163, 0.9929515418502203, 0.9854651162790697, 0.9851485148514851, 0.9816700610997964, 0.984304932735426, 0.9801670146137788, 0.9717898832684825, 0.9753593429158111, 0.9544103072348861]","[0.9818731117824774, 0.9894459102902374, 0.9758308157099698, 0.9782393669634025, 0.9809619238476954, 0.9820828667413214, 0.9804727646454265, 0.9688385269121813, 0.9772256728778468, 0.9498464687819856]",batch,both
MNIST,small,42,10,all,all,random,baseline,0,0.05,1,0.9804,0.9829,0.07205199132822454,0.060245521059283054,222660,0.05309892577377462,222284,0.05311136859323884,0.0,0.0,0,0,0,0.32136778405401856,0.9829,0.060245521638938225,0.3186150969704613,234752,235146,"[0.9897959183673469, 0.9929515418502203, 0.9815891472868217, 0.9881188118811881, 0.9826883910386965, 0.9775784753363229, 0.9853862212943633, 0.9795719844357976, 0.9763860369609856, 0.9732408325074331]","[0.9869083585095669, 0.990325417766051, 0.9748237663645518, 0.9802176063303659, 0.9839679358717435, 0.975363941769317, 0.9886947584789312, 0.9848914069877243, 0.9720496894409938, 0.9641760491299898]",batch,both
MNIST,small,42,10,all,all,random,baseline,0,0.05,3,0.981,0.984,0.0730447412355803,0.061489197717770006,222660,0.05309892577377462,222284,0.05311136859323884,0.0,0.0,0,0,0,0.3114175939699635,0.984,0.061489194913371466,0.3245191070018336,234752,235146,"[0.9918367346938776, 0.9929515418502203, 0.9844961240310077, 0.9900990099009901, 0.9857433808553971, 0.9820627802690582, 0.9822546972860126, 0.9824902723735408, 0.9743326488706365, 0.9722497522299306]","[0.9899295065458208, 0.9876868953386104, 0.9778449144008057, 0.9782393669634025, 0.9909819639278558, 0.975363941769317, 0.9897225077081192, 0.9830028328611898, 0.9751552795031055, 0.9600818833162743]",batch,both
MNIST,small,42,10,all,all,random,baseline,0,0.05,5,0.9806,0.9842,0.07115729303276166,0.06125413650469855,222660,0.05309892577377462,222284,0.05311136859323884,0.0,0.0,0,0,0,0.3254332069773227,0.9842,0.06125413770237938,0.3119211629964411,234752,235146,"[0.9918367346938776, 0.9911894273127754, 0.9864341085271318, 0.9861386138613861, 0.9796334012219959, 0.9831838565022422, 0.9843423799582464, 0.9824902723735408, 0.9825462012320328, 0.9732408325074331]","[0.9879154078549849, 0.9832893579595426, 0.9768378650553877, 0.9772502472799208, 0.9849699398797596, 0.9764837625979843, 0.987667009249743, 0.983947119924457, 0.979296066252588, 0.9672466734902764]",batch,both
MNIST,small,42,10,all,all,random,baseline,0,0.1,0,0.9741,0.9776,0.0858222701177001,0.07213034128136933,209417,0.10941712808212767,209060,0.10944315703380592,0.0,0.0,0,0,0,0.32824982597958297,0.9776,0.07213034020252526,0.33680544199887663,234752,235146,"[0.9908163265306122, 0.9955947136563876, 0.9777131782945736, 0.9821782178217822, 0.9735234215885947, 0.9798206278026906, 0.9707724425887265, 0.97568093385214, 0.9722792607802875, 0.9554013875123885]","[0.9838872104733132, 0.990325417766051, 0.9677744209466264, 0.9752720079129574, 0.9729458917835672, 0.9787234042553191, 0.9732785200411099, 0.9707271010387157, 0.974120082815735, 0.9518935516888434]",batch,both
MNIST,small,42,10,all,all,random,baseline,0,0.1,1,0.9794,0.9826,0.07308235292583704,0.06056765699997777,209417,0.10941712808212767,209060,0.10944315703380592,0.0,0.0,0,0,0,0.3111463220557198,0.9826,0.060567657393740953,0.3322613979689777,234752,235146,"[0.9887755102040816, 0.9938325991189427, 0.9815891472868217, 0.9871287128712871, 0.9704684317718941, 0.9854260089686099, 0.9843423799582464, 0.97568093385214, 0.9774127310061602, 0.9801783944499505]","[0.9889224572004028, 0.9850483729111698, 0.9758308157099698, 0.9802176063303659, 0.9749498997995992, 0.9764837625979843, 0.986639260020555, 0.9830028328611898, 0.9751552795031055, 0.9662231320368475]",batch,both
MNIST,small,42,10,all,all,random,baseline,0,0.1,3,0.9802,0.9835,0.07201016838736832,0.06028162381921429,209417,0.10941712808212767,209060,0.10944315703380592,0.0,0.0,0,0,0,0.31021029700059444,0.9835,0.06028162475463469,0.31366599805187434,234752,235146,"[0.9918367346938776, 0.9920704845814978, 0.9825581395348837, 0.9851485148514851, 0.9786150712830958, 0.9876681614349776, 0.9822546972860126, 0.980544747081712, 0.9763860369609856, 0.977205153617443]","[0.9889224572004028, 0.9832893579595426, 0.9758308157099698, 0.9792284866468842, 0.9849699398797596, 0.975363941769317, 0.9886947584789312, 0.9848914069877243, 0.9761904761904762, 0.9631525076765609]",batch,both
MNIST,small,42,10,all,all,random,baseline,0,0.1,5,0.9806,0.9847,0.07257420053593815,0.0598263717737922,209417,0.10941712808212767,209060,0.10944315703380592,0.0,0.0,0,0,0,0.32549701898824424,0.9847,0.059826370846194916,0.3204712149454281,234752,235146,"[0.9908163265306122, 0.9955947136563876, 0.9835271317829457, 0.9881188118811881, 0.9816700610997964, 0.9854260089686099, 0.9812108559498957, 0.9815175097276264, 0.9804928131416838, 0.977205153617443]","[0.9879154078549849, 0.9850483729111698, 0.9778449144008057, 0.9812067260138477, 0.9879759519038076, 0.975363941769317, 0.9835560123329907, 0.983947119924457, 0.979296066252588, 0.962128966223132]",batch,both
MNIST,small,42,10,all,all,random,baseline,0,0.2,0,0.97,0.9732,0.09962058783173561,0.087281614003703,183183,0.2209818580796612,182865,0.22102900081788446,0.0,0.0,0,0,0,0.32569566392339766,0.9732,0.0872816141050309,0.3384102990385145,234752,235146,"[0.986734693877551, 0.9947136563876652, 0.9612403100775194, 0.9762376237623762, 0.9694501018329938, 0.9697309417040358, 0.9739039665970772, 0.9571984435797666, 0.9825462012320328, 0.958374628344896]","[0.9788519637462235, 0.9876868953386104, 0.9577039274924471, 0.9614243323442137, 0.9619238476953907, 0.9686450167973124, 0.9784172661870504, 0.9631728045325779, 0.9834368530020704, 0.9570112589559877]",batch,both
MNIST,small,42,10,all,all,random,baseline,0,0.2,1,0.9775,0.9803,0.07593798603415489,0.06323703581653535,183183,0.2209818580796612,182865,0.22102900081788446,0.0,0.0,0,0,0,0.32132901903241873,0.9803,0.06323703737184405,0.3197791959391907,234752,235146,"[0.9918367346938776, 0.9911894273127754, 0.9806201550387597, 0.9801980198019802, 0.9826883910386965, 0.976457399103139, 0.9822546972860126, 0.9708171206225681, 0.9743326488706365, 0.9712586719524281]","[0.9879154078549849, 0.9841688654353562, 0.9697885196374623, 0.9713155291790306, 0.9809619238476954, 0.975363941769317, 0.9897225077081192, 0.9830028328611898, 0.974120082815735, 0.9570112589559877]",batch,both
