dataset,architecture,seed,epoch,layer,criterion,criterion_group,reference_criterion,spearman,topk_jaccard,topk_ratio
MNIST,small,42,10,a1,output_weight_norm,baseline,activation_fisher,0.4351599526730511,0.6,0.05
MNIST,small,42,10,a1,output_weight_norm,baseline,activation_fisher,0.4351599526730511,0.6129032258064516,0.1
MNIST,small,42,10,a1,output_weight_norm,baseline,activation_fisher,0.4351599526730511,0.4166666666666667,0.2
MNIST,small,42,10,a2,output_weight_norm,baseline,activation_fisher,0.2735533785021058,0.0,0.05
MNIST,small,42,10,a2,output_weight_norm,baseline,activation_fisher,0.2735533785021058,0.2631578947368421,0.1
MNIST,small,42,10,a2,output_weight_norm,baseline,activation_fisher,0.2735533785021058,0.28205128205128205,0.2
MNIST,small,42,10,a1,mean_activation,baseline,activation_fisher,0.5935204427890617,0.6,0.05
MNIST,small,42,10,a1,mean_activation,baseline,activation_fisher,0.5935204427890617,0.6666666666666666,0.1
MNIST,small,42,10,a1,mean_activation,baseline,activation_fisher,0.5935204427890617,0.4782608695652174,0.2
MNIST,small,42,10,a2,mean_activation,baseline,activation_fisher,0.4378834004761033,0.2,0.05
MNIST,small,42,10,a2,mean_activation,baseline,activation_fisher,0.4378834004761033,0.2,0.1
MNIST,small,42,10,a2,mean_activation,baseline,activation_fisher,0.4378834004761033,0.3157894736842105,0.2
MNIST,small,42,10,a1,firing_rate,baseline,activation_fisher,0.4687425709000643,0.8461538461538461,0.05
MNIST,small,42,10,a1,firing_rate,baseline,activation_fisher,0.4687425709000643,0.6666666666666666,0.1
MNIST,small,42,10,a1,firing_rate,baseline,activation_fisher,0.4687425709000643,0.43661971830985913,0.2
MNIST,small,42,10,a2,firing_rate,baseline,activation_fisher,0.33126085477370637,0.2,0.05
MNIST,small,42,10,a2,firing_rate,baseline,activation_fisher,0.33126085477370637,0.14285714285714285,0.1
MNIST,small,42,10,a2,firing_rate,baseline,activation_fisher,0.33126085477370637,0.28205128205128205,0.2
MNIST,small,42,10,a1,activation_variance,baseline,activation_fisher,0.642147531242051,0.7142857142857143,0.05
MNIST,small,42,10,a1,activation_variance,baseline,activation_fisher,0.642147531242051,0.6666666666666666,0.1
MNIST,small,42,10,a1,activation_variance,baseline,activation_fisher,0.642147531242051,0.4782608695652174,0.2
MNIST,small,42,10,a2,activation_variance,baseline,activation_fisher,0.4075890404687786,0.3333333333333333,0.05
MNIST,small,42,10,a2,activation_variance,baseline,activation_fisher,0.4075890404687786,0.2,0.1
MNIST,small,42,10,a2,activation_variance,baseline,activation_fisher,0.4075890404687786,0.3888888888888889,0.2
MNIST,small,42,10,a1,class_selectivity,loss_free,activation_fisher,0.5224963159941485,0.6,0.05
MNIST,small,42,10,a1,class_selectivity,loss_free,activation_fisher,0.5224963159941485,0.6666666666666666,0.1
MNIST,small,42,10,a1,class_selectivity,loss_free,activation_fisher,0.5224963159941485,0.3783783783783784,0.2
MNIST,small,42,10,a2,class_selectivity,loss_free,activation_fisher,0.22949665812122322,0.2,0.05
MNIST,small,42,10,a2,class_selectivity,loss_free,activation_fisher,0.22949665812122322,0.14285714285714285,0.1
MNIST,small,42,10,a2,class_selectivity,loss_free,activation_fisher,0.22949665812122322,0.3888888888888889,0.2
MNIST,small,42,10,a1,redundancy,loss_free,activation_fisher,-0.2800393393264732,0.0,0.05
MNIST,small,42,10,a1,redundancy,loss_free,activation_fisher,-0.2800393393264732,0.0,0.1
MNIST,small,42,10,a1,redundancy,loss_free,activation_fisher,-0.2800393393264732,0.02,0.2
MNIST,small,42,10,a2,redundancy,loss_free,activation_fisher,-0.21410524594197963,0.0,0.05
MNIST,small,42,10,a2,redundancy,loss_free,activation_fisher,-0.21410524594197963,0.043478260869565216,0.1
MNIST,small,42,10,a2,redundancy,loss_free,activation_fisher,-0.21410524594197963,0.041666666666666664,0.2
MNIST,small,42,10,a1,hebbian,loss_free,activation_fisher,0.5978299872888829,0.7142857142857143,0.05
MNIST,small,42,10,a1,hebbian,loss_free,activation_fisher,0.5978299872888829,0.6666666666666666,0.1
MNIST,small,42,10,a1,hebbian,loss_free,activation_fisher,0.5978299872888829,0.5,0.2
MNIST,small,42,10,a2,hebbian,loss_free,activation_fisher,0.45605200512726607,0.2,0.05
MNIST,small,42,10,a2,hebbian,loss_free,activation_fisher,0.45605200512726607,0.2,0.1
MNIST,small,42,10,a2,hebbian,loss_free,activation_fisher,0.45605200512726607,0.28205128205128205,0.2
MNIST,small,42,10,a1,weight_fisher,loss_aware,activation_fisher,0.8645559462662837,0.7142857142857143,0.05
MNIST,small,42,10,a1,weight_fisher,loss_aware,activation_fisher,0.8645559462662837,0.7241379310344828,0.1
MNIST,small,42,10,a1,weight_fisher,loss_aware,activation_fisher,0.8645559462662837,0.6721311475409836,0.2
MNIST,small,42,10,a2,weight_fisher,loss_aware,activation_fisher,0.7242721113349203,0.7142857142857143,0.05
MNIST,small,42,10,a2,weight_fisher,loss_aware,activation_fisher,0.7242721113349203,0.5,0.1
MNIST,small,42,10,a2,weight_fisher,loss_aware,activation_fisher,0.7242721113349203,0.6129032258064516,0.2
