dataset,architecture,seed,epoch,layer,criterion,criterion_group,previous_epoch,spearman,topk_jaccard,topk_ratio
MNIST,small,42,2,a1,activation_variance,baseline,1,0.5652174615100979,0.6,0.05
MNIST,small,42,2,a1,activation_variance,baseline,1,0.5652174615100979,0.6666666666666666,0.1
MNIST,small,42,2,a1,activation_variance,baseline,1,0.5652174615100979,0.3972602739726027,0.2
MNIST,small,42,2,a2,activation_variance,baseline,1,0.7027753934191703,0.5,0.05
MNIST,small,42,2,a2,activation_variance,baseline,1,0.7027753934191703,0.5,0.1
MNIST,small,42,2,a2,activation_variance,baseline,1,0.7027753934191703,0.35135135135135137,0.2
MNIST,small,42,2,a1,class_selectivity,loss_free,1,0.7338210030947572,0.4117647058823529,0.05
MNIST,small,42,2,a1,class_selectivity,loss_free,1,0.7338210030947572,0.6129032258064516,0.1
MNIST,small,42,2,a1,class_selectivity,loss_free,1,0.7338210030947572,0.4166666666666667,0.2
MNIST,small,42,2,a2,class_selectivity,loss_free,1,0.6302832618025751,0.7142857142857143,0.05
MNIST,small,42,2,a2,class_selectivity,loss_free,1,0.6302832618025751,0.4117647058823529,0.1
MNIST,small,42,2,a2,class_selectivity,loss_free,1,0.6302832618025751,0.35135135135135137,0.2
MNIST,small,42,2,a1,firing_rate,baseline,1,0.756854858053509,0.5,0.05
MNIST,small,42,2,a1,firing_rate,baseline,1,0.756854858053509,0.8518518518518519,0.1
MNIST,small,42,2,a1,firing_rate,baseline,1,0.756854858053509,0.5692307692307692,0.2
MNIST,small,42,2,a2,firing_rate,baseline,1,0.7562819390318575,0.5,0.05
MNIST,small,42,2,a2,firing_rate,baseline,1,0.7562819390318575,0.8461538461538461,0.1
MNIST,small,42,2,a2,firing_rate,baseline,1,0.7562819390318575,0.5625,0.2
MNIST,small,42,2,a1,hebbian,loss_free,1,0.6481333184314113,0.7142857142857143,0.05
MNIST,small,42,2,a1,hebbian,loss_free,1,0.6481333184314113,0.6129032258064516,0.1
MNIST,small,42,2,a1,hebbian,loss_free,1,0.6481333184314113,0.5223880597014925,0.2
MNIST,small,42,2,a2,hebbian,loss_free,1,0.7209098712446352,0.5,0.05
MNIST,small,42,2,a2,hebbian,loss_free,1,0.7209098712446352,0.8461538461538461,0.1
MNIST,small,42,2,a2,hebbian,loss_free,1,0.7209098712446352,0.47058823529411764,0.2
MNIST,small,42,2,a1,mean_activation,baseline,1,0.6186799655659585,0.5,0.05
MNIST,small,42,2,a1,mean_activation,baseline,1,0.6186799655659585,0.6129032258064516,0.1
MNIST,small,42,2,a1,mean_activation,baseline,1,0.6186799655659585,0.5,0.2
MNIST,small,42,2,a2,mean_activation,baseline,1,0.7193991416309012,0.5,0.05
MNIST,small,42,2,a2,mean_activation,baseline,1,0.7193991416309012,0.7142857142857143,0.1
MNIST,small,42,2,a2,mean_activation,baseline,1,0.7193991416309012,0.5625,0.2
MNIST,small,42,2,a1,output_weight_norm,baseline,1,0.9494485294117647,0.8461538461538461,0.05
MNIST,small,42,2,a1,output_weight_norm,baseline,1,0.9494485294117647,0.7857142857142857,0.1
MNIST,small,42,2,a1,output_weight_norm,baseline,1,0.9494485294117647,0.7,0.2
MNIST,small,42,2,a2,output_weight_norm,baseline,1,0.9322697308185314,0.5,0.05
MNIST,small,42,2,a2,output_weight_norm,baseline,1,0.9322697308185314,0.6,0.1
MNIST,small,42,2,a2,output_weight_norm,baseline,1,0.9322697308185314,0.6129032258064516,0.2
MNIST,small,42,2,a1,redundancy,loss_free,1,0.775349467236503,0.3333333333333333,0.05
MNIST,small,42,2,a1,redundancy,loss_free,1,0.775349467236503,0.42857142857142855,0.1
MNIST,small,42,2,a1,redundancy,loss_free,1,0.775349467236503,0.5692307692307692,0.2
MNIST,small,42,2,a2,redundancy,loss_free,1,0.7891244350599589,0.2,0.05
MNIST,small,42,2,a2,redundancy,loss_free,1,0.7891244350599589,0.5,0.1
MNIST,small,42,2,a2,redundancy,loss_free,1,0.7891244350599589,0.5625,0.2
MNIST,small,42,3,a1,activation_variance,baseline,2,0.562949365535307,0.5,0.05
MNIST,small,42,3,a1,activation_variance,baseline,2,0.562949365535307,0.7241379310344828,0.1
MNIST,small,42,3,a1,activation_variance,baseline,2,0.562949365535307,0.3246753246753247,0.2
MNIST,small,42,3,a2,activation_variance,baseline,2,0.8049350288985626,0.7142857142857143,0.05
MNIST,small,42,3,a2,activation_variance,baseline,2,0.8049350288985626,0.5,0.1
MNIST,small,42,3,a2,activation_variance,baseline,2,0.8049350288985626,0.3888888888888889,0.2
MNIST,small,42,3,a1,class_selectivity,loss_free,2,0.6868493065411272,0.6,0.05
MNIST,small,42,3,a1,class_selectivity,loss_free,2,0.6868493065411272,0.6666666666666666,0.1
MNIST,small,42,3,a1,class_selectivity,loss_free,2,0.6868493065411272,0.3972602739726027,0.2
MNIST,small,42,3,a2,class_selectivity,loss_free,2,0.7985659575211279,0.7142857142857143,0.05
MNIST,small,42,3,a2,class_selectivity,loss_free,2,0.7985659575211279,0.3333333333333333,0.1
MNIST,small,42,3,a2,class_selectivity,loss_free,2,0.7985659575211279,0.47058823529411764,0.2
MNIST,small,42,3,a1,firing_rate,baseline,2,0.7306931585704408,0.5,0.05
MNIST,small,42,3,a1,firing_rate,baseline,2,0.7306931585704408,0.8518518518518519,0.1
MNIST,small,42,3,a1,firing_rate,baseline,2,0.7306931585704408,0.59375,0.2
MNIST,small,42,3,a2,firing_rate,baseline,2,0.8298518865126197,0.5,0.05
MNIST,small,42,3,a2,firing_rate,baseline,2,0.8298518865126197,0.7142857142857143,0.1
MNIST,small,42,3,a2,firing_rate,baseline,2,0.8298518865126197,0.6666666666666666,0.2
MNIST,small,42,3,a1,hebbian,loss_free,2,0.6223206213815085,0.8461538461538461,0.05
MNIST,small,42,3,a1,hebbian,loss_free,2,0.6223206213815085,0.7857142857142857,0.1
MNIST,small,42,3,a1,hebbian,loss_free,2,0.6223206213815085,0.45714285714285713,0.2
MNIST,small,42,3,a2,hebbian,loss_free,2,0.7973012991433983,0.5,0.05
MNIST,small,42,3,a2,hebbian,loss_free,2,0.7973012991433983,0.7142857142857143,0.1
MNIST,small,42,3,a2,hebbian,loss_free,2,0.7973012991433983,0.5625,0.2
MNIST,small,42,3,a1,mean_activation,baseline,2,0.6026833228927826,0.6,0.05
MNIST,small,42,3,a1,mean_activation,baseline,2,0.6026833228927826,0.7241379310344828,0.1
MNIST,small,42,3,a1,mean_activation,baseline,2,0.6026833228927826,0.43661971830985913,0.2
MNIST,small,42,3,a2,mean_activation,baseline,2,0.7939536740258787,0.5,0.05
MNIST,small,42,3,a2,mean_activation,baseline,2,0.7939536740258787,0.5,0.1
MNIST,small,42,3,a2,mean_activation,baseline,2,0.7939536740258787,0.5151515151515151,0.2
MNIST,small,42,3,a1,output_weight_norm,baseline,2,0.9767752918287937,1.0,0.05
