dataset,architecture,seed,epoch,train_loss,train_accuracy,validation_accuracy,test_accuracy,validation_loss,test_loss,calibration_size,epoch_time_seconds
MNIST,small,42,1,0.35030107417423245,0.8946446446446447,0.9495,0.9563,0.1681247026205063,0.14558863248825074,2048,2.853403512039222
MNIST,small,42,2,0.15095900841402857,0.9543293293293293,0.9617,0.9636,0.13084172184467316,0.11500260027647019,2048,2.3477843090659007
MNIST,small,42,3,0.11164689572912716,0.96581998665332,0.968,0.9702,0.10649163503050804,0.0968633878082037,2048,2.501343438983895
MNIST,small,42,4,0.0906187242215818,0.9722430764097431,0.971,0.9731,0.09708415776491165,0.08450414629727603,2048,2.64164027699735
MNIST,small,42,5,0.07476390504691853,0.9767267267267268,0.9741,0.9743,0.0874120804592967,0.07832772865463049,2048,2.500239597982727
MNIST,small,42,6,0.06417157544736111,0.9791875208541875,0.9744,0.9789,0.08734197915717959,0.07039245667452924,2048,2.5636247630463913
MNIST,small,42,7,0.055851302763790855,0.9820653987320654,0.9774,0.9776,0.07968744702935218,0.07660895141341025,2048,2.6198650740552694
MNIST,small,42,8,0.05074435454837712,0.9835043376710043,0.9761,0.9788,0.08701435885783285,0.07309146989285946,2048,2.462358586024493
MNIST,small,42,9,0.05012167321656659,0.9832749416082749,0.978,0.9787,0.07948411878943443,0.07072227744704578,2048,2.4771285810275003
MNIST,small,42,10,0.04121330752720187,0.9861528194861529,0.978,0.9807,0.08542494993209838,0.06892316244223039,2048,2.521746090031229
