dataset,architecture,seed,epoch,layer,criterion,criterion_group,scoring_time_seconds,scoring_memory_mb,num_forward_passes,num_backward_passes,calibration_size,reference_calibration_size,spearman_vs_full,topk_jaccard_vs_full,topk_ratio
MNIST,small,43,10,a1,hebbian,loss_free,0.1363638419425115,20.517578125,1,0,128,2048,0.9558559911872214,1.0,0.05
MNIST,small,43,10,a1,hebbian,loss_free,0.1363638419425115,20.517578125,1,0,128,2048,0.9558559911872214,0.7241379310344828,0.1
MNIST,small,43,10,a1,hebbian,loss_free,0.1363638419425115,20.517578125,1,0,128,2048,0.9558559911872214,0.7,0.2
MNIST,small,43,10,a2,hebbian,loss_free,0.1363638419425115,20.517578125,1,0,128,2048,0.9625297564548617,1.0,0.05
MNIST,small,43,10,a2,hebbian,loss_free,0.1363638419425115,20.517578125,1,0,128,2048,0.9625297564548617,0.7142857142857143,0.1
MNIST,small,43,10,a2,hebbian,loss_free,0.1363638419425115,20.517578125,1,0,128,2048,0.9625297564548617,0.7241379310344828,0.2
MNIST,small,43,10,a1,activation_fisher,loss_aware,0.06865893409121782,20.85400390625,1,1,128,2048,0.38585305836319805,1.0,0.05
MNIST,small,43,10,a1,activation_fisher,loss_aware,0.06865893409121782,20.85400390625,1,1,128,2048,0.38585305836319805,0.42857142857142855,0.1
MNIST,small,43,10,a1,activation_fisher,loss_aware,0.06865893409121782,20.85400390625,1,1,128,2048,0.38585305836319805,0.3783783783783784,0.2
MNIST,small,43,10,a2,activation_fisher,loss_aware,0.06865893409121782,20.85400390625,1,1,128,2048,0.22594305072331075,0.09090909090909091,0.05
MNIST,small,43,10,a2,activation_fisher,loss_aware,0.06865893409121782,20.85400390625,1,1,128,2048,0.22594305072331075,0.043478260869565216,0.1
MNIST,small,43,10,a2,activation_fisher,loss_aware,0.06865893409121782,20.85400390625,1,1,128,2048,0.22594305072331075,0.13636363636363635,0.2
MNIST,small,43,10,a1,hebbian,loss_free,0.12466739804949611,20.705078125,2,0,256,2048,0.9747219182099759,1.0,0.05
MNIST,small,43,10,a1,hebbian,loss_free,0.12466739804949611,20.705078125,2,0,256,2048,0.9747219182099759,0.7857142857142857,0.1
MNIST,small,43,10,a1,hebbian,loss_free,0.12466739804949611,20.705078125,2,0,256,2048,0.9747219182099759,0.7894736842105263,0.2
MNIST,small,43,10,a2,hebbian,loss_free,0.12466739804949611,20.705078125,2,0,256,2048,0.9750331898919612,1.0,0.05
MNIST,small,43,10,a2,hebbian,loss_free,0.12466739804949611,20.705078125,2,0,256,2048,0.9750331898919612,0.8461538461538461,0.1
MNIST,small,43,10,a2,hebbian,loss_free,0.12466739804949611,20.705078125,2,0,256,2048,0.9750331898919612,0.7857142857142857,0.2
MNIST,small,43,10,a1,activation_fisher,loss_aware,0.07643161900341511,20.8994140625,2,2,256,2048,0.4789444694807471,0.8461538461538461,0.05
MNIST,small,43,10,a1,activation_fisher,loss_aware,0.07643161900341511,20.8994140625,2,2,256,2048,0.4789444694807471,0.42857142857142855,0.1
MNIST,small,43,10,a1,activation_fisher,loss_aware,0.07643161900341511,20.8994140625,2,2,256,2048,0.4789444694807471,0.3783783783783784,0.2
MNIST,small,43,10,a2,activation_fisher,loss_aware,0.07643161900341511,20.8994140625,2,2,256,2048,0.4245616645303058,0.2,0.05
MNIST,small,43,10,a2,activation_fisher,loss_aware,0.07643161900341511,20.8994140625,2,2,256,2048,0.4245616645303058,0.2,0.1
MNIST,small,43,10,a2,activation_fisher,loss_aware,0.07643161900341511,20.8994140625,2,2,256,2048,0.4245616645303058,0.3157894736842105,0.2
MNIST,small,43,10,a1,hebbian,loss_free,0.155514009995386,20.705078125,4,0,512,2048,0.9912165497113672,1.0,0.05
MNIST,small,43,10,a1,hebbian,loss_free,0.155514009995386,20.705078125,4,0,512,2048,0.9912165497113672,0.9230769230769231,0.1
MNIST,small,43,10,a1,hebbian,loss_free,0.155514009995386,20.705078125,4,0,512,2048,0.9912165497113672,0.8888888888888888,0.2
MNIST,small,43,10,a2,hebbian,loss_free,0.155514009995386,20.705078125,4,0,512,2048,0.9932189617286211,1.0,0.05
MNIST,small,43,10,a2,hebbian,loss_free,0.155514009995386,20.705078125,4,0,512,2048,0.9932189617286211,0.7142857142857143,0.1
MNIST,small,43,10,a2,hebbian,loss_free,0.155514009995386,20.705078125,4,0,512,2048,0.9932189617286211,0.9230769230769231,0.2
MNIST,small,43,10,a1,activation_fisher,loss_aware,0.06841312500182539,20.8994140625,4,4,512,2048,0.654525490532701,1.0,0.05
MNIST,small,43,10,a1,activation_fisher,loss_aware,0.06841312500182539,20.8994140625,4,4,512,2048,0.654525490532701,0.42857142857142855,0.1
MNIST,small,43,10,a1,activation_fisher,loss_aware,0.06841312500182539,20.8994140625,4,4,512,2048,0.654525490532701,0.43661971830985913,0.2
MNIST,small,43,10,a2,activation_fisher,loss_aware,0.06841312500182539,20.8994140625,4,4,512,2048,0.5444916224134774,0.09090909090909091,0.05
MNIST,small,43,10,a2,activation_fisher,loss_aware,0.06841312500182539,20.8994140625,4,4,512,2048,0.5444916224134774,0.2,0.1
MNIST,small,43,10,a2,activation_fisher,loss_aware,0.06841312500182539,20.8994140625,4,4,512,2048,0.5444916224134774,0.3157894736842105,0.2
MNIST,small,43,10,a1,hebbian,loss_free,0.23854734399355948,20.705078125,8,0,1024,2048,0.9971100953525469,1.0,0.05
MNIST,small,43,10,a1,hebbian,loss_free,0.23854734399355948,20.705078125,8,0,1024,2048,0.9971100953525469,0.9230769230769231,0.1
MNIST,small,43,10,a1,hebbian,loss_free,0.23854734399355948,20.705078125,8,0,1024,2048,0.9971100953525469,0.8888888888888888,0.2
MNIST,small,43,10,a2,hebbian,loss_free,0.23854734399355948,20.705078125,8,0,1024,2048,0.9970357993041568,1.0,0.05
MNIST,small,43,10,a2,hebbian,loss_free,0.23854734399355948,20.705078125,8,0,1024,2048,0.9970357993041568,0.8461538461538461,0.1
MNIST,small,43,10,a2,hebbian,loss_free,0.23854734399355948,20.705078125,8,0,1024,2048,0.9970357993041568,0.9230769230769231,0.2
MNIST,small,43,10,a1,activation_fisher,loss_aware,0.0778237150516361,20.8994140625,8,8,1024,2048,0.7897487070537994,1.0,0.05
MNIST,small,43,10,a1,activation_fisher,loss_aware,0.0778237150516361,20.8994140625,8,8,1024,2048,0.7897487070537994,0.5151515151515151,0.1
MNIST,small,43,10,a1,activation_fisher,loss_aware,0.0778237150516361,20.8994140625,8,8,1024,2048,0.7897487070537994,0.5692307692307692,0.2
