dataset,architecture,seed,epoch,layer,criterion,criterion_group,scoring_time_seconds,scoring_memory_mb,num_forward_passes,num_backward_passes,calibration_size,reference_calibration_size,spearman_vs_full,topk_jaccard_vs_full,topk_ratio
MNIST,small,44,10,a1,hebbian,loss_free,0.14664295793045312,20.517578125,1,0,128,2048,0.9716586321111707,0.8461538461538461,0.05
MNIST,small,44,10,a1,hebbian,loss_free,0.14664295793045312,20.517578125,1,0,128,2048,0.9716586321111707,0.7857142857142857,0.1
MNIST,small,44,10,a1,hebbian,loss_free,0.14664295793045312,20.517578125,1,0,128,2048,0.9716586321111707,0.7,0.2
MNIST,small,44,10,a2,hebbian,loss_free,0.14664295793045312,20.517578125,1,0,128,2048,0.9859400348494862,0.7142857142857143,0.05
MNIST,small,44,10,a2,hebbian,loss_free,0.14664295793045312,20.517578125,1,0,128,2048,0.9859400348494862,0.8461538461538461,0.1
MNIST,small,44,10,a2,hebbian,loss_free,0.14664295793045312,20.517578125,1,0,128,2048,0.9859400348494862,0.9230769230769231,0.2
MNIST,small,44,10,a1,activation_fisher,loss_aware,0.0720730860484764,20.85400390625,1,1,128,2048,0.3920091267602879,0.7142857142857143,0.05
MNIST,small,44,10,a1,activation_fisher,loss_aware,0.0720730860484764,20.85400390625,1,1,128,2048,0.3920091267602879,0.5151515151515151,0.1
MNIST,small,44,10,a1,activation_fisher,loss_aware,0.0720730860484764,20.85400390625,1,1,128,2048,0.3920091267602879,0.3783783783783784,0.2
MNIST,small,44,10,a2,activation_fisher,loss_aware,0.0720730860484764,20.85400390625,1,1,128,2048,0.3973213391587483,0.2,0.05
MNIST,small,44,10,a2,activation_fisher,loss_aware,0.0720730860484764,20.85400390625,1,1,128,2048,0.3973213391587483,0.3333333333333333,0.1
MNIST,small,44,10,a2,activation_fisher,loss_aware,0.0720730860484764,20.85400390625,1,1,128,2048,0.3973213391587483,0.25,0.2
MNIST,small,44,10,a1,hebbian,loss_free,0.10726552305277437,20.705078125,2,0,256,2048,0.9803761667861923,0.8461538461538461,0.05
MNIST,small,44,10,a1,hebbian,loss_free,0.10726552305277437,20.705078125,2,0,256,2048,0.9803761667861923,0.7857142857142857,0.1
MNIST,small,44,10,a1,hebbian,loss_free,0.10726552305277437,20.705078125,2,0,256,2048,0.9803761667861923,0.7586206896551724,0.2
MNIST,small,44,10,a2,hebbian,loss_free,0.10726552305277437,20.705078125,2,0,256,2048,0.9838399098147942,1.0,0.05
MNIST,small,44,10,a2,hebbian,loss_free,0.10726552305277437,20.705078125,2,0,256,2048,0.9838399098147942,1.0,0.1
MNIST,small,44,10,a2,hebbian,loss_free,0.10726552305277437,20.705078125,2,0,256,2048,0.9838399098147942,0.9230769230769231,0.2
MNIST,small,44,10,a1,activation_fisher,loss_aware,0.10891434899531305,20.8994140625,2,2,256,2048,0.6677218076823662,0.8461538461538461,0.05
MNIST,small,44,10,a1,activation_fisher,loss_aware,0.10891434899531305,20.8994140625,2,2,256,2048,0.6677218076823662,0.5151515151515151,0.1
MNIST,small,44,10,a1,activation_fisher,loss_aware,0.10891434899531305,20.8994140625,2,2,256,2048,0.6677218076823662,0.43661971830985913,0.2
MNIST,small,44,10,a2,activation_fisher,loss_aware,0.10891434899531305,20.8994140625,2,2,256,2048,0.6206441718669081,0.2,0.05
MNIST,small,44,10,a2,activation_fisher,loss_aware,0.10891434899531305,20.8994140625,2,2,256,2048,0.6206441718669081,0.2631578947368421,0.1
MNIST,small,44,10,a2,activation_fisher,loss_aware,0.10891434899531305,20.8994140625,2,2,256,2048,0.6206441718669081,0.35135135135135137,0.2
MNIST,small,44,10,a1,hebbian,loss_free,0.1381308150012046,20.705078125,4,0,512,2048,0.9927366959316398,0.8461538461538461,0.05
MNIST,small,44,10,a1,hebbian,loss_free,0.1381308150012046,20.705078125,4,0,512,2048,0.9927366959316398,0.7857142857142857,0.1
MNIST,small,44,10,a1,hebbian,loss_free,0.1381308150012046,20.705078125,4,0,512,2048,0.9927366959316398,0.8888888888888888,0.2
MNIST,small,44,10,a2,hebbian,loss_free,0.1381308150012046,20.705078125,4,0,512,2048,0.9915937774496929,1.0,0.05
MNIST,small,44,10,a2,hebbian,loss_free,0.1381308150012046,20.705078125,4,0,512,2048,0.9915937774496929,1.0,0.1
MNIST,small,44,10,a2,hebbian,loss_free,0.1381308150012046,20.705078125,4,0,512,2048,0.9915937774496929,0.8518518518518519,0.2
MNIST,small,44,10,a1,activation_fisher,loss_aware,0.0638246830785647,20.8994140625,4,4,512,2048,0.7832007254408933,0.8461538461538461,0.05
MNIST,small,44,10,a1,activation_fisher,loss_aware,0.0638246830785647,20.8994140625,4,4,512,2048,0.7832007254408933,0.5625,0.1
MNIST,small,44,10,a1,activation_fisher,loss_aware,0.0638246830785647,20.8994140625,4,4,512,2048,0.7832007254408933,0.5692307692307692,0.2
MNIST,small,44,10,a2,activation_fisher,loss_aware,0.0638246830785647,20.8994140625,4,4,512,2048,0.7592982034488974,0.5,0.05
MNIST,small,44,10,a2,activation_fisher,loss_aware,0.0638246830785647,20.8994140625,4,4,512,2048,0.7592982034488974,0.2631578947368421,0.1
MNIST,small,44,10,a2,activation_fisher,loss_aware,0.0638246830785647,20.8994140625,4,4,512,2048,0.7592982034488974,0.42857142857142855,0.2
MNIST,small,44,10,a1,hebbian,loss_free,0.26799326308537275,20.705078125,8,0,1024,2048,0.996839628681407,1.0,0.05
MNIST,small,44,10,a1,hebbian,loss_free,0.26799326308537275,20.705078125,8,0,1024,2048,0.996839628681407,0.9230769230769231,0.1
MNIST,small,44,10,a1,hebbian,loss_free,0.26799326308537275,20.705078125,8,0,1024,2048,0.996839628681407,0.8888888888888888,0.2
MNIST,small,44,10,a2,hebbian,loss_free,0.26799326308537275,20.705078125,8,0,1024,2048,0.99819171795378,0.7142857142857143,0.05
MNIST,small,44,10,a2,hebbian,loss_free,0.26799326308537275,20.705078125,8,0,1024,2048,0.99819171795378,1.0,0.1
MNIST,small,44,10,a2,hebbian,loss_free,0.26799326308537275,20.705078125,8,0,1024,2048,0.99819171795378,1.0,0.2
MNIST,small,44,10,a1,activation_fisher,loss_aware,0.06724118103738874,20.8994140625,8,8,1024,2048,0.8359375279429616,1.0,0.05
MNIST,small,44,10,a1,activation_fisher,loss_aware,0.06724118103738874,20.8994140625,8,8,1024,2048,0.8359375279429616,0.7241379310344828,0.1
MNIST,small,44,10,a1,activation_fisher,loss_aware,0.06724118103738874,20.8994140625,8,8,1024,2048,0.8359375279429616,0.6451612903225806,0.2
MNIST,small,44,10,a2,activation_fisher,loss_aware,0.06724118103738874,20.8994140625,8,8,1024,2048,0.8495120213560399,0.5,0.05
MNIST,small,44,10,a2,activation_fisher,loss_aware,0.06724118103738874,20.8994140625,8,8,1024,2048,0.8495120213560399,0.4117647058823529,0.1
MNIST,small,44,10,a2,activation_fisher,loss_aware,0.06724118103738874,20.8994140625,8,8,1024,2048,0.8495120213560399,0.42857142857142855,0.2
