dataset,architecture,seed,epoch,layer,prune_scope,criterion,criterion_group,random_draw,pruning_percentage,fine_tune_epochs,validation_accuracy,test_accuracy,validation_loss,test_loss,parameter_count,parameter_reduction,estimated_macs,mac_reduction,scoring_time_seconds,scoring_memory_mb,num_forward_passes,num_backward_passes,calibration_size,compact_inference_time_seconds,compact_test_accuracy,compact_test_loss,masked_inference_time_seconds,original_macs,original_parameter_count,test_per_class_accuracy_json,validation_per_class_accuracy_json,weight_fisher_mode,weight_fisher_parts
MNIST,small,44,10,all,all,random,baseline,0,0.05,0,0.9788,0.979,0.07527630479931831,0.0720484512154013,222660,0.05309892577377462,222284,0.05311136859323884,0.0,0.0,0,0,0,0.36078393703792244,0.979,0.0720484514836222,0.34423696098383516,234752,235146,"[0.9918367346938776, 0.9947136563876652, 0.9748062015503876, 0.9811881188118812, 0.9826883910386965, 0.9798206278026906, 0.9791231732776617, 0.9824902723735408, 0.971252566735113, 0.9504459861248761]","[0.9836065573770492, 0.9954379562043796, 0.9823284823284824, 0.9723320158102767, 0.9851924975320829, 0.9831223628691983, 0.9865284974093265, 0.9941634241245136, 0.9551616266944735, 0.9490874159462056]",batch,both
MNIST,small,44,10,all,all,random,baseline,0,0.05,1,0.9821,0.9841,0.06273661244511604,0.06189968031859026,222660,0.05309892577377462,222284,0.05311136859323884,0.0,0.0,0,0,0,0.34443178691435605,0.9841,0.061899681091215464,0.3789101740112528,234752,235146,"[0.9928571428571429, 0.9920704845814978, 0.9854651162790697, 0.9821782178217822, 0.9775967413441955, 0.9820627802690582, 0.9853862212943633, 0.9834630350194552, 0.9784394250513347, 0.9801783944499505]","[0.9866803278688525, 0.9917883211678832, 0.9844074844074844, 0.9733201581027668, 0.9772951628825272, 0.9736286919831224, 0.9917098445595854, 0.9922178988326849, 0.9708029197080292, 0.9779058597502401]",batch,both
MNIST,small,44,10,all,all,random,baseline,0,0.05,3,0.9832,0.9829,0.061876731488108634,0.06056406946214847,222660,0.05309892577377462,222284,0.05311136859323884,0.0,0.0,0,0,0,0.34220204199664295,0.9829,0.060564068676205354,0.3654906760202721,234752,235146,"[0.9918367346938776, 0.9920704845814978, 0.9854651162790697, 0.9831683168316832, 0.9765784114052953, 0.9820627802690582, 0.9801670146137788, 0.9785992217898832, 0.9774127310061602, 0.9801783944499505]","[0.9887295081967213, 0.9936131386861314, 0.9854469854469855, 0.9762845849802372, 0.9802566633761106, 0.9767932489451476, 0.9917098445595854, 0.9892996108949417, 0.9718456725755996, 0.9769452449567724]",batch,both
MNIST,small,44,10,all,all,random,baseline,0,0.05,5,0.9838,0.9839,0.061761918896436695,0.0605270484495908,222660,0.05309892577377462,222284,0.05311136859323884,0.0,0.0,0,0,0,0.3569477059645578,0.9839,0.060527050256356595,0.35526184807531536,234752,235146,"[0.9908163265306122, 0.9911894273127754, 0.9854651162790697, 0.9861386138613861, 0.9786150712830958, 0.9820627802690582, 0.9832985386221295, 0.9844357976653697, 0.9763860369609856, 0.979187314172448]","[0.9877049180327869, 0.9917883211678832, 0.9885654885654885, 0.974308300395257, 0.983218163869694, 0.9767932489451476, 0.9906735751295337, 0.9931906614785992, 0.9739311783107404, 0.9769452449567724]",batch,both
MNIST,small,44,10,all,all,random,baseline,0,0.1,0,0.9752,0.976,0.08281912668943406,0.07886393326576799,209417,0.10941712808212767,209060,0.10944315703380592,0.0,0.0,0,0,0,0.33494069206062704,0.976,0.07886393423900008,0.37076874403283,234752,235146,"[0.9908163265306122, 0.9947136563876652, 0.9593023255813954, 0.9762376237623762, 0.9837067209775967, 0.9820627802690582, 0.9791231732776617, 0.9834630350194552, 0.9650924024640657, 0.9444995044598612]","[0.9815573770491803, 0.9963503649635036, 0.974012474012474, 0.9693675889328063, 0.9851924975320829, 0.9810126582278481, 0.9844559585492227, 0.9941634241245136, 0.9447340980187695, 0.9394812680115274]",batch,both
MNIST,small,44,10,all,all,random,baseline,0,0.1,1,0.9812,0.9823,0.06362401805520057,0.061347534177685153,209417,0.10941712808212767,209060,0.10944315703380592,0.0,0.0,0,0,0,0.33123627200257033,0.9823,0.06134753347286023,0.3684163650032133,234752,235146,"[0.9928571428571429, 0.9920704845814978, 0.9825581395348837, 0.9762376237623762, 0.9786150712830958, 0.9820627802690582, 0.9801670146137788, 0.9834630350194552, 0.9763860369609856, 0.977205153617443]","[0.9877049180327869, 0.9927007299270073, 0.9885654885654885, 0.9693675889328063, 0.9792694965449161, 0.9715189873417721, 0.9875647668393782, 0.9902723735408561, 0.9676746611053181, 0.9759846301633045]",batch,both
MNIST,small,44,10,all,all,random,baseline,0,0.1,3,0.9819,0.9832,0.06164397029876709,0.06035664108126657,209417,0.10941712808212767,209060,0.10944315703380592,0.0,0.0,0,0,0,0.34129383403342217,0.9832,0.06035664068042534,0.34043663390912116,234752,235146,"[0.9897959183673469, 0.9911894273127754, 0.9854651162790697, 0.9841584158415841, 0.9826883910386965, 0.9809417040358744, 0.9843423799582464, 0.980544747081712, 0.9743326488706365, 0.977205153617443]","[0.9866803278688525, 0.9927007299270073, 0.9864864864864865, 0.974308300395257, 0.983218163869694, 0.9725738396624473, 0.9917098445595854, 0.9883268482490273, 0.9655891553701773, 0.9759846301633045]",batch,both
MNIST,small,44,10,all,all,random,baseline,0,0.1,5,0.9817,0.9822,0.06565748444199562,0.062372379459789955,209417,0.10941712808212767,209060,0.10944315703380592,0.0,0.0,0,0,0,0.3344007090199739,0.9822,0.062372378949052655,0.34313563408795744,234752,235146,"[0.9908163265306122, 0.9920704845814978, 0.9874031007751938, 0.9831683168316832, 0.9786150712830958, 0.976457399103139, 0.9791231732776617, 0.9844357976653697, 0.973305954825462, 0.9742319127849356]","[0.9866803278688525, 0.9945255474452555, 0.9906444906444907, 0.9723320158102767, 0.981243830207305, 0.9725738396624473, 0.9906735751295337, 0.9922178988326849, 0.959332638164755, 0.9750240153698367]",batch,both
MNIST,small,44,10,all,all,random,baseline,0,0.2,0,0.9736,0.9755,0.0879400442123413,0.08324008857645095,183183,0.2209818580796612,182865,0.22102900081788446,0.0,0.0,0,0,0,0.3221235550008714,0.9755,0.0832400896076113,0.3337170969462022,234752,235146,"[0.986734693877551, 0.9920704845814978, 0.9680232558139535, 0.9811881188118812, 0.9765784114052953, 0.968609865470852, 0.9739039665970772, 0.980544747081712, 0.9702258726899384, 0.9544103072348861]","[0.9784836065573771, 0.9917883211678832, 0.9771309771309772, 0.9683794466403162, 0.981243830207305, 0.9683544303797469, 0.9803108808290155, 0.9883268482490273, 0.9582898852971846, 0.9423631123919308]",batch,both
MNIST,small,44,10,all,all,random,baseline,0,0.2,1,0.9787,0.981,0.06648061633110046,0.06419212902844884,183183,0.2209818580796612,182865,0.22102900081788446,0.0,0.0,0,0,0,0.31838034000247717,0.981,0.06419212749139405,0.3326583690941334,234752,235146,"[0.9908163265306122, 0.9894273127753304, 0.9854651162790697, 0.9732673267326732, 0.9786150712830958, 0.9798206278026906, 0.988517745302714, 0.9795719844357976, 0.9691991786447639, 0.9742319127849356]","[0.9836065573770492, 0.9908759124087592, 0.9885654885654885, 0.9624505928853755, 0.9743336623889437, 0.9736286919831224, 0.9906735751295337, 0.9892996108949417, 0.9603753910323254, 0.9721421709894332]",batch,both
