dataset,architecture,seed,epoch,layer,criterion,criterion_group,reference_criterion,spearman,topk_jaccard,topk_ratio
MNIST,small,44,10,a1,output_weight_norm,baseline,activation_fisher,0.4374347515053075,0.8461538461538461,0.05
MNIST,small,44,10,a1,output_weight_norm,baseline,activation_fisher,0.4374347515053075,0.5625,0.1
MNIST,small,44,10,a1,output_weight_norm,baseline,activation_fisher,0.4374347515053075,0.34210526315789475,0.2
MNIST,small,44,10,a2,output_weight_norm,baseline,activation_fisher,0.23806628545947361,0.2,0.05
MNIST,small,44,10,a2,output_weight_norm,baseline,activation_fisher,0.23806628545947361,0.2631578947368421,0.1
MNIST,small,44,10,a2,output_weight_norm,baseline,activation_fisher,0.23806628545947361,0.3157894736842105,0.2
MNIST,small,44,10,a1,mean_activation,baseline,activation_fisher,0.5468028959817216,1.0,0.05
MNIST,small,44,10,a1,mean_activation,baseline,activation_fisher,0.5468028959817216,0.6129032258064516,0.1
MNIST,small,44,10,a1,mean_activation,baseline,activation_fisher,0.5468028959817216,0.3972602739726027,0.2
MNIST,small,44,10,a2,mean_activation,baseline,activation_fisher,0.5180871122708531,0.5,0.05
MNIST,small,44,10,a2,mean_activation,baseline,activation_fisher,0.5180871122708531,0.3333333333333333,0.1
MNIST,small,44,10,a2,mean_activation,baseline,activation_fisher,0.5180871122708531,0.42857142857142855,0.2
MNIST,small,44,10,a1,firing_rate,baseline,activation_fisher,0.46370724439234096,1.0,0.05
MNIST,small,44,10,a1,firing_rate,baseline,activation_fisher,0.46370724439234096,0.5625,0.1
MNIST,small,44,10,a1,firing_rate,baseline,activation_fisher,0.46370724439234096,0.3972602739726027,0.2
MNIST,small,44,10,a2,firing_rate,baseline,activation_fisher,0.3750768958096747,0.2,0.05
MNIST,small,44,10,a2,firing_rate,baseline,activation_fisher,0.3750768958096747,0.2,0.1
MNIST,small,44,10,a2,firing_rate,baseline,activation_fisher,0.3750768958096747,0.35135135135135137,0.2
MNIST,small,44,10,a1,activation_variance,baseline,activation_fisher,0.5891896415932907,1.0,0.05
MNIST,small,44,10,a1,activation_variance,baseline,activation_fisher,0.5891896415932907,0.6129032258064516,0.1
MNIST,small,44,10,a1,activation_variance,baseline,activation_fisher,0.5891896415932907,0.4166666666666667,0.2
MNIST,small,44,10,a2,activation_variance,baseline,activation_fisher,0.513034222882207,0.5,0.05
MNIST,small,44,10,a2,activation_variance,baseline,activation_fisher,0.513034222882207,0.4117647058823529,0.1
MNIST,small,44,10,a2,activation_variance,baseline,activation_fisher,0.513034222882207,0.42857142857142855,0.2
MNIST,small,44,10,a1,class_selectivity,loss_free,activation_fisher,0.4051198301497135,1.0,0.05
MNIST,small,44,10,a1,class_selectivity,loss_free,activation_fisher,0.4051198301497135,0.5625,0.1
MNIST,small,44,10,a1,class_selectivity,loss_free,activation_fisher,0.4051198301497135,0.3246753246753247,0.2
MNIST,small,44,10,a2,class_selectivity,loss_free,activation_fisher,0.2889045301470946,0.3333333333333333,0.05
MNIST,small,44,10,a2,class_selectivity,loss_free,activation_fisher,0.2889045301470946,0.2631578947368421,0.1
MNIST,small,44,10,a2,class_selectivity,loss_free,activation_fisher,0.2889045301470946,0.3157894736842105,0.2
MNIST,small,44,10,a1,redundancy,loss_free,activation_fisher,-0.27946783259613933,0.0,0.05
MNIST,small,44,10,a1,redundancy,loss_free,activation_fisher,-0.27946783259613933,0.0,0.1
MNIST,small,44,10,a1,redundancy,loss_free,activation_fisher,-0.27946783259613933,0.07368421052631578,0.2
MNIST,small,44,10,a2,redundancy,loss_free,activation_fisher,-0.21861091299358193,0.0,0.05
MNIST,small,44,10,a2,redundancy,loss_free,activation_fisher,-0.21861091299358193,0.0,0.1
MNIST,small,44,10,a2,redundancy,loss_free,activation_fisher,-0.21861091299358193,0.13636363636363635,0.2
MNIST,small,44,10,a1,hebbian,loss_free,activation_fisher,0.5725093477030796,1.0,0.05
MNIST,small,44,10,a1,hebbian,loss_free,activation_fisher,0.5725093477030796,0.6666666666666666,0.1
MNIST,small,44,10,a1,hebbian,loss_free,activation_fisher,0.5725093477030796,0.3972602739726027,0.2
MNIST,small,44,10,a2,hebbian,loss_free,activation_fisher,0.49843062863551957,0.3333333333333333,0.05
MNIST,small,44,10,a2,hebbian,loss_free,activation_fisher,0.49843062863551957,0.2631578947368421,0.1
MNIST,small,44,10,a2,hebbian,loss_free,activation_fisher,0.49843062863551957,0.47058823529411764,0.2
MNIST,small,44,10,a1,weight_fisher,loss_aware,activation_fisher,0.8808887668042266,1.0,0.05
MNIST,small,44,10,a1,weight_fisher,loss_aware,activation_fisher,0.8808887668042266,0.7241379310344828,0.1
MNIST,small,44,10,a1,weight_fisher,loss_aware,activation_fisher,0.8808887668042266,0.6721311475409836,0.2
MNIST,small,44,10,a2,weight_fisher,loss_aware,activation_fisher,0.7116076256856164,0.5,0.05
MNIST,small,44,10,a2,weight_fisher,loss_aware,activation_fisher,0.7116076256856164,0.5,0.1
MNIST,small,44,10,a2,weight_fisher,loss_aware,activation_fisher,0.7116076256856164,0.47058823529411764,0.2
