dataset,architecture,seed,epoch,layer,prune_scope,criterion,criterion_group,random_draw,pruning_percentage,fine_tune_epochs,validation_accuracy,test_accuracy,validation_loss,test_loss,parameter_count,parameter_reduction,estimated_macs,mac_reduction,scoring_time_seconds,scoring_memory_mb,num_forward_passes,num_backward_passes,calibration_size,compact_inference_time_seconds,compact_test_accuracy,compact_test_loss,masked_inference_time_seconds,original_macs,original_parameter_count,test_per_class_accuracy_json,validation_per_class_accuracy_json,weight_fisher_mode,weight_fisher_parts
MNIST,small,42,1,all,all,random,baseline,0,0.05,0,0.95,0.9501,0.1695279611349106,0.1536139742255211,222660,0.05309892577377462,222284,0.05311136859323884,0.0,0.0,0,0,0,0.3192764389095828,0.9501,0.15361397125124931,0.3517025839537382,234752,235146,"[0.9836734693877551, 0.9823788546255506, 0.9544573643410853, 0.8900990099009901, 0.9653767820773931, 0.9428251121076233, 0.9624217118997912, 0.9445525291828794, 0.9650924024640657, 0.9078295341922695]","[0.9660194174757282, 0.990521327014218, 0.9356435643564357, 0.8793103448275862, 0.9647058823529412, 0.9512195121951219, 0.9795918367346939, 0.9733333333333334, 0.9844559585492227, 0.8855721393034826]",batch,both
MNIST,small,42,1,all,all,random,baseline,0,0.1,0,0.9505,0.95,0.17498442792892457,0.16204353668689728,209417,0.10941712808212767,209060,0.10944315703380592,0.0,0.0,0,0,0,0.30658827698789537,0.95,0.16204353790283202,0.3229689160361886,234752,235146,"[0.9826530612244898, 0.9788546255506608, 0.9525193798449613, 0.899009900990099, 0.9653767820773931, 0.9394618834080718, 0.965553235908142, 0.9416342412451362, 0.9650924024640657, 0.9078295341922695]","[0.9563106796116505, 0.985781990521327, 0.9306930693069307, 0.8922413793103449, 0.9705882352941176, 0.9451219512195121, 0.9795918367346939, 0.9733333333333334, 0.9844559585492227, 0.8955223880597015]",batch,both
MNIST,small,42,1,all,all,random,baseline,0,0.2,0,0.9505,0.9508,0.21631615376472474,0.20109298167228698,183183,0.2209818580796612,182865,0.22102900081788446,0.0,0.0,0,0,0,0.3414551520254463,0.9508,0.20109298300743103,0.3360364839900285,234752,235146,"[0.9816326530612245, 0.9814977973568282, 0.9602713178294574, 0.9158415841584159, 0.9623217922606925, 0.8923766816143498, 0.9582463465553236, 0.9542801556420234, 0.9671457905544147, 0.9256689791873142]","[0.970873786407767, 0.990521327014218, 0.9405940594059405, 0.9094827586206896, 0.9647058823529412, 0.8963414634146342, 0.9693877551020408, 0.9822222222222222, 0.9740932642487047, 0.900497512437811]",batch,both
MNIST,small,42,1,a1,layerwise,random,baseline,0,0.05,0,0.95,0.9518,0.16490238320827483,0.1500892337501049,224190,0.04659232987165418,223808,0.04661941112322787,0.0,0.0,0,0,0,0.30676925799343735,0.9518,0.150089234405756,0.3173234430141747,234752,235146,"[0.9877551020408163, 0.9832599118942731, 0.9554263565891473, 0.9, 0.9704684317718941, 0.945067264573991, 0.9676409185803758, 0.943579766536965, 0.9620123203285421, 0.9008919722497523]","[0.9660194174757282, 0.990521327014218, 0.9306930693069307, 0.896551724137931, 0.9705882352941176, 0.9512195121951219, 0.9795918367346939, 0.9733333333333334, 0.9792746113989638, 0.8706467661691543]",batch,both
MNIST,small,42,1,a1,layerwise,random,baseline,0,0.1,0,0.9515,0.9506,0.1685298511981964,0.1561904705286026,212321,0.09706735389927956,211952,0.09712377317339149,0.0,0.0,0,0,0,0.3214070639805868,0.9506,0.15619047070741654,0.31410578289069235,234752,235146,"[0.986734693877551, 0.9850220264317181, 0.9554263565891473, 0.904950495049505, 0.9714867617107943, 0.9417040358744395, 0.9665970772442589, 0.9377431906614786, 0.9579055441478439, 0.8959365708622399]","[0.970873786407767, 0.990521327014218, 0.9306930693069307, 0.8879310344827587, 0.9764705882352941, 0.9512195121951219, 0.9744897959183674, 0.9733333333333334, 0.9844559585492227, 0.8855721393034826]",batch,both
MNIST,small,42,1,a1,layerwise,random,baseline,0,0.2,0,0.951,0.9517,0.17957628738880158,0.16596653802394867,188583,0.19801740195453033,188240,0.19813249727371862,0.0,0.0,0,0,0,0.31641494599170983,0.9517,0.16596654072999953,0.3327209239359945,234752,235146,"[0.9887755102040816, 0.9850220264317181, 0.9583333333333334, 0.9237623762376238, 0.9714867617107943, 0.9125560538116592, 0.9686847599164927, 0.9445525291828794, 0.9527720739219713, 0.9048562933597621]","[0.9757281553398058, 0.995260663507109, 0.9306930693069307, 0.9008620689655172, 0.9705882352941176, 0.926829268292683, 0.9795918367346939, 0.9777777777777777, 0.9792746113989638, 0.8756218905472637]",batch,both
MNIST,small,42,1,a2,layerwise,random,baseline,0,0.05,0,0.9515,0.9511,0.16643852972984313,0.15046042005419732,233544,0.006812788650455426,233156,0.006798664122137366,0.0,0.0,0,0,0,0.30722603504545987,0.9511,0.15046041978001595,0.32010620494838804,234752,235146,"[0.9857142857142858, 0.9841409691629956, 0.9583333333333334, 0.8881188118811881, 0.9643584521384929, 0.945067264573991, 0.965553235908142, 0.9455252918287937, 0.9640657084188912, 0.9078295341922695]","[0.9660194174757282, 0.995260663507109, 0.9405940594059405, 0.8793103448275862, 0.9647058823529412, 0.9512195121951219, 0.9795918367346939, 0.9822222222222222, 0.9792746113989638, 0.8855721393034826]",batch,both
MNIST,small,42,1,a2,layerwise,random,baseline,0,0.1,0,0.952,0.9525,0.16553276777267456,0.15002816014289855,231942,0.013625577300910963,231560,0.013597328244274842,0.0,0.0,0,0,0,0.3471768150338903,0.9525,0.15002815966010094,0.3194004870019853,234752,235146,"[0.9826530612244898, 0.9814977973568282, 0.9573643410852714, 0.900990099009901, 0.9623217922606925, 0.9405829596412556, 0.9686847599164927, 0.9464980544747081, 0.9681724845995893, 0.9137760158572844]","[0.9611650485436893, 0.990521327014218, 0.9405940594059405, 0.8879310344827587, 0.9647058823529412, 0.9512195121951219, 0.9795918367346939, 0.9822222222222222, 0.9844559585492227, 0.8855721393034826]",batch,both
MNIST,small,42,1,a2,layerwise,random,baseline,0,0.2,0,0.9525,0.9534,0.1777725349664688,0.161171167242527,228471,0.028386619376897793,228102,0.028327767175572505,0.0,0.0,0,0,0,0.3166580229299143,0.9534,0.1611711666941643,0.3150662259431556,234752,235146,"[0.9785714285714285, 0.9814977973568282, 0.9651162790697675, 0.906930693069307, 0.9613034623217923, 0.9327354260089686, 0.9572025052192067, 0.9552529182879378, 0.973305954825462, 0.9177403369672944]","[0.9514563106796117, 0.990521327014218, 0.9455445544554455, 0.8879310344827587, 0.9588235294117647, 0.9390243902439024, 0.9795918367346939, 0.9866666666666667, 0.9948186528497409, 0.8955223880597015]",batch,both
MNIST,small,42,1,all,all,random,baseline,1,0.05,0,0.9475,0.9493,0.17248768079280855,0.1582349967598915,222660,0.05309892577377462,222284,0.05311136859323884,0.0,0.0,0,0,0,0.31891253392677754,0.9493,0.1582349999189377,0.3129789459053427,234752,235146,"[0.986734693877551, 0.9797356828193833, 0.9476744186046512, 0.8811881188118812, 0.9613034623217923, 0.945067264573991, 0.9707724425887265, 0.9367704280155642, 0.9661190965092402, 0.9167492566897919]","[0.9660194174757282, 0.981042654028436, 0.9207920792079208, 0.875, 0.9647058823529412, 0.9451219512195121, 0.9846938775510204, 0.9644444444444444, 0.9792746113989638, 0.9054726368159204]",batch,both
