dataset,architecture,seed,epoch,layer,criterion,criterion_group,reference_criterion,spearman,topk_jaccard,topk_ratio
MNIST,small,42,1,a1,output_weight_norm,baseline,activation_fisher,0.44570304571248637,0.6,0.05
MNIST,small,42,1,a1,output_weight_norm,baseline,activation_fisher,0.44570304571248637,0.35135135135135137,0.1
MNIST,small,42,1,a1,output_weight_norm,baseline,activation_fisher,0.44570304571248637,0.25925925925925924,0.2
MNIST,small,42,1,a2,output_weight_norm,baseline,activation_fisher,0.3683489924829413,0.5,0.05
MNIST,small,42,1,a2,output_weight_norm,baseline,activation_fisher,0.3683489924829413,0.5,0.1
MNIST,small,42,1,a2,output_weight_norm,baseline,activation_fisher,0.3683489924829413,0.35135135135135137,0.2
MNIST,small,42,1,a1,mean_activation,baseline,activation_fisher,0.47054586292981965,1.0,0.05
MNIST,small,42,1,a1,mean_activation,baseline,activation_fisher,0.47054586292981965,0.5151515151515151,0.1
MNIST,small,42,1,a1,mean_activation,baseline,activation_fisher,0.47054586292981965,0.4166666666666667,0.2
MNIST,small,42,1,a2,mean_activation,baseline,activation_fisher,0.7073903550815666,1.0,0.05
MNIST,small,42,1,a2,mean_activation,baseline,activation_fisher,0.7073903550815666,0.5,0.1
MNIST,small,42,1,a2,mean_activation,baseline,activation_fisher,0.7073903550815666,0.3888888888888889,0.2
MNIST,small,42,1,a1,firing_rate,baseline,activation_fisher,0.34580837850808244,1.0,0.05
MNIST,small,42,1,a1,firing_rate,baseline,activation_fisher,0.34580837850808244,0.42857142857142855,0.1
MNIST,small,42,1,a1,firing_rate,baseline,activation_fisher,0.34580837850808244,0.36,0.2
MNIST,small,42,1,a2,firing_rate,baseline,activation_fisher,0.6119196698524704,1.0,0.05
MNIST,small,42,1,a2,firing_rate,baseline,activation_fisher,0.6119196698524704,0.5,0.1
MNIST,small,42,1,a2,firing_rate,baseline,activation_fisher,0.6119196698524704,0.35135135135135137,0.2
MNIST,small,42,1,a1,activation_variance,baseline,activation_fisher,0.5611007389285894,1.0,0.05
MNIST,small,42,1,a1,activation_variance,baseline,activation_fisher,0.5611007389285894,0.5625,0.1
MNIST,small,42,1,a1,activation_variance,baseline,activation_fisher,0.5611007389285894,0.43661971830985913,0.2
MNIST,small,42,1,a2,activation_variance,baseline,activation_fisher,0.6313664445201148,1.0,0.05
MNIST,small,42,1,a2,activation_variance,baseline,activation_fisher,0.6313664445201148,0.5,0.1
MNIST,small,42,1,a2,activation_variance,baseline,activation_fisher,0.6313664445201148,0.3157894736842105,0.2
MNIST,small,42,1,a1,class_selectivity,loss_free,activation_fisher,0.4353877407955822,1.0,0.05
MNIST,small,42,1,a1,class_selectivity,loss_free,activation_fisher,0.4353877407955822,0.47058823529411764,0.1
MNIST,small,42,1,a1,class_selectivity,loss_free,activation_fisher,0.4353877407955822,0.3246753246753247,0.2
MNIST,small,42,1,a2,class_selectivity,loss_free,activation_fisher,0.22170492947872344,1.0,0.05
MNIST,small,42,1,a2,class_selectivity,loss_free,activation_fisher,0.22170492947872344,0.4117647058823529,0.1
MNIST,small,42,1,a2,class_selectivity,loss_free,activation_fisher,0.22170492947872344,0.3157894736842105,0.2
MNIST,small,42,1,a1,redundancy,loss_free,activation_fisher,-0.14675566564398834,0.0,0.05
MNIST,small,42,1,a1,redundancy,loss_free,activation_fisher,-0.14675566564398834,0.08695652173913043,0.1
MNIST,small,42,1,a1,redundancy,loss_free,activation_fisher,-0.14675566564398834,0.12087912087912088,0.2
MNIST,small,42,1,a2,redundancy,loss_free,activation_fisher,-0.07929204052663832,0.0,0.05
MNIST,small,42,1,a2,redundancy,loss_free,activation_fisher,-0.07929204052663832,0.0,0.1
MNIST,small,42,1,a2,redundancy,loss_free,activation_fisher,-0.07929204052663832,0.1111111111111111,0.2
MNIST,small,42,1,a1,hebbian,loss_free,activation_fisher,0.46937487928925514,1.0,0.05
MNIST,small,42,1,a1,hebbian,loss_free,activation_fisher,0.46937487928925514,0.5625,0.1
MNIST,small,42,1,a1,hebbian,loss_free,activation_fisher,0.46937487928925514,0.3972602739726027,0.2
MNIST,small,42,1,a2,hebbian,loss_free,activation_fisher,0.6974266673152697,1.0,0.05
MNIST,small,42,1,a2,hebbian,loss_free,activation_fisher,0.6974266673152697,0.5,0.1
MNIST,small,42,1,a2,hebbian,loss_free,activation_fisher,0.6974266673152697,0.42857142857142855,0.2
MNIST,small,42,1,a1,weight_fisher,loss_aware,activation_fisher,0.8845619004699672,1.0,0.05
MNIST,small,42,1,a1,weight_fisher,loss_aware,activation_fisher,0.8845619004699672,0.7857142857142857,0.1
MNIST,small,42,1,a1,weight_fisher,loss_aware,activation_fisher,0.8845619004699672,0.7586206896551724,0.2
MNIST,small,42,1,a2,weight_fisher,loss_aware,activation_fisher,0.793675547759601,1.0,0.05
MNIST,small,42,1,a2,weight_fisher,loss_aware,activation_fisher,0.793675547759601,0.6,0.1
MNIST,small,42,1,a2,weight_fisher,loss_aware,activation_fisher,0.793675547759601,0.7857142857142857,0.2
